Data,Último,Abertura,Máxima,Mínima,Vol.,Var(%)
01.March.2024,37.36,41.38,41.86,35.50,13.95M,-9.36
01.February.2024,41.22,42.60,44.50,40.74,216.23M,-2.23
01.January.2024,42.16,39.00,42.93,38.59,204.82M,8.16
01.December.2023,38.98,37.60,39.33,35.06,178.38M,3.40
01.November.2023,37.70,36.68,38.51,35.22,239.96M,-0.37
01.October.2023,37.84,37.82,41.86,35.11,269.45M,-0.13
01.September.2023,37.89,34.91,38.09,34.68,251.44M,9.70
01.August.2023,34.54,33.54,35.84,31.16,307.05M,-0.78
01.July.2023,34.81,33.41,34.83,31.44,243.48M,5.17
01.June.2023,33.10,27.69,35.85,27.63,347.43M,19.96
01.May.2023,27.59,25.03,28.39,23.81,320.36M,9.52
01.April.2023,25.19,23.29,26.45,22.65,269.46M,11.25
01.March.2023,22.65,24.62,25.42,21.59,311.31M,-7.86
01.February.2023,24.58,25.18,26.26,23.39,245.85M,-2.41
01.January.2023,25.18,22.95,26.92,21.63,317.48M,5.06
01.December.2022,23.97,25.83,26.12,20.18,389.97M,-7.73
01.November.2022,25.98,25.50,26.10,21.82,517.50M,2.73
01.October.2022,25.29,26.88,31.99,24.73,531.08M,0.54
01.September.2022,25.15,28.44,29.43,24.25,463.19M,-11.00
01.August.2022,28.26,23.23,29.47,22.55,480.77M,21.58
01.July.2022,23.25,19.25,23.51,18.42,284.89M,21.02
01.June.2022,19.21,20.81,21.78,17.97,315.62M,-8.18
01.May.2022,20.92,19.07,22.39,18.30,413.43M,9.92
01.April.2022,19.03,18.65,20.02,18.07,282.90M,2.72
01.March.2022,18.53,19.96,20.02,16.82,450.64M,-3.11
01.February.2022,19.12,18.48,19.79,18.10,321.78M,3.12
01.January.2022,18.54,16.21,19.87,15.98,462.56M,14.89
01.December.2021,16.14,14.30,16.84,14.14,435.90M,14.08
01.November.2021,14.15,13.25,14.41,12.46,405.62M,8.93
01.October.2021,12.99,13.14,14.50,12.59,406.29M,-1.71
01.September.2021,13.21,13.19,13.53,11.50,387.53M,0.82
01.August.2021,13.11,12.26,13.74,11.73,385.21M,7.42
01.July.2021,12.20,13.55,13.68,11.68,263.31M,-9.21
01.June.2021,13.44,12.07,13.53,11.88,495.47M,13.66
01.May.2021,11.82,10.28,11.92,9.97,379.90M,15.37
01.April.2021,10.25,10.36,10.78,9.91,438.99M,-0.25
01.March.2021,10.27,9.73,10.35,8.84,678.27M,8.08
01.February.2021,9.51,11.94,13.28,9.16,737.24M,-18.95
01.January.2021,11.73,12.51,13.88,11.63,309.77M,-5.27
01.December.2020,12.38,11.15,12.50,11.12,265.26M,12.92
01.November.2020,10.97,8.39,11.64,8.29,441.21M,34.47
01.October.2020,8.15,8.50,9.04,7.61,400.52M,-3.89
01.September.2020,8.49,9.72,10.17,8.40,432.92M,-11.42
01.August.2020,9.58,9.86,10.56,9.42,335.57M,-1.67
01.July.2020,9.74,9.56,10.40,9.46,300.87M,2.62
01.June.2020,9.49,8.78,10.13,8.54,373.58M,7.20
01.May.2020,8.86,7.63,8.89,7.27,433.07M,11.74
01.April.2020,7.93,5.78,8.20,5.70,612.09M,31.90
01.March.2020,6.01,11.54,12.26,4.46,1.09B,-47.92
01.February.2020,11.54,12.90,14.02,11.02,658.14M,-10.54
01.January.2020,12.90,13.73,14.12,12.55,252.64M,-5.16
01.December.2019,13.60,13.37,14.02,13.03,204.84M,2.56
01.November.2019,13.26,13.85,14.21,13.02,209.61M,-4.01
01.October.2019,13.81,12.74,13.84,11.85,187.90M,8.46
01.September.2019,12.74,11.85,13.22,11.66,150.94M,6.65
01.August.2019,11.94,12.18,12.47,11.08,243.14M,-1.10
01.July.2019,12.07,12.77,13.28,11.89,214.51M,-4.10
01.June.2019,12.59,11.95,13.43,11.84,280.91M,6.34
01.May.2019,11.84,12.41,12.73,11.46,188.70M,-5.45
01.April.2019,12.52,13.13,13.81,12.07,219.66M,-3.82
01.March.2019,13.02,12.50,14.08,11.93,227.69M,4.32
01.February.2019,12.48,12.32,13.29,12.02,184.12M,1.05
01.January.2019,12.35,10.62,12.52,10.49,192.99M,16.34
01.December.2018,10.62,12.09,12.26,9.75,222.44M,-9.52
01.November.2018,11.73,12.62,12.86,10.86,219.74M,-6.88
01.October.2018,12.60,10.11,12.99,9.91,322.40M,25.13
01.September.2018,10.07,9.13,10.35,8.81,169.96M,9.74
01.August.2018,9.17,9.04,9.88,8.51,213.23M,0.86
01.July.2018,9.10,7.92,9.28,7.92,172.22M,12.98
01.June.2018,8.05,9.37,9.48,7.01,332.96M,-12.48
01.May.2018,9.20,10.00,13.16,8.18,399.78M,-9.75
01.April.2018,10.19,9.59,10.26,9.18,156.30M,5.44
01.March.2018,9.67,9.54,10.07,9.19,185.51M,0.91
01.February.2018,9.58,8.82,9.77,8.14,216.10M,8.69
01.January.2018,8.82,7.03,9.08,7.03,184.32M,25.96
01.December.2017,7.00,6.60,7.03,6.42,151.82M,6.02
01.November.2017,6.60,7.31,7.51,6.47,163.81M,-8.44
01.October.2017,7.21,6.53,7.30,6.46,153.37M,10.18
01.September.2017,6.54,5.87,6.80,5.85,165.78M,13.17
01.August.2017,5.78,5.68,6.06,5.53,180.60M,1.23
01.July.2017,5.71,5.48,5.77,5.16,123.75M,4.55
01.June.2017,5.46,5.72,5.86,5.24,179.96M,-3.08
01.May.2017,5.64,5.96,6.77,5.34,251.19M,-5.15
01.April.2017,5.94,6.27,6.52,5.77,133.92M,-5.21
