Country,Continent,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,America,BRA,National,BRAt,Total,0.61,0.616,0.622,0.63,0.638,0.646,0.653,0.66,0.666,0.671,0.679,0.686,0.692,0.688,0.692,0.698,0.7,0.704,0.715,0.717,0.723,0.728,0.732,0.75,0.754,0.753,0.755,0.759,0.764,0.766,0.758,0.754
Brazil,America,BRA,Subnat,BRAr102,Acre,0.552,0.557,0.562,0.569,0.576,0.584,0.59,0.597,0.601,0.606,0.613,0.622,0.631,0.629,0.636,0.643,0.648,0.654,0.667,0.671,0.679,0.684,0.688,0.706,0.709,0.708,0.71,0.713,0.718,0.72,0.712,0.709
Brazil,America,BRA,Subnat,BRAr114,Alagoas,0.53,0.536,0.54,0.547,0.554,0.561,0.567,0.573,0.578,0.582,0.59,0.601,0.613,0.613,0.623,0.633,0.64,0.649,0.665,0.672,0.683,0.687,0.691,0.709,0.713,0.712,0.713,0.717,0.721,0.723,0.715,0.712
Brazil,America,BRA,Subnat,BRAr106,Amapa,0.617,0.623,0.629,0.636,0.644,0.653,0.66,0.667,0.673,0.678,0.686,0.691,0.695,0.689,0.692,0.695,0.695,0.697,0.706,0.706,0.71,0.715,0.719,0.737,0.741,0.74,0.742,0.746,0.751,0.753,0.745,0.741
Brazil,America,BRA,Subnat,BRAr103,Amazonas,0.571,0.577,0.582,0.589,0.597,0.605,0.611,0.618,0.623,0.628,0.636,0.645,0.653,0.651,0.658,0.665,0.67,0.676,0.688,0.692,0.7,0.705,0.709,0.727,0.731,0.73,0.731,0.735,0.74,0.742,0.734,0.73
Brazil,America,BRA,Subnat,BRAr116,Bahia,0.568,0.574,0.579,0.586,0.593,0.601,0.607,0.614,0.618,0.623,0.631,0.64,0.649,0.647,0.654,0.661,0.666,0.672,0.685,0.69,0.698,0.703,0.707,0.725,0.729,0.728,0.729,0.733,0.738,0.74,0.732,0.728
Brazil,America,BRA,Subnat,BRAr110,Ceara,0.562,0.568,0.573,0.58,0.587,0.595,0.601,0.607,0.612,0.617,0.624,0.634,0.643,0.641,0.649,0.657,0.662,0.669,0.683,0.687,0.696,0.701,0.705,0.723,0.727,0.726,0.727,0.731,0.736,0.738,0.73,0.726
Brazil,America,BRA,Subnat,BRAr127,Distrito Federal,0.685,0.692,0.699,0.707,0.716,0.726,0.734,0.742,0.748,0.755,0.764,0.768,0.772,0.765,0.767,0.769,0.769,0.771,0.779,0.778,0.781,0.787,0.792,0.811,0.815,0.814,0.816,0.821,0.826,0.829,0.82,0.816
Brazil,America,BRA,Subnat,BRAr118,Espirito Santo,0.618,0.625,0.63,0.638,0.646,0.655,0.662,0.669,0.675,0.68,0.688,0.694,0.7,0.695,0.699,0.704,0.705,0.708,0.719,0.72,0.725,0.73,0.734,0.753,0.757,0.755,0.757,0.761,0.767,0.769,0.761,0.757
Brazil,America,BRA,Subnat,BRAr126,Goias,0.62,0.626,0.632,0.64,0.648,0.656,0.663,0.67,0.676,0.681,0.69,0.696,0.702,0.697,0.701,0.706,0.708,0.712,0.723,0.724,0.729,0.734,0.739,0.757,0.761,0.76,0.762,0.766,0.771,0.773,0.765,0.761
Brazil,America,BRA,Subnat,BRAr108,Maranhao,0.531,0.536,0.541,0.547,0.554,0.561,0.567,0.573,0.578,0.582,0.589,0.599,0.61,0.609,0.617,0.626,0.632,0.64,0.654,0.66,0.669,0.674,0.678,0.696,0.699,0.698,0.699,0.703,0.708,0.709,0.702,0.698
Brazil,America,BRA,Subnat,BRAr125,Mato Grosso,0.594,0.6,0.606,0.613,0.621,0.629,0.636,0.643,0.648,0.653,0.661,0.67,0.678,0.675,0.681,0.688,0.691,0.697,0.709,0.712,0.72,0.725,0.729,0.747,0.751,0.75,0.752,0.756,0.761,0.763,0.755,0.751
