Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.51,0.41999999999999993,-0.35000000000000003,1.12,0.21,0.56,-0.12000000000000002,-0.06999999999999999,0.01999999999999999,0.24,0.27,0.29000000000000004,-0.11000000000000004,0.22
 ALIMENTAÇÃO E BEBIDAS,0.1100000000000001,-0.7899999999999998,-0.54,-0.65,0.45999999999999996,0.36999999999999994,-0.65,-1.93,-0.59,-0.6499999999999999,-0.32,-0.3700000000000001,-1.1500000000000001,-0.27
 ALIMENTAÇÃO NO DOMICÍLIO,-0.61,-1.65,-1.36,-1.15,0.20999999999999996,-0.5800000000000001,-0.98,-2.62,-0.5700000000000001,-1.2199999999999998,-0.84,-1.0499999999999998,-1.9000000000000001,-0.8100000000000002
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.890000000000001,-11.17,0.8400000000000001,2.8,4.69,0.7199999999999998,3.7199999999999998,-6.37,12.69,-2.0200000000000005,12.57,-2.95,1.6500000000000004,1.54
 ARROZ,-4.75,-6.09,-3.4800000000000004,-3.47,-3.7800000000000002,-7.19,-5.86,-3.0,-1.6400000000000001,-7.91,-6.0,-4.42,-6.1,-4.59
 FEIJÃO-MULATINHO,0.0,0.0,0.0,0.33999999999999986,0.0,0.0,0.0,0.8099999999999999,1.2999999999999998,0.0,0.0,0.0,0.0,0.75
 FEIJÃO-PRETO,-4.94,-21.68,0.0,0.0,0.0,0.0,-15.920000000000002,0.0,0.0,1.42,0.0,-6.1899999999999995,-6.73,-9.94
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-6.369999999999999,0.0,0.0,0.0,-16.39,-3.960000000000001,0.0,0.0,0.0,0.0,-11.870000000000001
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,10.020000000000001,35.83,23.160000000000004,15.53,34.650000000000006,18.04,46.07,20.17,54.84,13.87,33.61,27.509999999999998
" FARINHAS, FÉCULAS E MASSAS",-0.79,-3.71,-1.86,0.22999999999999998,-0.20000000000000018,0.61,-1.88,-2.71,-0.7999999999999999,-3.26,-0.19,0.31999999999999995,-4.26,-1.3899999999999997
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8900000000000006,9.91,0.0,0.0,0.0,0.0,5.5200000000000005
 MACARRÃO,0.74,-2.87,-3.34,2.13,1.61,1.91,0.75,-0.5800000000000001,2.52,-4.67,1.15,0.74,-4.14,-0.19000000000000006
