Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,1.46,0.6599999999999999,0.9400000000000001,1.11,0.81,0.6699999999999999,0.85,1.58,1.28,1.02,0.08000000000000002,1.01,0.9400000000000001,0.9600000000000001
 ALIMENTAÇÃO E BEBIDAS,0.27,1.31,-0.39,0.38999999999999996,0.18000000000000002,0.13,-0.019999999999999962,1.0,0.66,-0.19999999999999998,-0.8699999999999999,0.10000000000000009,-0.09999999999999998,0.24
 ALIMENTAÇÃO NO DOMICÍLIO,0.18999999999999995,0.76,-0.8200000000000001,-0.23999999999999996,-0.45000000000000007,-0.9700000000000002,-0.09999999999999998,0.9400000000000001,0.33000000000000007,-1.4700000000000002,-1.6,-0.45999999999999996,-1.2400000000000002,-0.27
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-13.379999999999999,0.13999999999999996,-13.64,-10.26,-14.45,-9.81,-12.879999999999999,-3.15,-11.5,-14.190000000000001,-10.26,-14.33,-9.35,-11.28
 ARROZ,-0.16999999999999998,0.13000000000000012,-4.659999999999999,-1.86,-0.9699999999999999,1.86,-4.4,-1.5300000000000002,-2.95,-2.37,-1.66,-1.6500000000000001,-0.5900000000000001,-1.85
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-4.199999999999999,0.0,0.0,0.0,1.98,4.56,0.0,0.0,0.0,0.0,-0.22000000000000036
 FEIJÃO-PRETO,-29.669999999999998,0.18999999999999997,0.0,0.0,0.0,0.0,-19.910000000000004,0.0,0.0,-33.91,0.0,-29.08,-20.04,-22.08
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-3.39,0.9000000000000001,0.0,0.0,0.0,0.0,-2.29
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-29.5,-46.48,-38.0,-27.84,-26.35,-28.64,-31.339999999999996,-36.45,-27.270000000000003,-35.93,-32.629999999999995,-33.39
" FARINHAS, FÉCULAS E MASSAS",1.42,-0.73,1.73,1.6600000000000001,-1.87,2.6399999999999997,0.27,5.31,10.67,-3.46,-0.07999999999999985,2.31,-1.01,1.77
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,-0.09000000000000002,0.0,0.0,0.0,0.0,0.22
 MACARRÃO,-0.8999999999999997,1.3399999999999999,3.3499999999999996,0.4600000000000004,-2.3600000000000003,2.02,-3.53,1.14,0.19999999999999996,-0.8599999999999999,1.8900000000000001,0.63,0.51,-0.30000000000000004
 FUBÁ DE MILHO,0.0,0.0,0.16000000000000003,-5.28,0.0,0.0,0.0,0.0,3.35,0.0,4.390000000000001,0.0,0.0,-1.17
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.5700000000000001
 FLOCOS DE MILHO,0.0,0.0,0.0,0.4699999999999999,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001
 FARINHA DE TRIGO,-0.08000000000000007,-6.09,-0.18000000000000005,0.0,-6.380000000000001,0.0,-7.71,0.0,0.0,-7.71,-7.09,-1.49,-6.65,-5.58
 FARINHA VITAMINADA,0.0,0.0,0.0,-1.0099999999999998,0.0,0.0,0.0,2.7199999999999998,0.0,0.0,0.0,0.0,0.0,0.72
 FARINHA DE MANDIOCA,9.17,0.0,0.0,9.52,0.0,4.58,1.62,12.67,16.39,0.0,0.0,8.65,0.0,8.54
 MASSA SEMIPREPARADA,4.24,1.0099999999999998,0.18000000000000016,0.0,2.1,2.8000000000000003,0.0,0.0,0.0,-2.04,-1.2900000000000005,0.4399999999999999,2.79,1.3399999999999999
" TUBÉRCULOS, RAÍZES E LEGUMES",6.379999999999999,-12.280000000000001,0.5700000000000001,-2.08,-3.51,-2.8000000000000003,-4.789999999999999,1.7599999999999998,6.300000000000001,-5.050000000000001,6.34,9.18,-7.7700000000000005,-1.3600000000000003
 BATATA-INGLESA,2.339999999999999,-18.380000000000003,-3.4299999999999997,-3.3699999999999997,-10.100000000000001,-19.4,-17.95,-12.49,-4.0,-10.56,-6.829999999999999,10.17,-11.989999999999998,-8.46
 INHAME,0.0,0.0,0.0,-19.849999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.849999999999998
 MANDIOCA (AIPIM),0.0,6.52,0.0,-3.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,-9.040000000000001,0.5
 ABÓBORA,-6.87,0.0,-13.6,0.0,0.0,-11.01,0.0,0.0,0.0,0.0,-14.29,0.0,0.0,-11.33
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
 QUIABO,0.0,0.0,-16.189999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.18
 TOMATE,7.56,-10.639999999999999,10.62,15.159999999999997,6.9300000000000015,1.2299999999999995,-1.2699999999999996,11.020000000000001,11.74,-3.2299999999999986,15.28,14.980000000000002,-4.4799999999999995,5.3100000000000005
 CEBOLA,-5.550000000000001,-6.299999999999999,-11.84,6.39,-10.129999999999999,-7.47,1.75,1.9000000000000004,-0.8100000000000005,-19.6,-6.27,2.460000000000001,-8.39,-6.12
 CENOURA,45.22,0.0,24.73,0.0,15.13,27.439999999999998,0.0,22.169999999999998,29.78,45.11999999999999,37.699999999999996,4.199999999999999,0.0,26.580000000000002
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-26.630000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.630000000000003
