Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.12,0.28,0.8500000000000001,0.20999999999999996,0.86,0.9500000000000001,0.21000000000000002,-0.019999999999999997,0.53,0.98,0.39,0.9500000000000001,0.30000000000000004,0.59
 ALIMENTAÇÃO E BEBIDAS,-1.67,-2.0100000000000002,-2.59,-2.04,-1.8399999999999999,-1.76,-2.6,-2.0300000000000002,-0.9400000000000002,-2.38,-2.26,-1.94,-1.95,-1.95
 ALIMENTAÇÃO NO DOMICÍLIO,-3.64,-3.46,-4.24,-3.47,-3.19,-2.4099999999999997,-3.21,-3.08,-2.6499999999999995,-3.3600000000000003,-4.63,-3.5599999999999996,-3.05,-3.39
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.05,-5.869999999999999,-8.81,-15.87,-10.32,-11.38,-11.420000000000002,-13.829999999999998,-19.49,-6.33,-20.7,-6.67,-14.489999999999998,-11.129999999999999
 ARROZ,-4.25,-2.5,-3.79,-2.58,-1.86,-5.53,0.32999999999999996,-3.9299999999999997,-2.77,-3.37,-3.25,-4.11,-4.2,-2.86
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-26.79,0.0,0.0,0.0,-31.91,-37.019999999999996,0.0,0.0,0.0,0.0,-31.51
 FEIJÃO-PRETO,1.3199999999999994,-13.54,0.0,0.0,0.0,0.0,-1.94,0.0,0.0,-2.0999999999999988,0.0,-6.209999999999999,-21.97,-3.6100000000000003
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-3.38,0.0,0.0,0.0,-25.12,-13.97,0.0,0.0,0.0,0.0,-18.38
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-17.730000000000004,-34.19,-26.84,-20.27,-36.19,-35.28,-31.419999999999998,-18.71,-51.64,-20.23,-44.52,-29.68
" FARINHAS, FÉCULAS E MASSAS",-3.7,0.9300000000000002,-2.46,-2.3199999999999994,-2.67,-2.05,-6.42,-4.2,0.79,-4.5,-2.24,-0.67,-1.35,-2.61
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.56,11.670000000000002,0.0,0.0,0.0,0.0,5.66
 MACARRÃO,-2.62,-0.5399999999999996,-2.9099999999999997,4.57,-4.3,-4.41,0.28,-1.29,-3.9899999999999998,-3.9299999999999997,-1.73,-0.3999999999999999,0.19999999999999996,-2.3400000000000003
 FUBÁ DE MILHO,0.0,0.0,-1.1199999999999999,-3.6100000000000008,0.0,0.0,0.0,0.0,1.0999999999999996,0.0,-0.42000000000000015,0.0,0.0,-1.6300000000000003
