Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.9,1.1500000000000001,0.5900000000000001,0.82,1.7,1.53,0.18,0.79,0.30000000000000004,1.13,2.96,0.26,0.97,1.14
 ALIMENTAÇÃO E BEBIDAS,0.3900000000000001,0.06,-0.58,-0.4000000000000001,0.73,1.06,-1.09,-0.4,-1.27,0.66,0.7600000000000001,0.03,0.9700000000000001,0.11000000000000003
 ALIMENTAÇÃO NO DOMICÍLIO,0.32000000000000006,-0.060000000000000026,-0.72,-0.9500000000000001,-0.12000000000000005,-0.48,-2.3,-0.54,-1.84,0.33999999999999997,0.61,-0.27999999999999997,0.65,-0.47
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.4699999999999998,-5.0,-6.6499999999999995,-9.889999999999999,-4.01,-7.359999999999999,-8.92,-4.43,-14.5,-7.65,-6.63,-6.27,-4.25,-6.61
 ARROZ,-1.3000000000000003,-3.4599999999999995,1.1099999999999999,-0.08000000000000007,-1.42,-2.7600000000000002,-4.79,-2.18,-2.71,-5.0600000000000005,-2.74,-5.109999999999999,-4.4799999999999995,-2.12
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-18.69,0.0,0.0,0.0,-21.549999999999997,-29.46,0.0,0.0,0.0,0.0,-22.96
 FEIJÃO-PRETO,-6.680000000000001,-9.18,0.0,0.0,0.0,0.0,-3.5900000000000003,0.0,0.0,-8.91,0.0,-7.0,-4.29,-7.2
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-10.620000000000001,0.0,0.0,0.0,-4.630000000000001,-2.9,0.0,0.0,0.0,0.0,-5.59
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-25.54,-19.07,-10.149999999999999,-15.91,-22.06,-10.0,-28.470000000000002,-16.97,-17.03,-10.91,-3.0600000000000005,-18.42
" FARINHAS, FÉCULAS E MASSAS",-0.11999999999999988,-2.1,-0.95,-3.1999999999999997,-0.22999999999999976,-1.87,-1.37,-0.5900000000000001,-6.370000000000001,-0.2300000000000001,0.10999999999999996,0.89,-0.16999999999999993,-1.89
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,-1.45,0.0,0.0,0.0,0.0,0.83
