Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0,ÍNDICE GERAL,0.4,0.18,0.64,0.32,0.23,0.72,0.37,0.62,0.67,0.31,0.2,0.69,0.56,0.38
1,ALIMENTAÇÃO E BEBIDAS,0.43,0.79,0.23,0.42,-0.06,0.77,0.32,0.76,1.56,-0.16,-0.45,0.88,0.78,0.35
2,ALIMENTAÇÃO NO DOMICÍLIO,0.76,1.02,0.04,0.21,-0.54,0.42,0.25,0.73,1.6,-1.09,-0.8,1.01,0.38,0.17
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.86,-0.31,-6.67,-1.84,-6.62,-2.57,-4.13,-0.21,-3.03,-2.12,-5.56,-3.61,-3.31,-3.94
4,ARROZ,-0.46,-0.48,-0.43,0.95,0.16,2.1,-1.11,0.63,-0.73,-0.4,0.09,-0.3,0.27,-0.12
5,FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.72,0.0,0.0,0.0,0.37,2.17,0.0,0.0,0.0,0.0,-0.07
6,FEIJÃO-PRETO,-5.55,0.04,0.0,0.0,0.0,0.0,-2.74,0.0,0.0,-3.87,0.0,-4.5,-1.31,-3.75
7,FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-0.63,0.0,0.0,0.0,-0.19,-1.18,0.0,0.0,0.0,0.0,-0.47
8,FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-17.03,-8.1,-17.17,-9.11,-10.3,-10.68,-7.76,-5.73,-16.21,-14.9,-13.48,-13.58
9," FARINHAS, FÉCULAS E MASSAS",-0.62,0.72,-0.1,0.5,-0.23,0.49,-0.51,0.68,10.57,0.26,1.01,0.31,0.22,1.55
10,FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.34,0.0,0.0,0.0,0.0,0.15
11,MACARRÃO,-2.84,1.37,0.3,2.58,-0.39,0.61,-0.01,0.19,1.91,-0.3,1.75,0.32,1.79,0.15
12,FUBÁ DE MILHO,0.0,0.0,0.52,-2.95,0.0,0.0,0.0,0.0,2.08,0.0,1.1,0.0,0.0,-0.57
13,AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.35
14,FLOCOS DE MILHO,0.0,0.0,0.0,-0.34,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18
15,FARINHA DE TRIGO,-0.72,-1.09,-0.12,0.0,-2.39,0.0,-1.53,0.0,0.0,1.89,-2.02,-0.72,-3.7,-0.86
16,FARINHA VITAMINADA,0.0,0.0,0.0,0.68,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,1.18
17,FARINHA DE MANDIOCA,7.29,0.0,0.0,1.49,0.0,0.9,-0.58,1.27,15.75,0.0,0.0,0.82,0.0,5.51
18,MASSA SEMIPREPARADA,0.86,1.41,-1.44,0.0,1.57,-0.02,0.0,0.0,0.0,-1.36,2.11,0.29,1.87,0.7
19," TUBÉRCULOS, RAÍZES E LEGUMES",-1.75,-10.58,-0.26,-1.34,-8.58,0.35,-5.97,-7.17,6.9,-13.58,-7.01,1.88,-5.36,-4.78
20,BATATA-INGLESA,-5.71,-17.21,1.24,-3.1,-10.14,-9.59,-10.62,-12.13,-1.3,-22.27,-4.38,3.6,-5.06,-8.48
21,INHAME,0.0,0.0,0.0,-6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.03
22,MANDIOCA (AIPIM),0.0,-1.25,0.0,-6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,-0.72,-3.24
23,ABÓBORA,6.78,0.0,-4.08,0.0,0.0,-2.35,0.0,0.0,0.0,0.0,-8.67,0.0,0.0,-1.07
24,PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,14.2
25,QUIABO,0.0,0.0,-9.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.07
26,TOMATE,-6.96,-7.1,-1.52,4.13,-8.5,1.83,-6.41,-13.6,6.46,-13.6,-11.47,-7.92,-9.01,-5.83
27,CEBOLA,-0.98,-4.27,-2.74,5.85,-6.64,6.95,-0.92,5.36,9.62,-5.21,-2.67,10.69,1.19,-1.13
28,CENOURA,22.23,0.0,9.75,0.0,0.73,12.1,0.0,4.09,15.24,2.66,4.96,6.67,0.0,7.98
29,MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0
30,AÇÚCARES E DERIVADOS,1.0,1.48,-0.25,1.77,1.68,0.93,-2.31,0.35,1.71,-0.51,-0.87,-0.89,1.4,0.75
31,AÇÚCAR REFINADO,1.47,1.21,0.0,0.0,-0.02,0.0,-1.41,2.23,0.0,0.29,0.0,0.0,0.0,0.71
32,AÇÚCAR CRISTAL,1.99,1.34,-0.59,1.83,1.0,1.58,-2.93,-0.75,1.94,-1.11,-0.64,-1.15,1.79,0.35
33,BALAS,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,1.14
34,CHOCOLATE EM BARRA E BOMBOM,0.32,3.04,1.91,-1.17,4.03,0.6,-3.67,0.0,-1.77,0.09,0.75,-0.31,-0.72,2.05
35,SORVETE,0.38,0.18,-1.49,0.13,0.48,1.93,0.0,1.62,1.31,-1.3,-0.85,-0.69,2.19,0.07
36,CHOCOLATE E ACHOCOLATADO EM PÓ,-0.2,0.48,0.25,4.66,2.8,1.63,-0.2,-2.22,2.71,-0.66,-2.62,-0.35,0.98,1.11
