Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.68,0.24,0.34,0.25,0.27,-0.03,0.35,0.3,0.57,0.44,-0.39,0.19,0.24,0.33
1, ALIMENTAÇÃO E BEBIDAS,-0.33,-0.55,-0.26,-1.03,-0.22,-0.61,-0.59,-0.26,-0.9,-0.48,-0.69,-0.57,-0.91,-0.45
2, ALIMENTAÇÃO NO DOMICÍLIO,-0.93,-0.98,-0.54,-1.25,-0.39,-1.04,-0.5,-0.6,-1.31,-0.6,-1.01,-0.78,-1.57,-0.75
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-5.12,0.58,-2.39,-2.68,-6.17,-4.24,-7.02,-3.82,-4.15,-7.16,-4.24,-4.99,-4.13,-4.52
4, ARROZ,1.01,1.1,0.04,-2.48,-0.59,0.15,-2.86,-2.83,-0.14,-0.56,-0.45,-0.7,-0.79,-0.6
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,4.62,0.0,0.0,0.0,4.3,3.98,0.0,0.0,0.0,0.0,4.35
6, FEIJÃO-PRETO,-12.35,-0.45,0.0,0.0,0.0,0.0,-5.02,0.0,0.0,-16.32,0.0,-11.1,-5.18,-9.22
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-0.39,0.0,0.0,0.0,-5.71,2.06,0.0,0.0,0.0,0.0,-3.15
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-7.23,-18.15,-16.67,-11.12,-16.44,-15.13,-13.61,-20.0,-12.76,-9.15,-14.27,-14.22
9," FARINHAS, FÉCULAS E MASSAS",1.39,-2.23,1.21,0.67,-0.35,0.52,1.27,3.58,0.36,-1.19,0.64,0.85,-0.79,0.46
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.56,0.0,0.0,0.0,0.0,-0.46
11, MACARRÃO,1.83,-2.74,1.58,-2.03,-0.63,0.09,-0.86,0.12,-0.62,-0.61,2.1,0.1,-1.08,-0.26
12, FUBÁ DE MILHO,0.0,0.0,-0.14,-1.77,0.0,0.0,0.0,0.0,1.23,0.0,1.4,0.0,0.0,-0.42
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.28
