Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.38,0.24,-0.04,0.54,0.31,-0.02,0.13,0.66,0.04,0.27,0.27,0.13,0.14,0.25
1, ALIMENTAÇÃO E BEBIDAS,0.17,1.07,-0.36,1.0,0.46,-0.03,0.25,0.5,0.0,0.44,0.27,-0.21,0.03,0.34
2, ALIMENTAÇÃO NO DOMICÍLIO,0.36,0.72,-0.32,0.8,0.48,-0.35,0.15,0.81,0.04,0.22,0.21,-0.69,-0.05,0.31
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-5.4,-0.13,-4.58,-5.74,-1.66,-3.0,-1.73,0.88,-4.32,-4.91,-0.46,-5.73,-1.91,-2.82
4, ARROZ,-0.72,-0.49,-4.27,-0.33,-0.54,-0.39,-0.43,0.67,-2.08,-1.41,-1.3,-0.65,-0.07,-1.13
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,-7.1,0.0,0.0,0.0,-2.69,-1.59,0.0,0.0,0.0,0.0,-4.5
6, FEIJÃO-PRETO,-11.77,0.6,0.0,0.0,0.0,0.0,-12.15,0.0,0.0,-13.72,0.0,-13.48,-13.55,-9.11
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-0.98,0.0,0.0,0.0,2.51,0.02,0.0,0.0,0.0,0.0,1.33
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-5.24,-20.23,-4.16,-7.61,0.39,-2.83,-9.97,-10.72,1.7,-11.88,-4.88,-5.59
9," FARINHAS, FÉCULAS E MASSAS",0.65,0.78,0.62,0.49,-1.29,1.63,-0.49,1.05,-0.26,-2.53,-1.73,1.15,-0.44,-0.24
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.13,0.0,0.0,0.0,0.0,0.53
11, MACARRÃO,0.11,2.71,1.47,-0.09,-1.34,1.32,-2.66,0.83,-1.09,0.05,-1.96,0.21,-0.2,-0.19
12, FUBÁ DE MILHO,0.0,0.0,-0.22,-0.56,0.0,0.0,0.0,0.0,0.04,0.0,1.89,0.0,0.0,-0.18
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,-0.06
