Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.38,0.22,-0.08,0.49,0.16,0.54,0.09,0.08,-0.22,-0.05,0.15,0.2,-0.13,0.14
1, ALIMENTAÇÃO E BEBIDAS,0.66,0.8,0.27,0.27,0.9,0.83,0.67,0.3,0.23,0.28,-0.06,0.79,0.26,0.58
2, ALIMENTAÇÃO NO DOMICÍLIO,0.17,1.1,0.25,0.13,1.43,0.48,0.72,0.33,0.22,0.52,-0.21,1.17,0.16,0.68
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-4.41,-5.18,-1.76,0.3,-0.82,-4.22,-1.54,-1.76,0.01,-3.62,-3.93,-2.43,-2.13,-2.1
4, ARROZ,-3.37,-0.99,-1.03,-0.82,-1.01,-3.43,-1.96,-1.78,0.4,-3.08,-3.59,-1.08,-2.0,-1.69
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,1.09
6, FEIJÃO-PRETO,-6.0,-13.61,0.0,0.0,0.0,0.0,-6.44,0.0,0.0,-8.05,0.0,-5.75,-4.73,-8.29
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-2.32,0.0,0.0,0.0,-2.12,4.01,0.0,0.0,0.0,0.0,-0.82
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-3.34,2.36,-0.4,-5.74,1.59,-3.86,-2.06,-2.17,-4.78,-1.83,-1.88,-1.64
9," FARINHAS, FÉCULAS E MASSAS",1.0,0.23,-1.08,1.41,1.39,-0.6,0.31,-0.69,0.37,-0.21,0.33,0.82,-2.13,0.37
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.03,4.36,0.0,0.0,0.0,0.0,0.95
11, MACARRÃO,2.13,0.04,-1.47,1.1,3.49,-1.97,-0.33,-0.7,-0.52,-0.26,0.25,0.49,-3.05,0.76
12, FUBÁ DE MILHO,0.0,0.0,-1.56,3.46,0.0,0.0,0.0,0.0,-1.41,0.0,-0.52,0.0,0.0,0.57
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.52
14, FLOCOS DE MILHO,0.0,0.0,0.0,1.2,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
15, FARINHA DE TRIGO,-1.44,-0.19,-0.74,0.0,0.02,0.0,-1.05,0.0,0.0,0.37,0.01,-0.3,-1.45,-0.25
16, FARINHA VITAMINADA,0.0,0.0,0.0,1.77,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1.91
17, FARINHA DE MANDIOCA,0.14,0.0,0.0,0.2,0.0,0.5,0.53,-0.81,0.5,0.0,0.0,2.32,0.0,0.37
18, MASSA SEMIPREPARADA,-0.23,0.82,-0.01,0.0,-1.78,0.18,0.0,0.0,0.0,-1.14,1.54,0.21,-1.01,-0.62
19," TUBÉRCULOS, RAÍZES E LEGUMES",19.77,24.75,14.03,10.42,16.97,13.45,15.02,15.69,12.54,25.37,13.74,21.33,22.26,16.95
20, BATATA-INGLESA,21.08,21.96,11.34,25.05,23.96,13.86,11.48,23.27,14.42,39.2,16.43,16.8,24.45,20.81
21, INHAME,0.0,0.0,0.0,-15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.38
22, MANDIOCA (AIPIM),0.0,-11.4,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.25,-1.88,-2.47
23, ABÓBORA,-4.71,0.0,-0.53,0.0,0.0,0.34,0.0,0.0,0.0,0.0,1.29,0.0,0.0,-1.63
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.0,0.0,0.0,0.0,-0.91
25, QUIABO,0.0,0.0,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68
26, TOMATE,43.69,51.17,27.97,30.42,21.41,28.93,24.25,26.95,27.23,26.16,20.17,44.7,33.93,29.02
27, CEBOLA,2.78,3.86,5.99,0.27,8.95,1.74,4.11,-0.61,2.84,20.74,7.11,11.83,8.78,6.03
28, CENOURA,-6.25,0.0,2.62,0.0,5.17,-8.99,0.0,-4.26,-4.8,-3.46,-2.74,5.98,0.0,-0.71
