Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.22,0.48,0.21,0.72,0.36,0.24,-0.13,0.1,0.32,0.43,0.16,0.31,0.42,0.31
1, ALIMENTAÇÃO E BEBIDAS,-0.08,-0.65,-0.04,-0.11,-0.1,0.05,-1.02,-1.41,-0.7,-0.24,-0.61,-0.55,-0.36,-0.35
2, ALIMENTAÇÃO NO DOMICÍLIO,0.19,-1.3,-0.3,-0.21,-0.3,-0.63,-1.19,-1.72,-0.59,-0.61,-0.49,-0.96,-0.74,-0.56
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.45,-4.05,-1.04,0.12,-0.18,-2.49,-2.25,-2.16,-1.32,-1.86,2.04,-2.21,-1.18,-1.1
4, ARROZ,0.98,-3.48,-3.12,-2.18,-2.91,-4.07,-0.78,-1.2,-0.77,-1.82,-1.75,-2.25,-1.22,-1.98
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,0.15,0.0,0.0,0.0,-0.32,-0.79,0.0,0.0,0.0,0.0,-0.26
6, FEIJÃO-PRETO,-2.7,-5.37,0.0,0.0,0.0,0.0,-4.72,0.0,0.0,-3.69,0.0,-2.71,0.44,-3.66
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-3.99,0.0,0.0,0.0,-4.95,-3.49,0.0,0.0,0.0,0.0,-4.45
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,3.56,11.43,6.15,0.58,-4.59,5.58,-1.5,-0.59,11.6,-0.73,-1.48,3.29
9," FARINHAS, FÉCULAS E MASSAS",-0.22,-2.73,-0.13,-0.04,-0.48,0.19,-0.92,-1.57,0.91,-1.81,-0.36,0.43,-2.51,-0.58
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,7.91,0.0,0.0,0.0,0.0,5.51
11, MACARRÃO,0.04,-3.23,-1.02,1.04,-0.51,1.01,0.95,1.47,3.61,-2.05,-0.3,1.32,-3.09,-0.15
12, FUBÁ DE MILHO,0.0,0.0,-0.61,-2.85,0.0,0.0,0.0,0.0,-1.85,0.0,0.12,0.0,0.0,-1.79
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,-0.19
14, FLOCOS DE MILHO,0.0,0.0,0.0,2.39,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47
15, FARINHA DE TRIGO,1.68,-0.93,-0.22,0.0,-0.58,0.0,-1.26,0.0,0.0,-0.9,0.08,0.15,-2.39,-0.56
16, FARINHA VITAMINADA,0.0,0.0,0.0,0.78,0.0,0.0,0.0,-0.61,0.0,0.0,0.0,0.0,0.0,0.12
17, FARINHA DE MANDIOCA,-3.32,0.0,0.0,0.17,0.0,-0.6,-1.34,-5.76,-0.3,0.0,0.0,0.32,0.0,-1.31
18, MASSA SEMIPREPARADA,0.15,-3.49,2.36,0.0,-0.33,-1.35,0.0,0.0,0.0,-2.81,-1.34,-1.2,-1.47,-0.82
19," TUBÉRCULOS, RAÍZES E LEGUMES",-2.01,5.95,2.99,0.0,-0.8,0.79,-0.89,-6.41,1.16,6.25,-1.74,-5.66,5.03,0.53
20, BATATA-INGLESA,6.54,11.85,15.19,-2.61,-1.67,16.32,2.98,-8.49,-2.66,3.04,9.89,4.01,17.07,4.28
21, INHAME,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16
22, MANDIOCA (AIPIM),0.0,-14.32,0.0,-10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.05,-0.53,-10.17
23, ABÓBORA,-4.4,0.0,-4.08,0.0,0.0,-5.66,0.0,0.0,0.0,0.0,1.49,0.0,0.0,-3.02
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45,0.0,0.0,0.0,0.0,11.45
25, QUIABO,0.0,0.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.39
26, TOMATE,-12.28,0.51,-6.02,3.47,-2.64,-12.77,-2.34,-3.93,0.66,7.39,-7.56,-20.14,1.04,-3.14
27, CEBOLA,8.58,17.82,13.69,0.28,9.13,20.89,-1.51,-6.86,0.97,18.65,10.14,7.04,8.27,7.67
28, CENOURA,-8.81,0.0,-12.86,0.0,-3.66,1.56,0.0,-7.55,0.62,-5.85,-11.75,-3.02,0.0,-5.86
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.07
30, AÇÚCARES E DERIVADOS,-1.02,-0.35,1.4,-2.75,0.01,0.33,-1.56,-2.95,-2.35,-0.43,-2.77,-0.2,-0.96,-0.68
31, AÇÚCAR REFINADO,-2.93,-2.47,0.0,0.0,-0.8,0.0,-1.92,-4.27,0.0,-1.96,0.0,0.0,0.0,-2.18
32, AÇÚCAR CRISTAL,-0.69,0.56,2.98,-6.47,-2.08,0.61,-2.86,-2.71,-3.57,-3.31,-3.82,-1.35,-3.02,-1.79
33, BALAS,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,1.46
34, CHOCOLATE EM BARRA E BOMBOM,2.72,0.57,-1.85,13.16,3.04,4.03,4.25,0.0,8.19,5.41,-0.3,3.66,-0.35,2.75
35, SORVETE,-0.97,-1.09,2.5,0.05,0.27,-1.41,0.0,0.03,0.17,-0.16,-1.89,0.38,1.31,0.1
36, CHOCOLATE E ACHOCOLATADO EM PÓ,0.22,-1.94,-2.23,0.88,-0.22,0.43,1.3,-1.2,-2.56,-1.51,-0.5,1.2,2.26,-0.68
37, DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,-0.21,0.0,-2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
38, HORTALIÇAS E VERDURAS,-4.49,-11.05,-0.03,1.84,0.38,-1.06,-2.29,2.22,-1.92,-12.64,-4.86,-0.4,-1.99,-2.51
39, ALFACE,-3.24,-11.95,-1.25,-9.5,1.88,1.41,-1.76,0.57,-5.28,-13.82,-0.46,-4.33,-2.53,-2.85
40, COENTRO,0.0,0.0,0.0,9.67,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.41
41, COUVE,-1.16,0.0,-2.42,0.0,-4.26,1.45,0.0,0.0,0.0,-5.5,-7.75,0.22,0.0,-3.31
42, COUVE-FLOR,-6.97,-14.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.94,0.0,-10.51
43, REPOLHO,-1.64,-5.79,8.05,1.33,-2.22,-0.09,-10.68,0.0,3.91,-11.29,-14.7,5.99,-4.35,-3.22
44, CHEIRO-VERDE,-3.67,0.0,0.0,0.0,-2.86,-4.55,0.02,2.49,-3.89,0.0,0.0,3.95,2.64,-0.97
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,-0.98
46, BRÓCOLIS,-10.9,-13.74,5.01,0.0,4.49,-10.19,0.0,0.0,0.0,-12.82,0.0,0.0,0.0,-4.8
47, FRUTAS,-4.5,-8.23,-10.43,-3.4,-6.77,-3.75,-2.52,-4.08,-6.28,-8.79,-5.67,-4.36,-16.12,-6.55
48, BANANA-DA-TERRA,0.0,0.0,0.0,-6.15,0.0,0.0,0.0,0.0,-2.49,0.0,0.0,1.41,0.0,-3.66
49, ABACAXI,-6.67,-0.56,3.31,2.68,-8.15,0.0,0.0,0.0,0.0,-5.21,-5.82,0.0,-7.88,-3.48
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,4.32
51, BANANA-D'AGUA,-0.33,0.35,0.0,0.0,-6.97,-4.21,0.0,0.0,0.0,-12.43,0.0,0.0,-30.22,-6.62
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.71,0.0,0.05,-2.9
53, BANANA-PRATA,-5.55,-1.22,-9.19,-2.81,-3.87,-3.94,-1.13,-2.78,-2.2,-5.62,-8.11,-4.07,0.0,-3.99
54, LARANJA-BAIA,0.0,-17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.15
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,0.0,5.36
56, MAÇÃ,-4.35,-12.45,-6.72,-3.15,-4.51,-1.64,-11.65,-5.87,-11.78,-7.22,-5.25,-4.06,0.29,-6.72
57, MAMÃO,-12.19,-21.12,-13.86,1.27,-8.77,-8.65,-14.12,-11.01,2.07,-10.74,0.0,-15.46,-20.59,-10.72
58, MANGA,4.94,0.0,0.0,11.6,0.0,10.82,0.0,0.0,0.0,0.0,0.0,3.47,0.0,7.94
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,-13.51,0.0,0.0,0.0,0.0,-7.94
60, MELANCIA,0.0,0.0,-12.77,-6.61,-5.73,-17.93,-0.26,-1.47,-13.89,-2.48,-15.6,0.0,-18.29,-8.69
61, PÊRA,-0.53,0.0,0.0,0.0,-10.34,-1.96,0.0,0.0,0.0,0.0,-0.74,5.48,0.0,-6.18
62, TANGERINA,0.0,-8.23,0.0,0.0,-6.77,0.0,0.0,0.0,0.0,0.0,0.0,-4.36,0.0,-8.08
63, UVA,2.45,0.0,-4.25,-6.61,1.2,-3.72,-3.29,-4.1,-4.83,-9.21,1.82,2.84,-11.75,-1.57
64, LARANJA-PÊRA,-7.89,0.0,-21.58,-8.79,-12.55,-2.33,4.19,-8.62,-6.92,-12.75,-3.05,-11.62,-15.97,-10.82
