Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0,ÍNDICE GERAL,-0.09,-0.28,-0.48,-0.09,-0.31,-0.22,-0.08,-0.25,-0.08,-0.14,-0.04,-0.22,-0.4,-0.23
1,ALIMENTAÇÃO E BEBIDAS,-0.47,-0.94,-0.77,-0.81,-0.34,-0.51,-0.3,-0.82,-0.12,-0.69,0.35,-0.61,-1.05,-0.5
2,ALIMENTAÇÃO NO DOMICÍLIO,-0.97,-1.45,-1.31,-1.07,-0.92,-0.43,-0.51,-1.23,-0.2,-1.13,-0.14,-1.26,-1.32,-0.93
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.03,-1.94,3.64,2.38,5.69,7.43,7.51,-2.45,14.0,3.46,14.46,1.69,4.96,4.74
4,ARROZ,-2.36,-1.62,0.67,-0.47,0.14,0.31,-3.12,-0.02,-1.27,-3.01,-0.66,-1.09,-2.88,-0.92
5,FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,0.17,2.09,0.0,0.0,0.0,0.0,-0.08
6,FEIJÃO-PRETO,3.76,-2.7,0.0,0.0,0.0,0.0,-4.76,0.0,0.0,13.16,0.0,2.27,-2.44,2.01
7,FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-0.06,0.0,0.0,0.0,-9.32,-4.48,0.0,0.0,0.0,0.0,-6.6
8,FEIJÃO-CARIOCA (RAJADO),0.0,0.0,9.8,22.04,17.41,20.69,37.65,16.32,49.63,22.93,48.02,16.43,36.97,25.86
9," FARINHAS, FÉCULAS E MASSAS",-1.57,-1.21,-0.65,-1.14,-1.11,1.02,-1.27,-0.45,-2.08,-1.24,-0.16,-0.93,0.38,-1.18
10,FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,-2.36,0.0,0.0,0.0,0.0,-0.94
11,MACARRÃO,-1.43,0.32,-0.85,-0.01,-1.37,2.87,0.13,-1.35,-0.57,-2.36,1.2,-1.07,2.0,-0.8
12,FUBÁ DE MILHO,0.0,0.0,1.45,-5.45,0.0,0.0,0.0,0.0,-11.13,0.0,-1.58,0.0,0.0,-4.45
13,AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,1.43
14,FLOCOS DE MILHO,0.0,0.0,0.0,5.96,0.0,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93
15,FARINHA DE TRIGO,-1.33,-3.27,-1.77,0.0,0.37,0.0,-0.74,0.0,0.0,0.33,-3.23,0.06,-0.7,-0.89
16,FARINHA VITAMINADA,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,1.4
17,FARINHA DE MANDIOCA,0.06,0.0,0.0,-1.62,0.0,-1.46,-1.62,-0.8,-1.72,0.0,0.0,-1.92,0.0,-1.53
18,MASSA SEMIPREPARADA,-3.33,-1.59,-0.92,0.0,-1.52,-0.01,0.0,0.0,0.0,-1.05,-0.18,0.13,-1.65,-1.46
19," TUBÉRCULOS, RAÍZES E LEGUMES",-12.55,-6.64,-14.15,-11.22,-11.5,-11.93,-4.64,-9.0,-14.93,-6.39,-18.07,-13.41,-12.07,-11.33
20,BATATA-INGLESA,-11.72,1.19,-14.07,-6.04,-0.89,-11.11,2.63,-3.96,-11.83,-5.65,-12.73,-9.28,-9.93,-6.17
21,INHAME,0.0,0.0,0.0,-4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.37
22,MANDIOCA (AIPIM),0.0,-12.14,0.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-10.26,-6.5
23,ABÓBORA,1.93,0.0,2.91,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,-9.21,0.0,0.0,-0.59
24,PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.74,0.0,0.0,0.0,0.0,-3.74
25,QUIABO,0.0,0.0,-3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.22
26,TOMATE,-21.11,-15.26,-19.99,-21.88,-21.77,-16.51,-7.51,-18.49,-23.54,-8.68,-27.9,-20.5,-15.66,-19.22
27,CEBOLA,-2.59,-4.72,-10.84,-9.31,-8.22,-3.01,-5.87,0.73,-10.18,-1.36,-4.97,-15.56,-2.13,-6.77
28,CENOURA,-9.24,0.0,-12.32,0.0,-9.63,-14.15,0.0,-6.79,-10.55,-8.86,-3.9,-10.04,0.0,-9.68
29,MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.56
30,AÇÚCARES E DERIVADOS,-0.5,-1.93,-1.97,3.1,-0.22,-0.65,-2.96,-0.28,4.0,0.53,-2.39,-2.62,-2.9,-0.4
31,AÇÚCAR REFINADO,1.52,-0.19,0.0,0.0,0.3,0.0,-0.58,0.38,0.0,-0.5,0.0,0.0,0.0,0.5
32,AÇÚCAR CRISTAL,-6.83,-6.96,-2.51,5.47,-0.7,-1.06,-4.19,-1.09,5.93,2.96,-3.2,-4.1,-3.96,-0.74
33,BALAS,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.18
34,CHOCOLATE EM BARRA E BOMBOM,4.51,2.26,-1.58,-3.14,-1.17,0.14,-1.85,0.0,0.23,-0.98,-1.43,-0.14,0.16,-0.13
35,SORVETE,-0.48,-1.81,-2.63,0.46,-1.37,0.96,0.0,1.39,0.26,-0.42,-1.13,-0.78,-2.54,-1.16
36,CHOCOLATE E ACHOCOLATADO EM PÓ,-1.97,-2.23,0.32,2.65,1.99,0.27,-2.54,-0.64,-1.68,0.04,-0.92,0.45,-2.62,0.04
37,DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,-4.92,0.0,-2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6
38,HORTALIÇAS E VERDURAS,-1.57,9.31,-2.47,-2.48,0.23,-2.45,0.89,1.78,-1.11,6.37,-3.34,1.89,-3.23,0.61
39,ALFACE,-1.45,18.7,-3.11,0.54,2.06,-1.79,-1.3,-2.43,-3.68,11.9,-6.33,3.88,-2.07,2.53
40,COENTRO,0.0,0.0,0.0,-3.65,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,0.0,0.0,-3.32
41,COUVE,-2.25,0.0,-0.2,0.0,-1.59,-6.94,0.0,0.0,0.0,2.22,0.01,3.69,0.0,-1.09
42,COUVE-FLOR,-3.2,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,1.46
43,REPOLHO,3.47,-3.28,-3.5,-4.7,-1.7,-8.44,-2.81,0.0,0.55,-2.42,3.35,-5.65,-12.17,-2.04
44,CHEIRO-VERDE,-4.01,0.0,0.0,0.0,-2.65,0.41,2.95,2.44,3.48,0.0,0.0,1.71,4.72,0.6
45,AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.33,-4.33
46,BRÓCOLIS,-1.22,-4.47,-1.68,0.0,-3.6,4.31,0.0,0.0,0.0,-4.86,0.0,0.0,0.0,-3.02
47,FRUTAS,-5.91,-9.07,-9.96,-5.53,-4.42,-4.39,-2.25,-5.4,-4.7,-8.09,-1.52,-4.82,-6.7,-5.9
48,BANANA-DA-TERRA,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,2.79,0.0,0.0,6.6,0.0,3.78
49,ABACAXI,3.07,-8.08,-6.06,-5.16,-4.02,0.0,0.0,0.0,0.0,-5.42,1.97,0.0,4.15,-3.73
50,ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,2.97
51,BANANA-D'AGUA,-8.98,-15.58,0.0,0.0,-4.46,-7.05,0.0,0.0,0.0,-9.56,0.0,0.0,-7.22,-7.6
52,BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.28,0.0,-9.92,-6.31
53,BANANA-PRATA,-7.43,-1.8,-14.8,-3.19,-2.71,-5.65,-2.94,-7.67,-8.63,-6.52,-2.43,-7.89,0.0,-6.39
54,LARANJA-BAIA,0.0,-18.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.36
55,LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,19.68,0.0,0.0,0.0,0.0,0.0,0.0,19.68
56,MAÇÃ,-0.55,-11.98,-9.79,-3.36,-4.5,-1.24,-5.51,1.87,2.05,-11.72,3.8,-1.35,-1.94,-4.76
57,MAMÃO,-4.92,-0.92,-2.24,-10.76,-0.88,-1.39,-12.29,10.2,0.07,-6.96,0.0,9.77,-0.6,-2.22
58,MANGA,1.1,0.0,0.0,1.16,0.0,-3.31,0.0,0.0,0.0,0.0,0.0,-6.06,0.0,-0.05
59,MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.56,-10.59,0.0,0.0,0.0,0.0,-10.58
60,MELANCIA,0.0,0.0,-4.96,5.06,-0.68,-0.73,-2.76,4.55,-4.08,0.37,0.07,0.0,-10.45,-1.18
61,PÊRA,1.78,0.0,0.0,0.0,-0.47,-1.09,0.0,0.0,0.0,0.0,0.47,2.12,0.0,0.22
62,TANGERINA,0.0,-9.07,0.0,0.0,-4.42,0.0,0.0,0.0,0.0,0.0,0.0,-4.82,0.0,-8.79
63,UVA,-9.84,0.0,-2.56,-1.81,-1.58,-2.49,2.72,-8.48,0.64,-5.95,-1.89,-8.06,-3.62,-2.92
64,LARANJA-PÊRA,-11.28,0.0,-11.51,-20.02,-11.29,-9.53,0.7,-11.85,-9.72,-7.76,-4.2,-12.56,-10.85,-10.75
65,MORANGO,0.0,15.05,-8.92,0.0,0.0,0.0,0.0,0.0,0.0,-9.41,0.0,0.0,0.0,-3.29
66,GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.6,0.0,0.0,0.0,0.0,0.0,-11.6
67,CARNES,2.17,-1.46,-0.6,-1.44,-2.56,0.07,-1.28,-1.3,-0.16,-2.47,-0.81,-0.86,-1.94,-1.23
68,FÍGADO,0.0,0.0,0.0,-4.14,0.0,0.0,-1.47,1.41,1.17,0.0,0.0,0.0,0.0,-0.97
69,CARNE DE PORCO,0.44,-2.93,-1.44,0.62,-6.04,3.32,-0.39,2.8,-3.14,-1.27,-0.27,-2.67,-3.35,-2.61
