Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,-0.03,-0.12,0.31,0.29,0.38,0.28,0.1,0.01,0.35,0.49,0.38,0.03,-0.24,0.24
1, ALIMENTAÇÃO E BEBIDAS,-0.75,-0.41,-0.47,-0.04,-0.6,0.49,-0.52,-0.66,0.24,-0.76,-0.62,-0.7,-0.78,-0.47
2, ALIMENTAÇÃO NO DOMICÍLIO,-1.04,-0.67,-1.08,-0.15,-0.81,0.06,-0.79,-0.88,-0.05,-1.32,-1.8,-1.07,-1.15,-0.81
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.96,1.84,-1.01,-3.58,-3.24,-0.99,-2.45,-4.71,-1.88,0.32,-8.96,-0.71,-3.7,-2.16
4, ARROZ,-0.61,-0.45,-3.92,-0.51,-1.36,-3.77,0.73,-2.25,-0.83,-2.12,-1.2,-2.24,-1.56,-1.52
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.56,0.0,0.0,0.0,-0.29,1.97,0.0,0.0,0.0,0.0,-0.56
6, FEIJÃO-PRETO,5.89,7.28,0.0,0.0,0.0,0.0,1.81,0.0,0.0,5.96,0.0,1.31,-4.07,5.44
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-5.63,0.0,0.0,0.0,-9.45,-2.53,0.0,0.0,0.0,0.0,-7.11
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,4.54,-10.4,-6.62,3.31,-8.94,-11.12,-4.13,4.36,-20.52,2.54,-9.43,-5.39
9," FARINHAS, FÉCULAS E MASSAS",-0.72,2.24,-1.02,0.24,-0.38,0.64,-0.65,-1.79,1.45,-1.23,0.69,0.11,-0.53,-0.08
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,7.23,0.0,0.0,0.0,0.0,5.34
11, MACARRÃO,0.29,3.44,-0.57,2.75,-0.6,1.46,-1.09,-1.24,-1.63,-1.22,0.39,1.05,-0.37,-0.1
12, FUBÁ DE MILHO,0.0,0.0,0.72,3.28,0.0,0.0,0.0,0.0,4.92,0.0,0.7,0.0,0.0,2.65
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,-0.9
14, FLOCOS DE MILHO,0.0,0.0,0.0,-3.14,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34
15, FARINHA DE TRIGO,-2.97,3.26,-2.97,0.0,-0.36,0.0,0.65,0.0,0.0,-3.91,0.58,-0.49,-0.35,-0.84
16, FARINHA VITAMINADA,0.0,0.0,0.0,0.48,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.78
17, FARINHA DE MANDIOCA,-2.75,0.0,0.0,-3.29,0.0,-2.71,-0.6,-4.1,1.66,0.0,0.0,0.21,0.0,-0.42
18, MASSA SEMIPREPARADA,-0.94,-0.22,-2.1,0.0,0.05,0.9,0.0,0.0,0.0,3.86,1.77,-1.7,-1.05,-0.06
19," TUBÉRCULOS, RAÍZES E LEGUMES",2.1,-5.18,-1.08,-1.07,0.71,8.18,-1.88,3.6,4.84,-3.43,6.38,2.84,-4.72,0.35
20, BATATA-INGLESA,-22.08,-33.03,-21.31,-20.5,-24.29,-14.76,-8.8,-19.36,-9.72,-27.97,-18.49,-20.87,-28.04,-22.73
21, INHAME,0.0,0.0,0.0,-2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36
22, MANDIOCA (AIPIM),0.0,-6.73,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.51,-1.51,-3.17
23, ABÓBORA,2.17,0.0,-5.56,0.0,0.0,0.51,0.0,0.0,0.0,0.0,3.65,0.0,0.0,-0.27
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,2.62
25, QUIABO,0.0,0.0,8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99
26, TOMATE,27.47,25.37,20.86,1.28,21.42,31.97,-3.98,18.5,7.08,12.26,24.21,28.57,3.9,16.9
27, CEBOLA,18.97,13.12,2.57,23.32,6.51,4.27,8.17,20.44,22.53,10.04,6.79,17.2,4.7,11.7
28, CENOURA,2.81,0.0,5.0,0.0,1.43,-0.48,0.0,1.73,3.98,-5.06,-0.73,-1.05,0.0,1.62
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34
30, AÇÚCARES E DERIVADOS,-1.23,1.86,-5.88,0.47,-2.66,-4.54,-1.77,-4.17,3.24,-0.81,-3.94,-2.51,-0.84,-1.74
31, AÇÚCAR REFINADO,-3.19,-0.76,0.0,0.0,-2.3,0.0,-0.33,-4.49,0.0,-2.73,0.0,0.0,0.0,-2.62
32, AÇÚCAR CRISTAL,-1.54,1.89,-10.61,1.0,-6.69,-9.34,-2.65,-6.83,4.04,-1.02,-5.85,-4.34,-2.34,-3.52
33, BALAS,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.05,0.0,0.0,0.0,-1.09
34, CHOCOLATE EM BARRA E BOMBOM,0.41,1.9,2.53,0.84,-2.52,0.42,-3.04,0.0,-0.63,-2.83,-0.53,1.45,-0.48,-0.69
35, SORVETE,-0.07,0.62,-0.5,-1.63,-0.01,-0.52,0.0,0.14,0.43,-0.01,-1.87,-0.33,2.56,-0.07
36, CHOCOLATE E ACHOCOLATADO EM PÓ,1.23,5.14,-1.26,-0.75,-1.25,3.43,-0.01,2.26,2.49,2.64,-0.27,0.29,-0.76,0.58
37, DOCE  FRUTAS EM PASTA,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
38, HORTALIÇAS E VERDURAS,1.34,-5.04,-5.94,-2.56,-2.19,1.69,-3.3,0.37,-3.5,0.88,-9.21,0.69,2.35,-2.28
39, ALFACE,0.16,-10.41,-8.76,-4.35,-2.78,-1.63,-4.89,1.7,-10.97,3.82,-16.16,1.51,2.59,-4.28
40, COENTRO,0.0,0.0,0.0,-3.81,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,-1.36
41, COUVE,-0.3,0.0,-4.11,0.0,-1.94,8.15,0.0,0.0,0.0,-4.94,1.11,-1.46,0.0,-1.72
42, COUVE-FLOR,2.63,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,3.45
43, REPOLHO,2.76,6.27,4.36,7.26,0.67,1.85,0.88,0.0,1.5,-9.0,2.24,6.98,9.15,2.23
44, CHEIRO-VERDE,2.04,0.0,0.0,0.0,-3.42,1.5,-3.65,0.17,-3.35,0.0,0.0,-3.16,-4.62,-1.93
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-1.1
46, BRÓCOLIS,3.15,-5.26,-4.63,0.0,1.01,8.1,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.29
47, FRUTAS,-0.75,-1.12,-2.61,-2.28,-1.36,-4.23,-1.22,-5.76,-3.93,-6.05,-5.17,-1.12,-0.05,-2.35
48, BANANA-DA-TERRA,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,-6.46,0.0,0.0,-4.78,0.0,-2.78
49, ABACAXI,-3.06,4.59,-5.37,2.59,0.71,0.0,0.0,0.0,0.0,5.27,-2.44,0.0,-7.6,0.02
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,4.75
51, BANANA-D'AGUA,-1.61,-2.98,0.0,0.0,-1.19,-8.64,0.0,0.0,0.0,-11.56,0.0,0.0,-0.47,-2.99
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,-1.25,2.64
53, BANANA-PRATA,-6.52,-0.41,-6.55,-3.87,-3.59,-3.29,-2.8,-7.55,-0.31,0.81,-9.8,-3.43,0.0,-4.18
54, LARANJA-BAIA,0.0,-7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.39
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,28.8
56, MAÇÃ,-0.91,-0.73,4.93,6.42,-0.37,-6.48,0.71,-3.09,-3.95,2.19,-3.95,-2.73,-1.63,-0.16
57, MAMÃO,0.58,3.84,6.56,-0.22,-2.3,-10.27,4.69,-6.1,-16.71,6.53,0.0,-6.96,-1.69,-1.05
58, MANGA,9.68,0.0,0.0,3.82,0.0,9.24,0.0,0.0,0.0,0.0,0.0,6.09,0.0,7.29
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.96,-10.38,0.0,0.0,0.0,0.0,-11.36
60, MELANCIA,0.0,0.0,12.55,-0.45,0.12,6.39,3.4,2.18,6.73,6.6,8.07,0.0,18.61,4.38
61, PÊRA,2.63,0.0,0.0,0.0,5.79,-1.22,0.0,0.0,0.0,0.0,-1.01,4.67,0.0,3.91
62, TANGERINA,0.0,-1.12,0.0,0.0,-1.36,0.0,0.0,0.0,0.0,0.0,0.0,-1.12,0.0,-1.13
63, UVA,6.69,0.0,-4.07,-6.21,-0.09,-11.56,-8.6,1.91,0.67,-9.81,-11.87,3.67,8.22,-1.3
64, LARANJA-PÊRA,-1.29,0.0,-8.81,-12.12,-4.1,-5.37,-7.93,-10.09,-11.78,-17.3,-11.9,1.34,-12.71,-7.65
65, MORANGO,0.0,-2.81,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,-12.91,0.0,0.0,0.0,-8.27
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,5.81
67, CARNES,-3.29,-0.13,-0.61,-0.04,-1.11,-0.32,-0.63,1.49,-0.56,-2.0,-2.79,-2.48,-2.02,-1.06
68, FÍGADO,0.0,0.0,0.0,2.46,0.0,0.0,0.43,-2.71,-4.82,0.0,0.0,0.0,0.0,-1.06
69, CARNE DE PORCO,-1.23,-0.51,-0.66,1.88,1.6,-2.91,-0.94,1.61,5.7,-3.75,-2.44,-0.79,0.25,-0.06
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,1.48,0.0,0.0,0.0,0.0,0.88
71, CONTRAFILÉ,-3.47,2.97,-1.83,3.0,-0.93,-2.56,-4.43,3.98,1.01,-3.87,-4.84,-4.59,-2.68,-1.36
72, FILÉ-MIGNON,-1.06,0.0,0.0,5.77,0.0,0.0,-5.74,0.0,1.67,-2.52,0.18,0.0,2.71,-1.14
73, CHÃ DE DENTRO,-4.64,1.32,0.13,-2.49,-3.41,1.24,5.08,1.32,-0.66,0.15,-3.84,-5.71,-6.16,-1.26
74, ALCATRA,-8.19,-1.85,1.0,4.44,-1.11,-1.37,-6.05,0.23,-1.79,-3.33,-1.66,-0.63,-1.44,-2.19
75, PATINHO,-3.31,-2.5,0.92,-5.81,-1.4,3.2,-0.5,1.69,-0.48,-0.84,-2.43,-1.36,-2.16,-1.09
76, LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-3.94,0.0,-0.76,0.0,0.0,0.0,0.0,-2.94
77, LAGARTO COMUM,0.0,0.0,0.0,0.0,-2.14,0.22,0.0,1.86,-1.33,0.0,-0.66,0.0,5.52,-1.13
78, MÚSCULO,0.66,-3.95,-1.63,2.38,-0.33,0.0,4.58,0.0,-1.49,3.23,-3.37,-1.25,-1.31,-0.62
79, PÁ,0.0,-1.02,0.0,-1.59,2.9,-1.85,3.67,0.0,-2.07,-2.52,0.0,0.0,-0.4,0.35
80, ACÉM,-3.82,-2.1,-2.67,-3.33,-1.41,3.28,0.72,0.91,-2.49,-0.64,-5.03,-1.76,-0.23,-1.57
81, PEITO,0.0,0.0,0.0,0.0,0.0,0.0,2.75,1.38,-0.42,0.0,-2.31,0.0,-0.04,0.71
82, CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.27,-1.27
83, COSTELA,0.93,0.59,-0.93,-0.82,-1.62,-1.26,2.37,0.9,2.16,-1.12,-2.75,-4.44,-4.33,-0.35
84, PESCADOS,-5.67,-0.91,-0.79,-1.68,-3.94,2.74,-5.27,3.32,1.38,-1.21,-0.12,-2.79,-3.72,-2.54
85, PEIXE-ANCHOVA,-6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.34
86, PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.0,-0.52
87, PEIXE-CORVINA,-3.34,0.0,0.0,-2.45,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,-0.3
88, PEIXE-CAVALINHA,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98
89, PEIXE,0.0,-0.91,-0.79,0.0,0.0,2.74,0.0,0.0,0.0,-1.21,-0.12,0.0,0.0,-0.39
90, PEIXE-SARDINHA,0.0,0.0,0.0,3.91,0.74,0.0,0.0,0.0,6.69,0.0,0.0,0.0,4.63,2.59
91, CAMARÃO,-9.68,0.0,0.0,-10.62,0.0,0.0,-13.86,0.0,1.33,0.0,0.0,-2.71,-7.11,-7.58
92, PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,3.91
93, PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.05,-4.0,0.0,0.0,0.0,0.0,-3.21
94, PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,-1.69
95, PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.19,0.0,-5.18
96, PEIXE-CAÇÃO,-1.53,0.0,0.0,0.0,-4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,-2.94
97, PEIXE-MERLUZA,2.0,0.0,0.0,-0.86,-3.94,0.0,0.0,0.0,-3.2,0.0,0.0,0.0,-9.42,-1.63
98, PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-4.88,2.0,0.0,0.0,0.0,0.0,0.0,-2.31
99, PEIXE-PESCADA,-7.12,0.0,0.0,2.9,-4.86,0.0,-5.82,0.0,0.44,0.0,0.0,-3.91,0.0,-4.79
100, CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,6.93
101, PEIXE-CASTANHA,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98
102, PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-8.46,0.0,0.0,3.32,0.0,0.0,0.0,0.0,-3.72,-6.27
103, PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,4.31
104, PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-5.27,0.0,0.0,0.0,0.0,0.0,0.0,-5.27
105, PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,-3.75
106, PEIXE-PEROA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.91,0.0,-3.91
107, PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,-1.44
108, CARNES E PEIXES INDUSTRIALIZADOS,-0.32,-0.64,0.48,1.1,2.2,0.66,1.15,1.21,-1.52,-1.21,0.03,-0.77,0.44,0.56
109, PRESUNTO,2.56,0.55,-1.23,0.0,1.24,2.09,2.5,2.07,-0.39,-2.18,2.35,3.01,-2.68,0.72
110, SALSICHA ,1.94,-0.82,1.33,0.25,2.92,2.67,0.35,0.0,0.0,0.58,0.9,-0.02,-0.88,1.44
111, LINGUIÇA,-1.44,-2.01,0.65,2.73,2.11,-0.82,-1.75,2.68,-2.78,-2.9,-1.73,-4.1,1.99,0.26
112, MORTADELA,-1.39,0.87,-0.91,0.73,2.79,0.0,0.46,0.42,0.0,2.16,0.0,8.07,0.1,1.22
113, SALAME ,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52
114, CARNE-SECA E DE SOL,-2.25,0.0,0.0,0.96,0.0,0.0,2.45,-2.07,-1.64,0.0,0.0,2.46,0.0,-0.24
115, CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,4.34,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,3.09
116, HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67
117, AVES E OVOS,-1.32,-1.35,-2.73,0.78,0.04,0.58,0.33,-0.59,-1.45,0.08,1.6,-1.66,-0.28,-0.52
118, FRANGO INTEIRO,1.32,-0.6,-6.86,0.09,-1.92,-0.49,0.22,-0.69,-1.88,-7.14,1.56,-3.21,-2.56,-1.36
119, FRANGO EM PEDAÇOS,-3.15,-2.17,1.14,-0.37,0.54,-0.98,0.89,1.01,-0.64,1.81,0.39,-1.62,-0.19,-0.5
120, OVO DE GALINHA,0.32,-0.1,-1.22,3.92,1.3,4.8,0.44,-0.96,-1.09,5.38,2.51,1.07,2.52,1.03
121, LEITES E DERIVADOS,-1.82,-2.95,-0.9,-0.39,-2.92,0.74,-0.53,-0.61,-1.5,-2.41,-0.1,-2.3,-0.66,-1.84
122, LEITE LONGA VIDA,-4.12,-2.73,-0.52,-0.19,-4.84,-0.32,-1.93,-0.38,-3.92,-4.83,0.05,-3.35,-1.47,-3.22
123, LEITE CONDENSADO,0.0,-4.11,0.0,0.0,0.0,0.0,-1.4,1.62,0.0,0.0,0.0,0.0,-0.66,-1.7
124, LEITE EM PÓ,-1.92,-2.62,0.0,-2.18,-0.32,0.0,-0.36,-1.52,-0.17,0.99,-0.18,-1.62,-3.77,-1.0
125, QUEIJO,1.07,-4.71,-1.73,0.73,-0.72,2.8,0.14,-0.8,-0.22,1.15,-0.28,-1.01,1.17,-0.53
126, CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84,0.0,0.0,0.0,0.0,0.0,-0.84
127, IOGURTE E BEBIDAS LÁCTEAS,-0.3,0.94,-0.88,-2.31,-0.49,1.26,-0.9,0.59,-0.44,1.5,-0.82,-0.96,1.1,-0.26
128, MANTEIGA,0.0,0.0,0.0,5.22,0.0,0.0,1.89,-0.65,-1.08,0.0,0.0,-1.75,0.0,0.71
129, PANIFICADOS,-0.45,-0.23,-0.51,1.31,0.98,-0.74,0.28,0.8,2.9,-0.46,-0.62,0.67,0.9,0.48
130, BISCOITO,-1.78,1.53,1.3,1.97,1.13,-1.64,0.07,0.89,1.13,1.86,0.44,1.24,1.7,0.85
131, PÃO FRANCÊS,-0.1,-0.08,-1.15,1.39,1.2,-1.26,0.41,0.98,3.98,-0.59,-1.16,-0.06,0.72,0.65
132, PÃO DOCE,0.4,-0.76,-1.17,0.0,-0.62,1.4,-0.27,-0.41,0.88,-0.21,0.0,-3.16,-0.35,-0.42
133, PÃO DE FORMA,-0.25,-3.47,-0.17,0.0,0.66,0.83,0.0,0.0,0.0,-6.6,1.28,2.81,-0.42,-0.72
134, BOLO,-0.42,-2.01,-1.67,-3.37,1.02,-1.09,-0.1,-0.76,1.39,-0.51,0.29,4.12,1.79,-0.25
135, PÃO DE QUEIJO,0.0,0.0,-0.58,0.0,0.0,2.48,0.0,0.0,0.0,0.0,-2.68,0.0,0.0,-0.54
136, ÓLEOS E GORDURAS,-0.01,0.71,-1.09,1.85,0.33,-2.66,-0.49,-0.21,-0.96,-3.53,0.07,-1.02,-1.66,-0.37
137, ÓLEO DE SOJA,-1.11,0.73,-1.35,1.04,0.42,-0.64,-0.99,-1.83,-1.9,-5.31,-0.02,-0.28,-0.92,-0.88
138, AZEITE DE OLIVA,-0.57,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,0.0,-0.39
139, MARGARINA,1.39,0.68,-0.34,2.54,0.4,-5.08,0.39,1.79,0.51,0.02,0.44,-2.26,-3.45,0.51
140, BEBIDAS E INFUSÕES,0.24,-0.5,0.09,-0.33,0.28,2.02,0.35,-1.1,-0.39,0.67,0.48,0.25,-0.55,0.12
141, SUCO DE FRUTAS,1.66,1.83,0.67,0.5,-0.84,1.7,0.65,-0.76,-0.34,-0.32,-0.93,2.14,-1.27,0.05
142, AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,-0.17
143, CAFÉ MOÍDO,0.72,0.04,0.63,0.22,-0.26,0.02,0.59,-2.76,-1.15,0.69,0.3,0.12,-1.21,-0.08
144, CAFÉ SOLÚVEL,0.0,-2.79,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96
145, CHÁ,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,-1.11,1.26
146, REFRIGERANTE E ÁGUA MINERAL,-0.91,-0.63,0.24,-0.5,1.35,3.61,0.6,-0.34,0.6,0.6,1.01,-0.27,-0.12,0.45
147, CERVEJA,1.91,-2.18,-1.32,-1.59,-0.72,2.04,0.34,0.58,-1.21,0.31,0.21,0.16,-0.18,-0.44
148, OUTRAS BEBIDAS ALCOÓLICAS,-0.67,1.29,0.42,1.15,1.14,1.92,0.95,-0.88,0.57,1.58,-0.25,0.33,0.0,0.63
149, ENLATADOS E CONSERVAS,-1.6,-0.1,1.02,2.5,0.07,1.07,0.01,1.3,-0.57,-0.89,-1.79,0.54,0.81,0.05
150, COCO RALADO,0.0,0.0,0.0,0.0,-1.37,3.78,0.0,0.0,0.0,0.2,0.0,0.0,-1.51,-0.57
151, ERVILHA EM CONSERVA,-0.41,0.54,0.0,0.0,0.0,5.05,0.0,0.0,2.01,0.0,0.0,0.0,-0.41,0.74
152, PALMITO EM CONSERVA,-3.3,0.0,-3.75,0.0,-2.88,0.0,0.0,0.0,0.0,0.22,-1.12,1.25,0.0,-2.26
