Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.02,0.33,0.3,0.18,0.29,0.45,-0.22,-0.19,-0.06,0.35,-0.03,0.38,0.21,0.19
1, ALIMENTAÇÃO E BEBIDAS,-1.08,-1.02,-1.59,-0.95,-1.04,-0.76,-1.83,-0.8,-0.09,-1.0,-1.72,-1.15,-1.22,-1.07
2, ALIMENTAÇÃO NO DOMICÍLIO,-2.18,-1.99,-2.37,-1.62,-1.79,-1.95,-2.13,-1.16,-1.19,-1.28,-2.75,-1.89,-1.77,-1.84
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.91,-5.64,-5.12,-3.25,-5.22,-7.58,-7.4,-5.18,-6.74,-5.0,-7.6,-3.63,-6.78,-5.42
4, ARROZ,-2.85,-2.44,1.24,-1.12,-0.72,-2.45,-0.07,-0.7,-1.32,-1.07,-1.39,-1.07,-1.59,-0.95
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,-3.84,0.0,0.0,0.0,-12.14,-20.43,0.0,0.0,0.0,0.0,-11.31
6, FEIJÃO-PRETO,-3.01,-12.68,0.0,0.0,0.0,0.0,-5.7,0.0,0.0,-8.53,0.0,-4.45,-5.91,-6.36
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,7.07,0.0,0.0,0.0,-10.23,-3.23,0.0,0.0,0.0,0.0,-5.26
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-16.26,-15.54,-13.81,-14.99,-21.46,-17.0,-7.6,-14.57,-19.11,-13.92,-22.19,-14.86
9," FARINHAS, FÉCULAS E MASSAS",-2.3,-0.47,-1.31,-2.03,-1.18,-3.58,-2.79,-2.25,-0.71,-2.62,-1.31,-1.07,-0.88,-1.66
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,3.14,0.0,0.0,0.0,0.0,1.5
11, MACARRÃO,-1.66,-1.91,-2.0,-0.94,-2.17,-6.65,2.49,-1.0,-4.05,-1.53,-1.95,-0.7,-0.37,-1.73
12, FUBÁ DE MILHO,0.0,0.0,-0.86,-3.46,0.0,0.0,0.0,0.0,-1.1,0.0,-0.08,0.0,0.0,-1.93
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,-0.18
14, FLOCOS DE MILHO,0.0,0.0,0.0,0.94,0.0,-1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
15, FARINHA DE TRIGO,-3.21,0.27,-2.59,0.0,-2.09,0.0,0.7,0.0,0.0,-3.06,-0.79,-0.4,-1.16,-1.72
16, FARINHA VITAMINADA,0.0,0.0,0.0,-0.94,0.0,0.0,0.0,-2.46,0.0,0.0,0.0,0.0,0.0,-1.66
17, FARINHA DE MANDIOCA,-3.84,0.0,0.0,-3.26,0.0,1.08,-4.24,-4.36,0.03,0.0,0.0,-3.34,0.0,-2.52
