Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.13,0.07,0.24,-0.26,0.19,0.22,0.33,0.16,0.24,0.14,0.04,0.54,0.33,0.16
1, ALIMENTAÇÃO E BEBIDAS,0.16,-0.58,-0.53,-1.05,-0.2,-1.49,-0.25,-0.57,-1.09,-0.62,0.08,-0.09,0.05,-0.41
2, ALIMENTAÇÃO NO DOMICÍLIO,-0.42,-0.8,-0.79,-1.7,-0.59,-0.52,-0.29,-1.04,-1.41,-0.76,-0.08,-0.6,-0.13,-0.74
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.1,-2.07,-2.68,-9.04,-1.86,-2.81,-1.57,-3.94,-10.87,-1.65,-4.14,-2.33,-4.01,-3.55
4, ARROZ,-0.79,0.39,-1.11,-0.95,0.22,0.69,-0.33,-0.98,-0.62,-0.18,-0.66,-0.8,-1.05,-0.39
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,-20.39,0.0,0.0,0.0,-19.48,-18.56,0.0,0.0,0.0,0.0,-19.64
6, FEIJÃO-PRETO,-1.56,-8.14,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.47,0.0,-3.07,-11.99,-2.69
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-4.82,0.0,0.0,0.0,-5.44,-8.21,0.0,0.0,0.0,0.0,-6.01
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-6.01,-8.25,-6.41,-8.59,-5.79,-7.16,-19.69,-8.5,-12.01,-8.85,-12.9,-9.43
9," FARINHAS, FÉCULAS E MASSAS",-0.68,-0.84,-0.13,-0.53,-1.11,0.89,-2.98,-0.16,0.05,-0.65,-1.62,0.29,0.06,-0.87
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.56,1.3,0.0,0.0,0.0,0.0,-1.18
11, MACARRÃO,-1.25,-2.07,-0.34,2.76,-1.53,0.78,-1.12,0.95,1.69,-1.18,-0.17,-0.75,0.94,-0.51
12, FUBÁ DE MILHO,0.0,0.0,-0.98,-3.43,0.0,0.0,0.0,0.0,-2.72,0.0,-1.04,0.0,0.0,-2.35
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,0.0,0.0,0.0,0.0,0.0,-3.02
14, FLOCOS DE MILHO,0.0,0.0,0.0,0.65,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01
15, FARINHA DE TRIGO,-2.66,0.55,-0.86,0.0,-2.43,0.0,-0.18,0.0,0.0,-1.26,-6.21,-1.06,-0.53,-1.42
16, FARINHA VITAMINADA,0.0,0.0,0.0,-1.97,0.0,0.0,0.0,-0.61,0.0,0.0,0.0,0.0,0.0,-1.33
17, FARINHA DE MANDIOCA,2.29,0.0,0.0,-1.75,0.0,-0.01,-3.6,0.81,-0.35,0.0,0.0,1.85,0.0,-1.54
18, MASSA SEMIPREPARADA,0.23,-0.29,1.31,0.0,0.55,1.03,0.0,0.0,0.0,1.88,-1.86,1.41,-1.1,0.53
19," TUBÉRCULOS, RAÍZES E LEGUMES",-6.07,-6.98,-9.1,-14.66,-5.13,-12.8,-9.32,-12.0,-15.27,-8.33,-0.61,-5.32,-3.69,-8.16
20, BATATA-INGLESA,-12.19,-4.59,-14.33,-11.63,-6.36,-18.27,-3.45,-8.94,-8.62,-4.89,0.78,-4.09,-4.02,-8.06
21, INHAME,0.0,0.0,0.0,-15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.41
22, MANDIOCA (AIPIM),0.0,-2.02,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,-4.0,-0.64
23, ABÓBORA,1.03,0.0,0.35,0.0,0.0,5.47,0.0,0.0,0.0,0.0,3.87,0.0,0.0,1.68
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.69,0.0,0.0,0.0,0.0,-15.69
25, QUIABO,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14
26, TOMATE,-0.04,-9.36,-12.72,-27.15,-7.32,-15.72,-16.29,-17.62,-25.64,-8.07,-0.67,-13.99,-0.83,-11.01
27, CEBOLA,-10.56,-8.0,-5.12,-9.45,-4.23,-10.2,-3.65,-11.14,-7.21,-14.32,-4.94,-0.96,-12.05,-7.13
28, CENOURA,0.46,0.0,0.68,0.0,1.99,-4.88,0.0,-7.2,-8.83,-4.86,-1.91,3.93,0.0,-1.16
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.93
30, AÇÚCARES E DERIVADOS,-3.31,-2.38,-0.54,-3.89,-2.46,0.38,-3.38,-1.21,-0.78,0.25,-1.58,2.3,-4.21,-1.88
31, AÇÚCAR REFINADO,-4.36,-5.06,0.0,0.0,-3.64,0.0,-2.38,-0.93,0.0,1.18,0.0,0.0,0.0,-3.14
32, AÇÚCAR CRISTAL,-6.46,-8.09,-1.25,-5.64,-7.01,0.92,-5.86,-1.77,-0.83,1.88,-3.06,3.5,-7.81,-3.37
33, BALAS,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,0.92
34, CHOCOLATE EM BARRA E BOMBOM,-1.26,-1.2,1.09,-1.04,-1.75,-1.0,0.55,0.0,-0.73,-2.09,0.69,-0.17,-0.8,-1.13
35, SORVETE,0.79,-0.96,0.1,0.02,-0.15,1.77,0.0,-0.28,-1.49,1.15,0.35,1.24,-1.46,0.02
36, CHOCOLATE E ACHOCOLATADO EM PÓ,-3.03,2.15,-0.5,-1.47,-0.27,0.3,1.8,-1.0,-0.23,-0.97,0.28,0.75,-0.85,-0.38
37, DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-1.25,0.0,-1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.47
38, HORTALIÇAS E VERDURAS,1.42,-5.15,0.88,-2.53,-6.81,2.21,2.81,-3.56,-1.47,-9.25,-0.78,1.17,-6.95,-3.44
39, ALFACE,2.94,-0.05,2.36,-10.48,-8.36,-1.38,7.39,3.4,-0.79,-12.07,0.21,1.17,-1.88,-4.28
40, COENTRO,0.0,0.0,0.0,-0.81,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,-0.47
41, COUVE,-0.31,0.0,2.22,0.0,-7.23,7.88,0.0,0.0,0.0,-4.05,1.72,0.63,0.0,-2.42
42, COUVE-FLOR,1.17,-5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.02,0.0,-2.77
43, REPOLHO,-1.91,-10.99,-6.76,8.85,-1.0,11.29,5.03,0.0,-2.99,-4.1,-4.78,2.25,-19.19,-3.36
44, CHEIRO-VERDE,1.59,0.0,0.0,0.0,-8.9,4.2,0.22,-4.54,-2.78,0.0,0.0,3.28,-6.42,-3.57
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-2.5
46, BRÓCOLIS,1.66,-10.4,-0.96,0.0,1.93,-7.24,0.0,0.0,0.0,-4.91,0.0,0.0,0.0,-1.18
47, FRUTAS,2.4,3.73,4.63,-3.34,1.12,1.99,0.11,-1.98,0.19,6.52,3.17,3.1,4.51,1.74
48, BANANA-DA-TERRA,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,-1.11,0.0,0.0,0.3,0.0,-0.38
49, ABACAXI,-3.56,1.39,1.02,6.85,1.89,0.0,0.0,0.0,0.0,6.59,1.47,0.0,5.08,2.13
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.28
51, BANANA-D'ÁGUA,2.38,-0.04,0.0,0.0,-2.48,0.34,0.0,0.0,0.0,6.87,0.0,0.0,10.74,-0.35
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,-0.45,2.6
53, BANANA-PRATA,7.1,1.18,5.96,-7.7,1.46,4.74,-1.07,-1.97,-3.04,2.61,5.26,4.37,0.0,0.79
54, LARANJA-BAÍA,0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,3.29
56, MAÇÃ,2.38,4.89,2.02,1.1,-5.76,-7.35,-1.04,-1.18,3.16,4.33,2.53,3.87,10.53,-0.14
57, MAMÃO,14.21,15.33,26.73,-0.06,7.33,17.66,1.45,0.84,13.28,22.28,0.0,18.58,23.97,11.59
58, MANGA,-9.1,0.0,0.0,-16.23,0.0,-3.56,0.0,0.0,0.0,0.0,0.0,-1.51,0.0,-10.28
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,12.64,0.0,0.0,0.0,0.0,8.51
60, MELANCIA,0.0,0.0,3.29,-3.27,4.85,-3.45,-0.86,-1.35,1.1,4.05,1.58,0.0,-0.05,1.58
61, PÊRA,1.12,0.0,0.0,0.0,-0.52,5.2,0.0,0.0,0.0,0.0,3.23,-1.49,0.0,0.51
62, TANGERINA,0.0,3.73,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,3.6
63, UVA,-0.96,0.0,0.46,5.67,9.53,1.59,7.14,-5.15,-6.67,10.97,-1.04,-7.12,-1.55,4.1
64, LARANJA-PERA,-0.35,0.0,3.86,-5.45,0.2,0.42,0.4,-2.35,1.3,4.21,4.38,6.02,-4.16,0.65
65, MORANGO,0.0,-12.77,-15.21,0.0,0.0,0.0,0.0,0.0,0.0,-11.74,0.0,0.0,0.0,-13.38
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.44,0.0,0.0,0.0,0.0,0.0,-8.44
67, CARNES,2.94,-0.05,-0.65,3.23,1.16,-0.62,3.06,0.55,0.67,0.6,2.41,1.12,4.55,1.25
68, FÍGADO,0.0,0.0,0.0,1.1,0.0,0.0,-1.19,4.19,0.99,0.0,0.0,0.0,0.0,0.61
69, CARNE DE PORCO,0.73,-1.0,-2.21,-1.12,-1.53,-0.86,1.1,1.24,-0.34,0.23,-0.84,-0.62,-0.36,-0.91
70, CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,-1.04,0.0,0.0,0.0,0.0,0.97
71, CONTRAFILÉ,2.84,3.62,0.36,4.35,2.69,0.26,4.15,-2.55,-2.04,11.19,3.49,-0.36,7.24,2.94
