Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.26,0.55,-0.08,0.26,0.58,0.46,0.05,-0.16,-0.26,-0.15,0.96,-0.03,0.5,0.28
1, ALIMENTAÇÃO E BEBIDAS,0.41,0.01,-0.71,-0.41,-0.18,0.76,-0.45,-1.03,-1.53,-1.28,-0.08,-0.49,0.25,-0.38
2, ALIMENTAÇÃO NO DOMICÍLIO,0.06,-0.15,-1.14,-0.67,-0.46,-0.24,-0.75,-1.29,-2.33,-1.02,-0.08,-0.85,-0.11,-0.72
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.25,-2.77,-4.31,1.58,-0.35,-2.1,-4.42,-2.2,-9.93,-2.68,-2.23,-2.61,-1.28,-2.71
4, ARROZ,-0.12,-2.38,-0.91,1.98,0.17,-2.73,-3.35,-0.64,-1.0,-2.43,-1.08,-1.44,-1.14,-0.95
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,5.49,0.0,0.0,0.0,-1.06,-7.61,0.0,0.0,0.0,0.0,-0.2
6, FEIJÃO-PRETO,-2.93,-3.82,0.0,0.0,0.0,0.0,-1.23,0.0,0.0,-2.64,0.0,-6.19,-3.29,-3.1
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,1.22,0.0,0.0,0.0,-5.98,0.95,0.0,0.0,0.0,0.0,-2.81
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-12.28,-6.21,-1.57,-0.83,-8.61,-2.22,-25.37,-3.78,-5.25,-0.82,-1.33,-8.4
9," FARINHAS, FÉCULAS E MASSAS",-2.17,-1.29,-0.33,-0.43,-1.94,-3.6,0.19,0.58,-8.32,-1.54,0.51,1.09,-1.13,-2.11
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.03,0.0,0.0,0.0,0.0,1.18
11, MACARRÃO,-2.9,-0.77,-0.47,-2.37,-3.24,-7.89,0.55,-0.66,0.14,0.49,-0.23,1.74,-0.72,-1.44
12, FUBÁ DE MILHO,0.0,0.0,-1.64,6.13,0.0,0.0,0.0,0.0,-4.48,0.0,-0.17,0.0,0.0,0.83
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,-0.45
14, FLOCOS DE MILHO,0.0,0.0,0.0,-0.95,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
15, FARINHA DE TRIGO,0.61,-2.43,-0.61,0.0,1.15,0.0,-0.76,0.0,0.0,-3.06,3.58,-0.97,-2.4,-0.77
16, FARINHA VITAMINADA,0.0,0.0,0.0,-1.18,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,-0.03
17, FARINHA DE MANDIOCA,-1.3,0.0,0.0,-2.54,0.0,-0.78,0.14,1.47,-12.24,0.0,0.0,2.25,0.0,-4.78
18, MASSA SEMIPREPARADA,-2.09,-1.06,1.03,0.0,-1.39,0.33,0.0,0.0,0.0,-4.1,0.2,-0.58,-0.55,-1.14
19," TUBÉRCULOS, RAÍZES E LEGUMES",-1.47,-4.56,-5.99,0.89,0.32,2.19,3.99,-1.24,8.82,-2.74,-0.96,-4.02,2.86,-0.44
20, BATATA-INGLESA,1.6,-0.73,-5.11,-2.88,-0.48,3.71,4.6,-0.69,14.21,12.33,0.56,2.25,5.91,1.59
21, INHAME,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14
22, MANDIOCA (AIPIM),0.0,8.29,0.0,-3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,-1.03,0.95
23, ABÓBORA,-2.94,0.0,-9.16,0.0,0.0,-0.32,0.0,0.0,0.0,0.0,-1.59,0.0,0.0,-4.78
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.16,0.0,0.0,0.0,0.0,-13.16
25, QUIABO,0.0,0.0,-1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06
26, TOMATE,-12.69,-12.5,-8.05,17.36,-3.7,-1.73,4.11,-2.0,12.43,-17.79,-4.5,-15.77,2.64,-4.64
27, CEBOLA,4.98,0.97,-8.78,-9.17,4.01,-0.09,3.35,-6.87,7.01,-6.76,-1.72,-4.08,2.54,0.51
28, CENOURA,10.95,0.0,-0.09,0.0,7.29,12.35,0.0,7.29,18.04,14.43,9.34,3.98,0.0,9.0
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
30, AÇÚCARES E DERIVADOS,-1.11,-1.43,-1.83,-1.29,-1.47,-0.15,-2.77,-2.39,-8.13,-2.26,0.42,-1.61,-1.44,-2.11
31, AÇÚCAR REFINADO,-4.26,-5.22,0.0,0.0,-5.23,0.0,-4.16,-5.17,0.0,-6.38,0.0,0.0,0.0,-4.93
32, AÇÚCAR CRISTAL,-2.61,-2.0,-3.46,-1.72,3.4,1.64,-2.27,-1.91,-11.35,-0.93,1.09,-2.24,-2.92,-2.78
33, BALAS,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66,0.0,0.0,0.0,-0.27
34, CHOCOLATE EM BARRA E BOMBOM,2.06,-0.19,1.28,2.02,-2.36,-0.06,-2.72,0.0,2.02,-2.63,-0.34,-0.97,-0.17,-0.79
35, SORVETE,-0.1,-1.5,-0.44,-1.36,-2.43,0.74,0.0,0.14,-1.62,-2.32,-1.08,0.54,-1.3,-1.58
36, CHOCOLATE E ACHOCOLATADO EM PÓ,3.03,-1.93,-0.76,-0.97,-0.68,-3.23,-2.26,2.42,-0.17,-1.81,0.24,-0.92,0.87,-0.41
37, DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-3.58,0.0,-4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8
38, HORTALIÇAS E VERDURAS,-3.46,6.57,2.8,-3.87,3.62,-4.55,0.31,0.08,1.18,5.08,-0.03,-1.81,-1.6,1.65
39, ALFACE,-5.85,14.65,1.57,5.77,3.87,-7.9,-3.92,-0.11,2.32,12.62,-1.24,-0.65,-1.19,3.43
40, COENTRO,0.0,0.0,0.0,-8.51,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,-4.24
41, COUVE,-5.25,0.0,2.62,0.0,5.0,-5.17,0.0,0.0,0.0,-2.47,2.09,1.32,0.0,1.54
42, COUVE-FLOR,2.11,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.53
43, REPOLHO,1.03,-0.32,8.3,-4.68,-2.78,6.17,8.26,0.0,0.08,-12.83,0.72,-15.3,-3.25,-1.05
44, CHEIRO-VERDE,-2.69,0.0,0.0,0.0,9.51,-3.93,0.24,0.11,1.38,0.0,0.0,0.86,-0.93,2.26
45, AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,-1.75
46, BRÓCOLIS,-2.58,-6.61,3.93,0.0,-1.82,-0.38,0.0,0.0,0.0,3.46,0.0,0.0,0.0,-1.71
47, FRUTAS,-1.15,-0.86,-4.01,-3.79,-0.83,0.63,-2.75,-7.15,-0.68,-6.1,-1.15,-5.13,-2.4,-2.09
48, BANANA-DA-TERRA,0.0,0.0,0.0,-6.5,0.0,0.0,0.0,0.0,-8.37,0.0,0.0,-10.92,0.0,-7.78
49, ABACAXI,-2.98,2.47,-1.59,-8.19,-3.95,0.0,0.0,0.0,0.0,-6.21,-4.53,0.0,6.38,-3.37
50, ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,28.92,0.0,0.0,0.0,0.0,0.0,0.0,28.92
51, BANANA-D'ÁGUA,-2.27,-4.88,0.0,0.0,-2.57,-0.55,0.0,0.0,0.0,-18.12,0.0,0.0,1.47,-4.76
52, BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,0.0,11.53,7.7
53, BANANA-PRATA,-6.5,-7.33,-14.05,-13.87,0.98,-0.47,-3.71,-10.76,-3.25,-12.51,-6.59,-11.62,0.0,-6.41
54, LARANJA-BAÍA,0.0,16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45
55, LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,6.09
56, MAÇÃ,2.48,3.24,-1.4,-1.68,-6.75,-0.05,1.69,-0.35,-2.18,0.28,1.07,-1.39,-1.84,-1.7
57, MAMÃO,0.47,-2.55,-0.18,-1.45,-2.59,1.33,-6.67,-9.16,1.79,-9.45,0.0,-3.59,-6.12,-2.88
58, MANGA,2.17,0.0,0.0,3.65,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,-3.61,0.0,1.85
59, MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.64,1.18,0.0,0.0,0.0,0.0,-4.7
60, MELANCIA,0.0,0.0,-12.57,0.11,-0.14,0.76,-6.71,-12.99,-6.98,-18.42,-3.56,0.0,-19.2,-5.93
61, PÊRA,0.14,0.0,0.0,0.0,-2.36,-5.85,0.0,0.0,0.0,0.0,-7.69,1.77,0.0,-2.09
62, TANGERINA,0.0,-0.86,0.0,0.0,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,-5.13,0.0,-0.96
63, UVA,2.95,0.0,-1.31,-0.86,8.61,-1.79,-1.24,-5.94,0.02,8.82,-1.47,5.34,-1.21,4.3
64, LARANJA-PERA,-1.1,0.0,0.39,4.08,-0.37,7.38,-10.0,-0.66,10.66,-0.92,-0.04,-3.52,3.1,0.85
65, MORANGO,0.0,-4.24,15.54,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.0,0.0,0.0,6.44
66, GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,7.19
67, CARNES,1.33,-0.2,-1.04,-0.61,0.29,0.83,0.53,0.3,-1.9,-1.27,1.66,-0.39,-0.86,-0.11
68, FÍGADO,0.0,0.0,0.0,1.48,0.0,0.0,2.12,-3.57,-0.02,0.0,0.0,0.0,0.0,0.63
69, CARNE DE PORCO,-2.29,1.13,0.45,0.85,0.8,-0.1,-4.25,2.43,-1.23,-5.55,1.23,-0.78,-0.06,-0.42
