Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
0, ÍNDICE GERAL,0.54,0.28,0.33,0.43,0.62,0.59,-0.18,0.54,0.1,0.57,0.48,0.39,0.15,0.44
1, ALIMENTAÇÃO E BEBIDAS,0.92,-0.11,0.38,0.69,0.85,0.28,-0.4,0.61,-0.1,0.89,0.93,0.74,0.81,0.54
2, ALIMENTAÇÃO NO DOMICÍLIO,0.81,-0.14,0.36,0.8,0.47,0.04,-0.49,0.91,0.25,0.75,0.83,0.88,0.81,0.42
3," CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.04,-1.85,-3.5,-2.27,-1.9,-2.48,-2.41,0.53,-1.71,-1.17,-1.5,-1.4,-2.82,-1.49
4, ARROZ,2.29,-0.72,-0.73,-0.37,0.37,-0.45,-0.81,0.44,-0.43,-0.6,0.29,-2.34,-2.01,-0.03
5, FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.47,0.0,0.0,0.0,-2.75,-8.08,0.0,0.0,0.0,0.0,-4.35
6, FEIJÃO-PRETO,1.65,-4.93,0.0,0.0,0.0,0.0,-2.72,0.0,0.0,-1.14,0.0,2.44,-2.58,-0.58
7, FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-4.87,0.0,0.0,0.0,2.03,-0.09,0.0,0.0,0.0,0.0,0.01
8, FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-10.86,-5.27,-7.29,-6.48,-6.75,-3.76,-2.21,-3.63,-6.45,-4.81,-6.12,-6.73
9," FARINHAS, FÉCULAS E MASSAS",1.54,0.15,-0.6,0.51,2.99,0.81,-1.09,-0.63,-0.21,1.45,-0.17,-0.07,0.25,0.49
10, FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,-1.26,0.0,0.0,0.0,0.0,-1.17
11, MACARRÃO,0.33,1.67,-0.6,3.56,5.19,1.55,1.36,0.44,-1.3,1.49,0.48,-0.55,0.54,1.71
12, FUBÁ DE MILHO,0.0,0.0,-1.4,-3.86,0.0,0.0,0.0,0.0,5.77,0.0,1.16,0.0,0.0,-0.75
13, AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.0,-0.46
14, FLOCOS DE MILHO,0.0,0.0,0.0,-0.16,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04
15, FARINHA DE TRIGO,3.47,-1.57,0.62,0.0,-1.25,0.0,-1.84,0.0,0.0,1.57,-3.14,-0.14,-0.77,-0.29
16, FARINHA VITAMINADA,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.46
17, FARINHA DE MANDIOCA,5.44,0.0,0.0,0.72,0.0,-3.1,-1.69,-1.92,-0.19,0.0,0.0,1.52,0.0,-0.71
18, MASSA SEMIPREPARADA,1.31,-0.52,-0.74,0.0,1.57,2.05,0.0,0.0,0.0,1.16,-0.03,-1.09,0.8,0.67
19," TUBÉRCULOS, RAÍZES E LEGUMES",-1.51,-6.78,0.03,8.18,-2.78,6.51,-2.45,3.3,-0.64,-1.63,5.15,-0.51,-1.52,-0.92
20, BATATA-INGLESA,-0.63,-3.9,11.12,4.97,-5.56,14.28,-1.86,8.43,7.43,-9.69,7.44,-0.92,-9.41,-0.36
21, INHAME,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
22, MANDIOCA (AIPIM),0.0,4.27,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,-2.51,3.02
23, ABÓBORA,1.67,0.0,-14.84,0.0,0.0,-5.05,0.0,0.0,0.0,0.0,1.67,0.0,0.0,-4.66
24, PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.48,0.0,0.0,0.0,0.0,-4.48
25, QUIABO,0.0,0.0,-13.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.17
26, TOMATE,-2.9,-10.28,-0.3,25.45,-0.48,8.13,1.76,2.33,3.87,5.06,12.87,-2.35,4.22,1.58
27, CEBOLA,-0.33,-10.74,-1.46,-1.06,-1.57,0.45,-8.37,-0.31,-12.57,6.25,-2.22,0.37,-5.32,-3.39
28, CENOURA,-3.94,0.0,-11.16,0.0,-4.87,-0.43,0.0,-2.04,-4.47,-6.35,-13.82,2.34,0.0,-5.56
29, MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.21
