"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.42,0.68,0.36,0.03,0.21,-0.15,0.08,0.34,0.35,0.26,0.05,0.7,0.1,0.29
 ALIMENTAÇÃO E BEBIDAS,1.1,0.98,0.63,0.54,0.33,0.58,0.86,0.87,1.08,1.11,0.69,1.14,0.96,0.74
 ALIMENTAÇÃO NO DOMICÍLIO,1.61,1.54,0.91,1.22,0.9,1.25,0.78,1.04,1.48,0.89,0.96,1.37,0.99,1.12
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.09,2.28,-2.47,-0.94,-0.74,-2.43,-0.61,-2.4,-1.81,-0.06,-1.05,-0.98,1.22,-0.99
 ARROZ,-1.29,2.07,-1.06,-0.1,0.38,-3.43,0.42,-1.25,-0.43,0.57,-1.47,-0.01,1.53,-0.23
 FEIJÃO-MULATINHO,       -,       -,       -,-3.58,       -,       -,       -,-1.49,0.6,       -,       -,       -,       -,-1.92
 FEIJÃO-PRETO,-0.79,2.89,       -,       -,       -,       -,-0.62,       -,       -,-2.96,       -,-1.35,-2.14,-0.28
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,2.1,       -,       -,       -,-5.68,-5.05,       -,       -,       -,       -,-3.94
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-6.61,-2.13,-3.64,-0.35,-3.68,0.71,-3.72,-0.22,0.16,-6.13,0.79,-3.32
" FARINHAS, FÉCULAS E MASSAS",0.16,-0.15,1,-1.89,-1.28,1.82,-0.34,-1.59,-0.06,2.22,-0.32,0.23,-0.28,-0.29
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,2.4,0.85,       -,       -,       -,       -,1.41
 MACARRÃO,0.24,-0.56,0.28,-0.45,-0.94,3.25,0.63,0.12,-1.67,3.51,0.1,1.59,-0.24,0.02
 FUBÁ DE MILHO,       -,       -,0.39,-2.79,       -,       -,       -,       -,-0.99,       -,1.99,       -,       -,-1.06
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.52,       -,       -,       -,       -,       -,0.52
 FLOCOS DE MILHO,       -,       -,       -,-2.67,       -,0.02,       -,       -,       -,       -,       -,       -,       -,-2.24
 FARINHA DE TRIGO,-0.58,-1.07,-0.08,       -,1.65,       -,-0.76,       -,       -,-1,-3.81,-1.7,-0.12,-0.18
 FARINHA VITAMINADA,       -,       -,       -,-0.59,       -,       -,       -,1.9,       -,       -,       -,       -,       -,0.6
 FARINHA DE MANDIOCA,1.48,       -,       -,-2.96,       -,1.13,-0.58,-5.82,0.53,       -,       -,-0.43,       -,-0.78
 MASSA SEMIPREPARADA,-0.63,1.19,3.63,       -,-3.71,0.55,       -,       -,       -,4.49,0.28,-0.75,-0.54,-0.32
" TUBÉRCULOS, RAÍZES E LEGUMES",23.99,14.13,24.14,24.47,19.34,19.34,16.61,26.04,32.81,18.27,28.34,27.48,22.67,22.11
 BATATA-INGLESA,13.34,4.09,14.81,22.51,8.33,11.19,3.61,23.64,15.61,1.76,10.19,25.72,6.46,10.85
 INHAME,       -,       -,       -,17.84,       -,       -,       -,       -,       -,       -,       -,       -,       -,17.84
 MANDIOCA (AIPIM),       -,-2.74,       -,-6.04,       -,       -,       -,       -,       -,       -,       -,-1.3,3.89,-3.2
 ABÓBORA,8.92,       -,6.35,       -,       -,-0.42,       -,       -,       -,       -,-3.21,       -,       -,4.5
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,3.81,       -,       -,       -,       -,3.81
 QUIABO,       -,       -,-1.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.12
 TOMATE,55.77,34.86,50.11,46.42,43.42,35.66,28,34.35,63.92,43.73,52.41,74.68,39.72,45.71
 CEBOLA,1.94,3.26,6.18,19.72,3.48,7.95,11.79,20.69,21.02,6.55,10.3,-3.16,9.04,7.98
 CENOURA,23.64,       -,28.78,       -,9.55,14.79,       -,22.43,28.81,10.55,30.45,0.45,       -,18.54
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,7.94,       -,       -,       -,       -,       -,       -,       -,       -,7.94
 AÇÚCARES E DERIVADOS,-0.3,0.45,0.77,-1.59,0.41,0.27,-0.45,-0.92,-0.27,0.26,-0.85,-3.07,-0.02,-0.01
 AÇÚCAR REFINADO,-1.6,0.68,       -,       -,-0.99,       -,0.38,-1.09,       -,2.45,       -,       -,       -,-0.72
 AÇÚCAR CRISTAL,-1.31,3.68,1.35,-3.28,3.29,-0.84,-0.56,-1.15,-0.43,-0.63,-1.12,-4.57,-0.01,0.16
 BALAS,       -,1.75,       -,       -,       -,       -,       -,       -,       -,1.55,       -,       -,       -,1.64
 CHOCOLATE EM BARRA E BOMBOM,1.12,-0.92,-1.04,2.57,-1.09,1.89,-0.71,       -,0.33,-2.26,-0.65,-1.11,0.12,-0.69
 SORVETE,0.13,-3.72,2.01,0.08,-0.31,0.42,       -,0.39,-2.21,-1.1,-1.69,-1.07,1.58,-0.46
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.52,1.06,-0.45,-1.04,1.16,0.88,-1.19,-0.59,0.94,3.22,0.7,-0.07,-1.91,0.85
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,3.7,       -,2.36,       -,       -,       -,       -,       -,       -,       -,3.06
 HORTALIÇAS E VERDURAS,7.07,-3.87,1.19,5.03,8.38,6.44,0.53,0.58,-0.52,2.59,3.08,9.42,7.01,4.26
 ALFACE,2.13,-2.47,1.23,10.68,9.52,8.67,2.07,3.89,3.42,-0.39,1.29,8.69,7.09,5.11
 COENTRO,       -,       -,       -,1.4,       -,       -,       -,       -,-3.19,       -,       -,       -,       -,-0.74
 COUVE,6.88,       -,-5.1,       -,8.94,1.23,       -,       -,       -,16.45,1.5,7.62,       -,4.9
 COUVE-FLOR,13.58,-2.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,10.31,       -,6.22
 REPOLHO,17.93,-9.25,12.06,8.25,12.5,-1.92,1.71,       -,-1.83,7.05,8.38,8.11,1.69,5.19
 CHEIRO-VERDE,9.14,       -,       -,       -,2.61,9.53,-0.47,0.06,-1.12,       -,       -,11.79,13.28,2.2
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.51,6.51
 BRÓCOLIS,6.64,-0.13,1.74,       -,5.69,6.82,       -,       -,       -,3.74,       -,       -,       -,4.58
 FRUTAS,6.29,3.67,9.46,2.52,5.04,4.82,-1.7,6.32,1.12,0.79,1.71,3.54,2.65,4.08
 BANANA-DA-TERRA,       -,       -,       -,1.97,       -,       -,       -,       -,-4.45,       -,       -,-4.58,       -,-1.63
 ABACAXI,6.94,3.87,0.53,-9,-4,       -,       -,       -,       -,7.36,-4.34,       -,1.48,-0.88
 ABACATE,       -,       -,       -,       -,       -,       -,-13.33,       -,       -,       -,       -,       -,       -,-13.33
 BANANA-D'ÁGUA,5.52,1.63,       -,       -,3.64,-5.53,       -,       -,       -,4.04,       -,       -,-7.73,3.02
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.84,       -,8.82,2.54
 BANANA-PRATA,14.5,2.22,25.99,13.98,8.32,25.43,1.61,12.24,12.24,11.99,8.68,14.56,       -,11.86
 LARANJA-BAÍA,       -,5.74,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.74
 LIMÃO,       -,       -,       -,       -,       -,       -,-19.55,       -,       -,       -,       -,       -,       -,-19.55
 MAÇÃ,2.66,7.49,4.33,3.07,2.05,1.5,-2.38,0.36,-0.29,-1.76,-7.98,-0.89,2.93,1.64
 MAMÃO,10.49,3.64,2.08,2,7.95,0.06,1.58,4.9,-11.6,-1.27,       -,2.1,18.06,3.96
 MANGA,-5.94,       -,       -,0.86,       -,-9.77,       -,       -,       -,       -,       -,-9.1,       -,-4.25
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-0.52,15.47,       -,       -,       -,       -,10.05
 MELANCIA,       -,       -,9.92,-1.61,-1.44,9.74,-3.54,9.95,0.43,4.18,5.17,       -,5.05,1.54
 PÊRA,4.63,       -,       -,       -,2.01,7.09,       -,       -,       -,       -,1.28,2.96,       -,3.15
 TANGERINA,       -,3.67,       -,       -,5.04,       -,       -,       -,       -,       -,       -,3.54,       -,3.72
 UVA,4.46,       -,6.23,-2.45,1.07,-3.17,0.51,9.49,-0.02,5.93,8.21,8.64,-2.49,2.33
 LARANJA-PERA,2.2,       -,5.3,-0.11,13.95,-7.4,-1.61,-5.69,-7.44,-2.83,2.37,-1.58,5.54,3.39
 MORANGO,       -,-1.99,-1.9,       -,       -,       -,       -,       -,       -,-10.69,       -,       -,       -,-4.82
 GOIABA,       -,       -,       -,       -,       -,       -,       -,6.23,       -,       -,       -,       -,       -,6.23
 CARNES,0.41,0.79,0.66,-0.85,0.51,1.63,1.56,0.52,0.61,-0.33,-0.89,2.39,-1.19,0.46
 FÍGADO,       -,       -,       -,1.83,       -,       -,1.24,3.59,1.01,       -,       -,       -,       -,1.59
 CARNE DE PORCO,3.45,0.84,-0.79,-0.27,0.13,-2.09,2.4,0.32,2.06,-4.18,-0.54,-0.55,-0.84,-0.12
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,1.69,-1.54,       -,       -,       -,       -,-0.42
 CONTRAFILÉ,2.71,1.93,3.63,3.92,0.54,4.05,5.08,5.29,4,2.23,0.14,6.77,2.89,2.49
 FILÉ-MIGNON,1.41,       -,       -,8.28,       -,       -,1.89,       -,1.31,4.6,2.3,       -,2.7,3.13
 CHÃ DE DENTRO,-3.19,-1.9,1.72,-1.95,-0.42,2.5,1.62,-1.53,-0.46,-2.78,-0.71,2.4,-1.2,-0.47
 ALCATRA,-0.77,1.63,1.38,-4.05,1.3,1.85,2.71,4.78,1.55,-5.66,1.35,6.22,-1.27,0.5
 PATINHO,-3.77,2.24,-0.33,-4.58,1.64,2.68,0.6,-1.85,2.5,0.46,-1.7,2.95,-5.17,-0.05
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,3.06,       -,1.2,       -,       -,       -,       -,2.43
 LAGARTO COMUM,       -,       -,       -,       -,0.25,1.33,       -,1.26,0.3,       -,-1.35,       -,1.47,0.27
 MÚSCULO,1.81,-0.17,-1.22,2.15,0.5,       -,3.17,       -,0.84,1.67,-1.61,1.27,-3.6,0.4
 PÁ,       -,0.53,       -,-1.64,2.32,0.04,-0.61,       -,-0.83,-2.75,       -,       -,-3.26,-0.11
 ACÉM,-4.99,2.34,-2.28,0.15,-0.09,0.76,0.88,-2.07,-0.35,5.09,-3.63,-1.36,-3.23,-0.56
 PEITO,       -,       -,       -,       -,       -,       -,1.9,-3.68,-4.43,       -,-3.08,       -,-1.05,-1.65
