"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.72,0.08,0.33,0.27,0.29,0.19,0.57,0.0,0.55,0.1,0.07,0.15,0.2,0.32
 ALIMENTAÇÃO E BEBIDAS,0.11,-0.6,-0.38,-0.18,-0.47,0.2,0.24,-0.63,-0.36,-0.37,-0.57,-0.4,-0.86,-0.33
 ALIMENTAÇÃO NO DOMICÍLIO,-1.06,-0.16,-0.65,-0.35,-0.89,-0.17,0.29,-0.68,-0.84,-0.17,-0.83,-0.8,-1.29,-0.61
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-1.74,-1.66,-0.81,-0.71,-1.66,0.66,-2.56,-0.94,-1.29,-2.23,-0.67,-0.74,0.43,-1.37
 ARROZ,-1.82,-2.68,-0.52,0.25,-0.79,0.04,-2.93,-0.44,-0.4,-0.75,-0.46,-0.61,-0.14,-1.02
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.75,0.0,0.0,0.0,0.78,3.31,0.0,0.0,0.0,0.0,0.31
 FEIJÃO-PRETO,-1.62,1.2,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,-3.06,0.0,-2.35,2.44,-1.05
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-1.94,0.0,0.0,0.0,-1.9,-1.59,0.0,0.0,0.0,0.0,-1.83
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-1.73,-0.58,-4.01,1.93,-2.43,-5.74,-4.42,-8.06,-1.28,2.7,2.28,-2.98
" FARINHAS, FÉCULAS E MASSAS",-0.33,0.13,-0.89,1.1,0.03,1.64,1.32,-1.3,0.45,0.6,-0.51,0.71,0.99,0.24
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,2.37,0.0,0.0,0.0,0.0,1.17
 MACARRÃO,-1.0,0.61,-1.38,0.6,0.87,2.35,0.48,-1.08,0.8,1.83,-0.16,1.38,2.32,0.32
 FUBÁ DE MILHO,0.0,0.0,-0.25,2.73,0.0,0.0,0.0,0.0,1.82,0.0,-3.66,0.0,0.0,1.14
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.12,0.0,-1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32
 FARINHA DE TRIGO,-2.62,0.31,-1.11,0.0,-0.04,0.0,-0.26,0.0,0.0,-1.56,2.89,0.0,-1.15,-0.53
 FARINHA VITAMINADA,0.0,0.0,0.0,0.79,0.0,0.0,0.0,-1.33,0.0,0.0,0.0,0.0,0.0,-0.23
 FARINHA DE MANDIOCA,0.91,0.0,0.0,0.99,0.0,0.96,1.63,-2.08,-0.01,0.0,0.0,0.29,0.0,0.6
 MASSA SEMIPREPARADA,2.22,-0.68,-0.11,0.0,-1.59,1.76,0.0,0.0,0.0,0.97,-2.67,0.15,0.63,-0.42
" TUBÉRCULOS, RAÍZES E LEGUMES",-1.82,-4.1,-1.29,-2.23,-2.48,6.31,8.81,-1.33,2.16,0.77,-0.72,-0.89,-4.15,-0.84
 BATATA-INGLESA,-5.11,-3.28,-5.71,-4.95,-2.7,-8.12,-3.41,-18.7,6.3,-1.28,-1.55,-5.66,3.85,-3.57
 INHAME,0.0,0.0,0.0,-6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.99
 MANDIOCA (AIPIM),0.0,0.95,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.63,-2.8,0.16
 ABÓBORA,1.35,0.0,8.21,0.0,0.0,6.06,0.0,0.0,0.0,0.0,8.85,0.0,0.0,5.58
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,1.74
 QUIABO,0.0,0.0,-8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.18
 TOMATE,-4.29,-14.76,-1.73,-8.01,-3.5,11.97,10.45,11.89,-3.23,-2.84,-4.4,-0.2,-12.61,-3.29
 CEBOLA,16.86,22.05,17.47,18.35,0.96,17.28,16.14,14.63,17.11,9.39,18.23,10.79,23.31,12.18
 CENOURA,-7.85,0.0,-7.36,0.0,-1.68,8.25,0.0,-6.34,-8.33,7.64,-5.88,-6.06,0.0,-3.88
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,-6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.42
 AÇÚCARES E DERIVADOS,0.25,-0.77,-5.22,-1.01,-2.36,-0.87,-0.57,-3.94,-2.44,-2.54,-0.65,-0.82,-0.73,-2.04
 AÇÚCAR REFINADO,1.9,-2.51,0.0,0.0,-6.15,0.0,-0.52,-1.09,0.0,-8.53,0.0,0.0,0.0,-2.58
 AÇÚCAR CRISTAL,-1.33,-2.96,-9.74,-1.0,-2.56,-2.25,-0.56,-7.62,-2.72,-2.46,-0.88,-2.08,0.85,-3.56
 BALAS,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.26,0.0,0.0,0.0,-0.52
 CHOCOLATE EM BARRA E BOMBOM,-2.46,0.23,1.41,-3.98,-2.71,0.37,1.62,0.0,-2.32,-2.62,-1.18,0.93,-1.13,-1.52
 SORVETE,0.99,-0.3,-2.17,-0.03,0.12,0.85,0.0,-2.36,1.32,-0.66,0.03,1.19,-1.67,-0.21
 CHOCOLATE E ACHOCOLATADO EM PÓ,-0.03,-0.14,0.54,-0.5,-1.26,-1.26,-1.79,-2.81,-2.73,-1.27,-0.36,1.31,-3.14,-0.95
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,1.9,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11
