"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.12,0.11,0.23,-0.31,0.22,0.01,0.03,0.23,-0.27,0.1,0.02,-0.28,-0.35,0.09
 ALIMENTAÇÃO E BEBIDAS,-0.06,0.5,0.17,-0.53,0.59,0.3,-0.45,-0.52,-0.89,0.19,-0.42,0.22,-0.63,0.07
 ALIMENTAÇÃO NO DOMICÍLIO,-0.26,0.9,0.18,-1.06,0.4,0.16,-0.67,-0.97,-1.41,-0.36,-0.88,-0.04,-1.17,-0.18
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.25,-1.78,-1.29,-2.08,-1.26,-5.07,-2.06,-0.46,-2.59,-2.96,-2.9,-0.92,-1.35,-1.65
 ARROZ,0.26,-0.16,-2.06,-2.1,-0.19,-2.62,-2.26,-0.71,-2.88,-2.63,-1.83,-0.26,-1.35,-1.2
 FEIJÃO-MULATINHO,       -,       -,       -,2.8,       -,       -,       -,0.69,-1.42,       -,       -,       -,       -,1.05
 FEIJÃO-PRETO,-1.03,-6.2,       -,       -,       -,       -,-3.26,       -,       -,-3.98,       -,-1.06,-0.05,-2.72
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-8.74,       -,       -,       -,0.62,-9.64,       -,       -,       -,       -,-3.98
 FEIJÃO-CARIOCA (RAJADO),       -,       -,1.15,-3.53,-4.24,-9.93,-0.85,-5.94,0.47,-3.59,-6.04,-4.85,-1.66,-2.79
" FARINHAS, FÉCULAS E MASSAS",-0.38,-0.89,-1.12,-2.11,-1.62,-0.74,-0.25,-1.56,-0.43,0.75,-0.5,-0.65,-0.27,-0.85
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,1.11,1.4,       -,       -,       -,       -,1.3
 MACARRÃO,-0.22,-1.28,-1.74,-1.07,-1.67,-2.13,-1.09,-0.83,2.16,2.01,-0.58,-1.57,0.96,-0.64
 FUBÁ DE MILHO,       -,       -,-1.5,-4,       -,       -,       -,       -,0.12,       -,1.84,       -,       -,-1.91
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,-0.74,       -,       -,       -,       -,       -,-0.74
