"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ÍNDICE GERAL,0.3,0.4,0.22,0.33,0.1,0.4,0.35,0.28,0.34,0.08,-0.18,0.19,0.73,0.22
 ALIMENTAÇÃO E BEBIDAS,-0.29,0.57,0.52,0.36,-0.39,0.58,0.17,0.25,0.69,0.14,-0.17,0.38,0.66,0.09
 ALIMENTAÇÃO NO DOMICÍLIO,-0.32,0.46,0.98,0.58,0.08,0.84,0.19,0.15,0.31,0.35,-0.36,0.95,0.51,0.27
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.14,-1.31,1.38,-0.11,-0.84,-1.18,-0.29,-1.58,-1.49,-0.51,-0.02,-0.91,-0.48,-0.83
 ARROZ,-3.24,-0.34,1.41,-2.06,-1.88,-1.02,0.01,-0.96,-3.58,-0.34,-0.68,-0.25,-0.92,-1.11
 FEIJÃO-MULATINHO,0.0,0.0,0.0,1.72,0.0,0.0,0.0,-0.87,-3.46,0.0,0.0,0.0,0.0,-0.39
 FEIJÃO-PRETO,-3.0,-4.13,0.0,0.0,0.0,0.0,0.78,0.0,0.0,-0.69,0.0,-1.75,1.06,-2.48
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,2.66,0.0,0.0,0.0,-3.57,-3.45,0.0,0.0,0.0,0.0,-2.26
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,1.3,0.1,2.17,-1.52,-1.75,0.8,3.81,-1.19,1.99,-3.11,0.96,1.31
" FARINHAS, FÉCULAS E MASSAS",0.44,0.15,0.37,0.65,-1.31,-0.31,0.35,-0.43,0.48,-1.15,0.33,-0.05,0.98,-0.07
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.52,1.05,0.0,0.0,0.0,0.0,0.14
 MACARRÃO,0.93,-0.95,2.71,1.8,0.11,-2.49,-0.01,-0.74,-0.05,-2.14,0.58,0.59,1.11,0.2
 FUBÁ DE MILHO,0.0,0.0,-1.37,1.38,0.0,0.0,0.0,0.0,-1.06,0.0,-0.93,0.0,0.0,-0.21
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.48
 FLOCOS DE MILHO,0.0,0.0,0.0,0.05,0.0,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06
 FARINHA DE TRIGO,-1.82,1.56,-2.54,0.0,-2.27,0.0,-0.29,0.0,0.0,0.06,0.35,1.01,-0.76,-0.79
 FARINHA VITAMINADA,0.0,0.0,0.0,1.33,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,1.69
 FARINHA DE MANDIOCA,-1.42,0.0,0.0,-1.25,0.0,7.13,0.48,-0.68,0.76,0.0,0.0,-1.27,0.0,0.32
 MASSA SEMIPREPARADA,1.75,0.54,-1.85,0.0,-3.56,-1.39,0.0,0.0,0.0,-0.42,0.39,-0.46,2.63,-1.35
" TUBÉRCULOS, RAÍZES E LEGUMES",4.22,-0.76,6.68,-2.89,-0.45,0.2,1.15,6.0,4.5,1.88,5.79,6.14,2.17,2.05
 BATATA-INGLESA,-5.99,-11.05,1.32,-2.8,-8.58,-1.55,3.31,6.04,6.29,-11.36,-3.08,5.17,1.84,-4.31
 INHAME,0.0,0.0,0.0,-4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.73
 MANDIOCA (AIPIM),0.0,-9.85,0.0,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,3.53,-3.61
 ABÓBORA,0.46,0.0,11.74,0.0,0.0,6.84,0.0,0.0,0.0,0.0,8.99,0.0,0.0,6.88
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2
 QUIABO,0.0,0.0,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59
 TOMATE,6.57,-5.23,5.53,-11.84,-3.77,-8.33,-5.78,-2.86,-3.52,-1.2,7.0,5.79,-3.4,-1.71
 CEBOLA,19.06,33.44,22.13,11.96,16.65,17.8,9.48,22.59,22.63,26.74,22.86,14.01,20.49,19.55
 CENOURA,5.98,0.0,3.15,0.0,-0.18,6.24,0.0,1.55,-2.94,1.16,-1.71,1.42,0.0,1.4
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
 AÇÚCARES E DERIVADOS,-2.55,0.91,-3.65,-0.7,0.77,1.62,-1.2,-2.02,-1.02,0.69,-1.57,0.18,-0.66,-0.6
 AÇÚCAR REFINADO,-4.04,0.3,0.0,0.0,-2.51,0.0,-0.62,-1.62,0.0,1.19,0.0,0.0,0.0,-2.24
 AÇÚCAR CRISTAL,-5.33,-3.1,-5.86,-2.67,-0.93,1.79,-2.18,-3.7,-2.55,-1.84,-3.45,0.32,-2.6,-2.8
 BALAS,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.32
 CHOCOLATE EM BARRA E BOMBOM,0.64,3.86,-0.96,6.95,6.23,3.47,1.09,0.0,7.43,2.22,0.61,1.7,1.46,3.75
 SORVETE,-0.68,2.01,-1.34,-0.37,-0.99,-0.13,0.0,0.48,1.03,2.64,2.2,-0.68,1.88,0.01
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.2,0.92,-2.05,1.27,1.56,0.27,-0.33,-0.27,0.79,-0.05,-0.59,-1.13,-0.59,0.27
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-0.5,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97
 HORTALIÇAS E VERDURAS,7.88,5.55,4.52,8.5,10.1,0.44,1.33,3.43,3.13,3.28,2.65,7.12,5.47,6.46
 ALFACE,5.47,8.54,2.49,5.41,10.94,0.2,-0.89,-0.94,3.52,6.86,0.58,-1.17,6.11,6.98
 COENTRO,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,7.18
 COUVE,6.32,0.0,6.12,0.0,1.81,5.77,0.0,0.0,0.0,11.92,5.42,5.26,0.0,4.57
 COUVE-FLOR,6.99,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83,0.0,9.74
 REPOLHO,17.73,-10.52,9.77,-2.21,5.49,1.38,-0.13,0.0,11.48,-6.41,4.81,26.69,5.1,3.84
 CHEIRO-VERDE,6.56,0.0,0.0,0.0,19.15,-2.15,2.74,4.11,-0.1,0.0,0.0,4.35,5.07,7.22
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.76
 BRÓCOLIS,9.69,15.04,6.26,0.0,5.39,-1.17,0.0,0.0,0.0,-4.62,0.0,0.0,0.0,6.68
 FRUTAS,3.57,1.26,5.65,7.35,1.09,4.71,2.02,3.48,5.73,4.71,0.05,2.16,-2.17,2.95
 BANANA-DA-TERRA,0.0,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,2.64,0.0,0.0,-1.52,0.0,0.72
 ABACAXI,-2.35,-2.61,-1.41,3.84,1.5,0.0,0.0,0.0,0.0,1.58,-4.49,0.0,-1.99,0.04
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-4.01,0.0,0.0,0.0,0.0,0.0,0.0,-4.01
 BANANA-D'ÁGUA,1.35,-2.89,0.0,0.0,-4.11,-8.05,0.0,0.0,0.0,-9.85,0.0,0.0,-14.66,-4.75
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.78,0.0,-11.32,-9.36
 BANANA-PRATA,-6.53,-4.46,4.27,11.52,0.53,-3.05,1.02,5.13,2.39,3.75,0.98,-4.78,0.0,1.18
 LARANJA-BAÍA,0.0,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.55
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-7.99,0.0,0.0,0.0,0.0,0.0,0.0,-7.99
 MAÇÃ,2.16,1.09,2.89,11.63,0.97,4.33,-1.12,0.87,10.54,-1.34,3.32,1.3,-1.25,2.33
 MAMÃO,20.96,14.55,15.58,-4.08,16.13,23.26,22.92,9.45,21.45,35.27,0.0,14.62,22.42,16.92
 MANGA,13.7,0.0,0.0,-0.29,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,6.38
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.69,-0.26,0.0,0.0,0.0,0.0,-1.36
 MELANCIA,0.0,0.0,-5.04,10.43,-5.15,13.85,2.37,-0.38,10.36,-12.73,-6.96,0.0,-2.54,0.25
 PÊRA,1.47,0.0,0.0,0.0,-1.28,3.77,0.0,0.0,0.0,0.0,2.38,1.6,0.0,0.27
 TANGERINA,0.0,1.26,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,1.27
