"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.28,0.75,0.18,0.75,0.19,0.15,0.28,0.34,1.11,0.44,0.53,0.64,1.02,0.4,0.89,0.37,0.4
 ALIMENTAÇÃO E BEBIDAS,0.43,0.54,-0.31,0.16,0.51,-0.11,-0.23,-0.33,0.68,0.57,0.35,0.13,0.81,0.62,0.54,-0.18,0.32
 ALIMENTAÇÃO NO DOMICÍLIO,0.62,0.13,-0.45,0.13,0.55,-0.16,-0.35,-0.4,0.92,1.29,0.68,0.18,1.03,0.55,0.56,-0.19,0.36
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-3.37,-4.18,-0.28,0.91,0.98,-0.43,-0.98,-1.03,1.07,1.77,1.23,-0.08,1.14,-0.58,-1.69,1.39,-0.36
 ARROZ,-4.37,-5,-1.18,0.36,0.43,-1.21,-0.87,-0.43,-1.11,1.47,-0.99,-0.08,0.17,-1.42,-1.99,-2.14,-1.08
 FEIJÃO-MULATINHO,       -,       -,       -,4.23,       -,       -,       -,0.24,-3.59,       -,       -,       -,       -,       -,       -,       -,1.11
 FEIJÃO-PRETO,-1.82,-1.73,       -,       -,       -,       -,-2.04,       -,       -,-0.24,       -,-1.25,1.79,       -,0.01,       -,-1.55
 FEIJÃO-MACASSAR (FRADINHO),       -,       -,       -,-4.49,       -,       -,       -,-2.59,-0.64,       -,       -,       -,       -,       -,-1.69,-0.75,-2.41
 FEIJÃO-CARIOCA (RAJADO),       -,       -,2.49,2.21,2.49,1.25,-0.78,-3.13,7.02,5.09,7.83,3.11,4.88,1.76,-3.39,7.14,3.2
 FEIJÃO-BRANCO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.79,       -,5.79
" FARINHAS, FÉCULAS E MASSAS",0.62,2.34,-0.75,1.4,0.81,-1.65,0.47,1.63,5.83,1.55,1.92,0.64,-0.22,-3.12,2.06,-0.98,1.49
 FARINHA DE ARROZ,       -,       -,       -,       -,       -,       -,       -,-0.55,-0.52,       -,       -,       -,       -,       -,-0.21,0.09,-0.44
 MACARRÃO,1.77,3.69,-0.97,-0.51,0.69,-3.93,0.92,0.88,0.24,1.2,3.42,0.78,-1.89,0.4,2.23,0.27,0.81
 FUBÁ DE MILHO,       -,       -,-0.94,5.77,       -,       -,       -,       -,5.01,       -,0.22,       -,       -,       -,2.61,0.63,2.65
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,0.73,       -,       -,       -,       -,       -,       -,       -,       -,0.73
 FLOCOS DE MILHO,       -,       -,       -,1.34,       -,0.49,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.67,1.27
 FARINHA DE TRIGO,2.13,3.92,0.33,       -,0.97,       -,-0.28,       -,       -,4.02,0.88,2.67,2.89,       -,       -,       -,2.18
 FARINHA VITAMINADA,       -,       -,       -,-0.67,       -,       -,       -,0.86,       -,       -,       -,       -,       -,       -,       -,-1.55,-0.1
 FARINHA DE MANDIOCA,-5.52,       -,       -,1.08,       -,1.87,0.38,3.64,8.77,       -,       -,-0.79,       -,-4.57,2.2,-2.87,2.93
 MASSA SEMIPREPARADA,1,-0.76,-0.71,       -,0.96,-1.06,       -,       -,       -,-1.67,-0.62,1.04,0.05,       -,       -,0.49,0.0
" TUBÉRCULOS, RAÍZES E LEGUMES",20.8,19.33,9.37,9.64,10.57,9.58,11.05,11.9,12.06,21.84,7.99,6.54,11.05,13.13,5.48,8.37,12.92
 BATATA-INGLESA,35.85,15.24,18.64,3.16,15.55,9.45,-1.1,11.85,10.8,29.75,14.33,16.46,15.45,12.33,-0.56,1.8,17.51
 INHAME,       -,       -,       -,-1.18,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.13,-1.66
 MANDIOCA (AIPIM),       -,-9,       -,-5.17,       -,       -,       -,       -,       -,       -,       -,-4.12,1.63,       -,       -,-6.02,-5.23
 ABÓBORA,6.36,       -,-5.75,       -,       -,-0.36,       -,       -,       -,       -,-6.2,       -,       -,       -,       -,       -,-1.57
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,0.37,       -,       -,       -,       -,       -,       -,       -,0.37
 QUIABO,       -,       -,18.17,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,18.17
 TOMATE,7.41,14.72,-11.07,4.79,6.96,4.34,1.3,5.17,-6.64,3.77,2.96,-6.25,0.12,-0.42,-7.27,7.21,2.75
 CEBOLA,40.49,38.96,37.29,38.17,16.81,39.4,30.55,25.93,44.69,46.63,30.29,19.03,42.42,32.1,30.99,30.03,32.36
 CENOURA,-1.05,       -,15.14,       -,7.26,-8.21,       -,1.53,11.28,3.16,-5.52,1.72,       -,       -,       -,5.31,4.89
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,-7.61,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.61
 AÇÚCARES E DERIVADOS,-1.47,-0.73,-0.6,-1.97,-2.2,-2.02,-2.38,-1.93,-3.07,-0.73,-1.35,-0.89,0,-2.12,-1.01,-0.6,-1.6
 AÇÚCAR REFINADO,-1.27,-1.5,       -,       -,-1.82,       -,-4.07,-0.96,       -,-3.49,       -,       -,       -,-4.95,0.14,-3.08,-1.8
 AÇÚCAR CRISTAL,-2.54,1.01,-2.04,-4.24,-7.72,-1.81,-2.82,-3.69,-4.2,-1.63,-1.44,-1.51,-1.68,-1.12,-3.21,-0.55,-3.32
 BALAS,       -,0.75,       -,       -,       -,       -,       -,       -,       -,0.87,       -,       -,       -,       -,       -,       -,0.81
 CHOCOLATE EM BARRA E BOMBOM,0.57,-1.51,1.75,-1.91,0.44,-3.89,1.54,       -,-3.72,1.79,1.41,0.58,3.24,-1.23,       -,-2,0.18
 SORVETE,-2.55,-0.73,1.34,2.12,0.48,-1.42,       -,-1.39,-0.17,-1.11,-2.25,-2.62,0,       -,1.58,1.56,-0.23
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.54,-1.94,-0.7,2.89,-2.58,-3.45,-0.71,-0.53,1.04,-1.15,-1.4,0.79,1.35,-3.92,1.67,0.24,-1.37
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,1.14,       -,0.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.59
 HORTALIÇAS E VERDURAS,6.7,-6.16,1.34,-5.81,11.16,1.89,2.32,-0.6,-0.1,-1.6,3.88,0.45,3.14,7.88,7.99,-5.1,4.15
 ALFACE,9.41,-8.65,1.23,0.81,16.38,0.18,-1.15,1.33,-2.51,-0.66,-1.96,1.54,-0.11,16.43,-0.17,-2.63,6.5
 COENTRO,       -,       -,       -,-11.97,       -,       -,       -,       -,-1.24,       -,       -,       -,       -,       -,       -,-9.56,-7.58
 COUVE,2.5,       -,-4.55,       -,6.93,-0.32,       -,       -,       -,-6.14,-4.47,4.75,       -,       -,       -,       -,1.79
 COUVE-FLOR,3.85,-3.54,       -,       -,       -,       -,       -,       -,       -,       -,       -,-15.06,       -,       -,       -,       -,-1.24
 REPOLHO,6.14,6.4,12.23,6.98,6.65,13.76,17.4,       -,8.14,1.8,23.15,4.24,16.42,16.41,       -,3.31,8.81
 CHEIRO-VERDE,3.05,       -,       -,       -,-2.08,0.61,-0.19,-0.89,-2,       -,       -,0.18,0.6,-0.18,12.92,       -,0.37
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.54,       -,       -,       -,0.54
 BRÓCOLIS,9.43,-14.37,-4.12,       -,8.36,4.12,       -,       -,       -,-7.49,       -,       -,       -,       -,       -,       -,1.85
 FRUTAS,1.51,-5.13,-5.83,2.38,-1.86,-2.25,0.01,-3.02,-2.31,-1.78,0.91,-0.42,-9.05,3.3,0.51,-2.67,-2.08
 BANANA-DA-TERRA,       -,       -,       -,9.96,       -,       -,       -,       -,2.37,       -,       -,7.74,       -,-2.71,       -,       -,6.02
 ABACAXI,3.38,1.11,-4.8,-1.82,5.77,       -,       -,       -,       -,-7.16,-5.06,       -,-12.54,       -,       -,-2.28,0.33
 ABACATE,       -,       -,       -,       -,       -,       -,2.12,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.12
 BANANA-D'ÁGUA,-1.73,-2.95,       -,       -,-4.13,-9.33,       -,       -,       -,-0.02,       -,       -,-14.15,       -,       -,       -,-3.56
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.62,       -,-10.69,       -,       -,       -,-1.88
 BANANA-PRATA,11.91,6.58,-6.47,-0.6,1.57,2.09,-0.9,-12.87,-2.64,-2.94,-5.43,2.49,       -,9.45,-0.01,0.42,-0.64
 LARANJA-BAÍA,       -,-4.91,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.91
 LIMÃO,       -,       -,       -,       -,       -,       -,-1.19,       -,       -,       -,       -,       -,       -,       -,-5.55,       -,-2.25
 MAÇÃ,2.86,-2.3,-1.39,8.05,-0.39,-3.98,-0.29,5.31,3.52,0.06,-1.66,5.52,-2.52,9.16,0.57,-1.93,0.48
 MAMÃO,-18.15,-20.21,-28.53,-2.65,-15.55,-25.16,0.64,7.6,-16.84,-18.54,       -,-20.88,-29.04,       -,-4.59,-11.26,-16.53
 MANGA,0.87,       -,       -,5.64,       -,2.56,       -,       -,       -,       -,       -,1.26,       -,       -,       -,0.65,2.49
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,29.38,-11.16,       -,       -,       -,       -,       -,       -,-7.49,0.54
 MELANCIA,       -,       -,26.74,-6.79,13.07,3.88,-0.23,3.02,-6.65,23.53,16.55,       -,2.89,1.64,-4.4,1.66,6.6
 PÊRA,0.23,       -,       -,       -,9.17,-5.64,       -,       -,       -,       -,-2.33,1.22,       -,       -,       -,       -,4.26
 TANGERINA,       -,-5.13,       -,       -,-1.86,       -,       -,       -,       -,       -,       -,-0.42,       -,       -,       -,       -,-4.91
 UVA,-5.09,       -,-1.42,-2.95,0.01,4.39,0.45,4.16,-1.52,0.91,3.31,-2.86,-7.78,3.3,7.27,-7.42,-0.87
