"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.38,0.57,0.27,0.15,0.61,1.06,0.06,0.28,0.35,0.57,0.49,0.88,0.46,0.42,0.72,0.08,0.48
 ALIMENTAÇÃO E BEBIDAS,-0.06,0.37,0.36,0.05,0.16,0.29,-0.51,0.31,0.16,-0.08,-0.07,0.33,0.83,-0.29,-0.54,-0.35,0.1
 ALIMENTAÇÃO NO DOMICÍLIO,-0.25,0.51,-0.02,-0.15,0.28,0.71,-0.94,0.17,-0.27,-0.5,0.27,0.45,0.67,0.24,-0.47,-0.96,0.0
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.31,-0.32,1.65,0.97,3.11,1.73,-0.98,0.99,2.86,1.39,2.38,1.24,2.11,1.44,3.13,1.41,1.73
 ARROZ,0.88,-0.31,1.08,3.86,3.68,3.58,-0.64,2.08,4.1,1.45,2.54,1.88,2.34,1.72,4.16,2.13,2.16
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.07,0.0,0.0,0.0,-0.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49
 FEIJÃO-PRETO,2.01,-0.38,0.0,0.0,0.0,0.0,-3.31,0.0,0.0,2.16,0.0,0.17,0.49,0.0,-0.29,0.0,0.83
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-0.28,0.0,0.0,0.0,-1.54,-4.34,0.0,0.0,0.0,0.0,0.0,-2.84,-5.12,-2.05
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,3.64,-1.59,1.43,-2.27,-0.94,-1.36,3.39,0.4,1.87,-0.47,1.56,0.65,0.52,1.73,1.42
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.0,-0.54
" FARINHAS, FÉCULAS E MASSAS",1.34,-1.02,2.07,0.56,2.97,1.76,-2.32,0.5,-7.76,3.23,0.74,-0.31,1.21,-1.35,-0.22,-2.83,-0.28
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.67,0.0,0.0,0.0,0.0,0.0,0.95,-2.19,0.32
 MACARRÃO,1.75,-3.84,2.71,1.96,5.08,2.22,-0.65,0.27,-0.61,3.81,1.95,0.02,1.38,-0.34,1.28,0.23,1.9
 FUBÁ DE MILHO,0.0,0.0,-0.1,2.52,0.0,0.0,0.0,0.0,1.62,0.0,0.82,0.0,0.0,0.0,1.87,0.63,1.3
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82
 FLOCOS DE MILHO,0.0,0.0,0.0,4.37,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,3.42
 FARINHA DE TRIGO,1.43,1.33,1.84,0.0,4.3,0.0,1.15,0.0,0.0,4.05,-2.87,2.28,1.44,0.0,0.0,0.0,2.67
 FARINHA VITAMINADA,0.0,0.0,0.0,-0.88,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-0.3
 FARINHA DE MANDIOCA,0.31,0.0,0.0,-3.99,0.0,-3.53,-3.03,0.78,-12.58,0.0,0.0,-3.71,0.0,-1.82,-1.07,-5.98,-5.54
 MASSA SEMIPREPARADA,0.8,0.58,2.06,0.0,-1.92,3.82,0.0,0.0,0.0,0.17,0.53,1.18,0.53,0.0,0.0,-2.77,-0.09
