Variacoes - ABRIL - JUNHO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.46,0.54,0.77,0.84,0.58,0.85,0.8300000000000001,1.38,0.95,0.75,1.0,0.95,1.12,0.5800000000000001,0.88,1.02,0.71
 ALIMENTAÇÃO E BEBIDAS,-0.68,-0.8000000000000002,-0.32999999999999996,-0.040000000000000036,-0.010000000000000009,-0.62,-0.19999999999999973,0.41000000000000003,0.040000000000000036,-0.009999999999999898,0.52,1.25,-1.83,0.06,-0.5700000000000001,1.21,-0.18000000000000005
 ALIMENTAÇÃO NO DOMICÍLIO,-0.61,-1.0799999999999998,-1.1,-0.4999999999999999,-0.8699999999999999,-1.86,-0.4500000000000002,0.47,-0.25,-0.4800000000000001,-0.3900000000000001,1.68,-1.91,0.7000000000000001,-0.7300000000000002,1.15,-0.66
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-8.93,-4.67,-14.34,-16.58,-15.600000000000001,-18.259999999999998,-21.34,-3.4099999999999993,-10.440000000000001,-9.959999999999999,-13.399999999999999,-11.23,-19.93,-14.04,-5.9799999999999995,-14.26,-12.82
 ARROZ,1.1,-0.3800000000000001,-0.8400000000000001,2.21,-1.94,2.31,-1.0100000000000002,2.1,0.6200000000000001,1.6900000000000004,0.8400000000000001,3.08,1.7,6.330000000000001,-0.98,1.23,-0.060000000000000026
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-24.36,0.0,0.0,0.0,-14.93,-4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.82
 FEIJÃO-PRETO,-21.28,-15.41,0.0,0.0,0.0,0.0,-20.75,0.0,0.0,-21.0,0.0,-28.43,-31.319999999999997,0.0,-24.9,0.0,-20.909999999999997
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,-11.32,0.0,0.0,0.0,-4.5200000000000005,-9.46,0.0,0.0,0.0,0.0,0.0,-5.9799999999999995,-11.24,-7.3
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-37.25,-41.6,-35.13,-39.91,-51.93,-36.87,-24.939999999999998,-32.67,-34.35,-30.75,-57.120000000000005,-41.34,-33.49000000000001,-24.78,-36.93
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.780000000000001,0.0,-15.780000000000001
