"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.06,-0.04,0.13,0.01,0.33,0.08,-0.2,0.33,0.04,0.18,0.11,-0.5,-0.21,0.1,-0.31,-0.47,0.11
 ALIMENTAÇÃO E BEBIDAS,-0.78,0.26,-0.83,-0.05,-0.1,-0.23,-0.95,-0.5,-0.73,0.4,-0.36,-0.95,-0.42,-0.31,-1.47,-1.14,-0.35
 ALIMENTAÇÃO NO DOMICÍLIO,-1.59,0.11,-1.25,-0.03,-0.84,-0.92,-1.09,-0.56,-1.38,0.27,-0.94,-1.73,-0.51,-0.08,-1.88,-1.65,-0.84
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",0.62,-1.27,-2.5,-0.17,0.51,1.06,0.89,0.01,0.43,-2.78,0.74,-3.41,2.22,-1.19,-0.58,-4.89,-0.32
 ARROZ,1.31,-0.9,-1.45,1.16,2.44,0.97,1.85,-0.02,0.52,-0.29,0.27,-1.81,2.13,-0.42,0.34,-1.35,0.67
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-0.32,0.0,0.0,0.0,0.52,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
 FEIJÃO-PRETO,-0.45,-2.32,0.0,0.0,0.0,0.0,5.02,0.0,0.0,-2.97,0.0,-6.08,0.22,0.0,-5.98,0.0,-0.94
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,0.93,0.0,0.0,0.0,-0.02,-0.18,0.0,0.0,0.0,0.0,0.0,-0.58,-5.1,-0.02
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-4.93,-4.75,-3.47,1.19,-3.16,-0.3,0.07,-11.27,1.76,-6.11,2.94,-2.67,-10.71,-8.06,-3.21
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,2.01
" FARINHAS, FÉCULAS E MASSAS",-0.5,1.1,1.05,-1.3,-0.05,0.46,-0.34,-1.86,-0.16,0.17,-0.89,-0.15,0.54,-1.94,-0.44,-1.08,-0.14
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,2.84,0.0,0.0,0.0,0.0,0.0,-1.83,0.19,1.37
 MACARRÃO,0.13,2.24,2.07,0.05,0.94,1.66,-1.03,-1.78,1.86,-0.54,-1.4,0.25,-0.01,0.6,-0.65,-0.26,0.57
 FUBÁ DE MILHO,0.0,0.0,0.56,-2.23,0.0,0.0,0.0,0.0,3.16,0.0,0.82,0.0,0.0,0.0,-0.44,-1.76,-0.17
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
 FLOCOS DE MILHO,0.0,0.0,0.0,1.24,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.23
 FARINHA DE TRIGO,1.27,0.18,0.48,0.0,1.94,0.0,1.01,0.0,0.0,1.13,0.58,1.53,2.59,0.0,0.0,0.0,1.16
 FARINHA VITAMINADA,0.0,0.0,0.0,-1.73,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,-0.72
 FARINHA DE MANDIOCA,-4.08,0.0,0.0,-3.69,0.0,2.61,-0.19,-4.55,-2.16,0.0,0.0,-2.16,0.0,-3.27,-0.16,-1.95,-1.53
 MASSA SEMIPREPARADA,-1.41,0.37,-0.63,0.0,-3.5,-2.69,0.0,0.0,0.0,0.34,-1.89,-0.66,-0.82,0.0,0.0,-1.4,-1.6
" TUBÉRCULOS, RAÍZES E LEGUMES",-16.22,-7.48,-12.6,-0.92,-9.12,-10.74,-9.01,-9.97,-11.13,-9.86,-14.87,-18.04,-12.83,-1.4,-17.01,-10.36,-10.68
 BATATA-INGLESA,-15.37,-4.42,-7.63,-3.51,-5.88,-6.53,-9.47,-4.33,-15.61,-10.68,-11.06,-18.06,-15.23,-7.12,-20.02,-4.5,-9.11
 INHAME,0.0,0.0,0.0,-4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.62,-3.99
 MANDIOCA (AIPIM),0.0,8.17,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.69,1.37,0.0,0.0,-0.18,4.38
 ABÓBORA,-8.57,0.0,6.71,0.0,0.0,-2.92,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,-1.21
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1
 QUIABO,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49
 TOMATE,-33.61,-23.94,-31.88,-6.73,-21.52,-27.09,-17.35,-29.62,-21.26,-22.45,-30.54,-33.2,-24.68,-8.28,-29.7,-26.59,-24.49
 CEBOLA,8.44,12.35,13.31,8.26,4.14,12.05,1.54,7.62,2.33,9.42,10.76,2.09,11.32,12.17,5.8,10.7,7.05
 CENOURA,-17.08,0.0,-24.1,0.0,-9.5,-10.01,0.0,-7.61,-12.88,-12.91,-12.0,-11.2,0.0,0.0,0.0,-15.28,-13.64
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74
 AÇÚCARES E DERIVADOS,0.71,0.59,0.83,0.62,0.11,-1.51,-0.14,1.1,-1.02,1.16,0.28,-1.58,0.68,0.88,-0.49,-0.8,0.29
 AÇÚCAR REFINADO,2.13,-0.77,0.0,0.0,-0.07,0.0,-0.05,2.98,0.0,0.99,0.0,0.0,0.0,0.17,-2.51,-1.24,0.83
 AÇÚCAR CRISTAL,3.14,4.65,0.56,1.11,2.32,-2.97,-0.36,0.61,-2.48,1.6,0.3,-2.31,1.08,0.98,0.43,-1.41,0.6
 BALAS,0.0,-2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
 CHOCOLATE EM BARRA E BOMBOM,-2.02,-2.12,1.66,0.19,-1.0,-1.44,-0.86,0.0,3.57,1.02,1.35,-1.79,-1.14,0.45,0.0,-0.18,-0.58
 SORVETE,-1.15,1.93,0.14,1.0,-0.54,-1.05,0.0,-1.59,0.27,0.57,-1.04,-0.64,-0.48,0.0,0.79,-0.37,-0.15
 CHOCOLATE E ACHOCOLATADO EM PÓ,-0.23,0.58,1.43,-1.93,-0.11,1.63,0.71,-1.26,2.57,1.1,1.12,1.02,2.54,1.42,0.97,1.09,0.45
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,2.27,0.0,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82
 HORTALIÇAS E VERDURAS,-3.46,-12.32,-6.84,-6.17,-6.18,0.3,-2.53,-3.81,-8.17,-10.48,-7.63,-6.16,-4.92,-1.56,-3.74,-6.75,-6.53
 ALFACE,-3.17,-14.18,-6.33,-7.22,-5.34,5.16,0.21,-0.99,-1.32,-15.08,-2.89,-2.98,-0.08,3.44,0.36,-6.22,-6.36
 COENTRO,0.0,0.0,0.0,-3.8,0.0,0.0,0.0,0.0,-8.12,0.0,0.0,0.0,0.0,0.0,0.0,-4.27,-5.87
 COUVE,-5.74,0.0,-5.08,0.0,-3.67,-3.44,0.0,0.0,0.0,4.93,-2.68,-1.32,0.0,0.0,0.0,0.0,-3.58
 COUVE-FLOR,-6.9,-8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.4,0.0,0.0,0.0,0.0,-9.53
