"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.19,1.15,1.05,0.96,0.93,1.62,1.78,1.28,1.26,1.35,1.4,0.85,1.32,0.6,1.47,1.09,1.15
 ALIMENTAÇÃO E BEBIDAS,3.52,3.19,3.82,3.33,2.82,3.23,4.35,3.2,3.8,3.26,4.4,3.47,4.48,1.41,4.74,2.74,3.38
 ALIMENTAÇÃO NO DOMICÍLIO,5.17,4.22,5.3,4.56,3.97,5.06,5.11,3.88,5.13,4.85,5.88,5.24,6.37,2.44,6.19,3.63,4.69
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.89,-2.24,8.35,4.55,8.43,10.46,10.02,3.35,6.21,1.56,6.9,3.59,6.34,5.25,1.33,5.39,5.73
 ARROZ,1.41,-3.15,0.45,0.82,0.39,1.38,1.16,0.61,-1.0,-0.48,0.28,-0.03,0.53,0.57,0.1,-2.16,0.17
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,1.91,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53
 FEIJÃO-PRETO,5.32,0.66,0.0,0.0,0.0,0.0,9.76,0.0,0.0,2.02,0.0,5.16,10.09,0.0,4.66,0.0,4.53
 FEIJÃO-MACASSAR (FRADINHO),0.0,0.0,0.0,5.7,0.0,0.0,0.0,7.15,8.35,0.0,0.0,0.0,0.0,0.0,1.33,13.34,6.54
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,25.96,24.9,25.76,23.53,30.54,20.25,18.94,9.35,20.01,20.57,22.0,14.82,9.82,11.84,23.35
 FEIJÃO-BRANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,0.0,8.13
" FARINHAS, FÉCULAS E MASSAS",1.27,0.29,1.64,-1.46,1.89,-0.57,0.09,0.22,0.87,-0.54,0.56,0.46,0.38,1.22,0.54,-0.27,0.67
 FARINHA DE ARROZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.16,0.26,0.0,0.0,0.0,0.0,0.0,0.22,1.07,-0.34
 MACARRÃO,1.61,0.17,3.11,0.08,2.85,-1.11,-0.9,0.86,-1.2,-0.81,0.49,-0.8,1.01,0.5,-0.16,1.71,1.07
 FUBÁ DE MILHO,0.0,0.0,0.75,-2.77,0.0,0.0,0.0,0.0,-2.47,0.0,-1.44,0.0,0.0,0.0,-0.95,2.07,-1.1
 AMIDO DE MILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
 FLOCOS DE MILHO,0.0,0.0,0.0,0.23,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91,0.01
 FARINHA DE TRIGO,-0.69,-0.35,-0.7,0.0,1.79,0.0,-0.09,0.0,0.0,-1.67,0.12,1.25,-0.34,0.0,0.0,0.0,-0.01
 FARINHA VITAMINADA,0.0,0.0,0.0,-3.07,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,-1.4
 FARINHA DE MANDIOCA,-1.73,0.0,0.0,-2.93,0.0,-0.28,0.47,-1.15,2.71,0.0,0.0,2.43,0.0,1.62,1.13,-2.92,0.66
 MASSA SEMIPREPARADA,3.33,1.08,0.23,0.0,-0.11,-0.03,0.0,0.0,0.0,2.33,2.6,1.2,-0.09,0.0,0.0,2.77,0.86
" TUBÉRCULOS, RAÍZES E LEGUMES",14.45,3.35,12.29,4.85,3.63,18.25,-0.36,4.89,2.65,2.15,14.71,18.65,8.32,-2.25,9.86,-0.77,6.45
 BATATA-INGLESA,11.41,2.54,14.34,4.01,-1.6,16.51,-10.18,3.54,7.98,-3.22,16.76,19.25,7.58,-1.21,-0.71,-8.67,4.4
 INHAME,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,7.38
 MANDIOCA (AIPIM),0.0,6.37,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41,6.43,0.0,0.0,10.45,4.17
 ABÓBORA,3.93,0.0,17.72,0.0,0.0,9.84,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,0.0,8.69
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.84
 QUIABO,0.0,0.0,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53
 TOMATE,46.93,18.45,27.82,12.36,14.95,31.03,12.51,24.54,19.49,29.41,25.3,45.39,15.6,-0.66,28.46,4.95,21.69
 CEBOLA,-4.61,-19.92,-8.59,-3.18,-4.38,3.8,-6.5,-9.97,-14.45,-20.75,-1.07,-1.28,-7.32,-4.73,-13.14,-12.11,-8.76
 CENOURA,-0.89,0.0,0.87,0.0,-5.22,12.94,0.0,-2.97,5.47,2.45,1.13,-1.04,0.0,0.0,0.0,-0.21,-0.74
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88
 AÇÚCARES E DERIVADOS,1.99,0.08,-0.03,-0.24,0.48,2.33,0.75,-1.69,0.64,-0.17,1.75,1.31,1.4,1.57,0.96,0.42,0.53
 AÇÚCAR REFINADO,6.04,-1.95,0.0,0.0,2.95,0.0,-3.13,-3.9,0.0,2.16,0.0,0.0,0.0,0.67,4.18,1.97,2.03
 AÇÚCAR CRISTAL,-3.46,3.51,0.55,-0.13,-1.06,3.5,2.4,-0.35,0.51,-0.89,2.58,2.22,2.63,2.34,-0.3,0.12,0.51
 BALAS,0.0,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,0.0,0.0,0.0,0.0,0.0,0.0,-1.21
 CHOCOLATE EM BARRA E BOMBOM,1.55,-1.0,-2.56,-1.44,-0.79,-0.76,-0.5,0.0,-0.71,0.68,0.1,-1.72,-0.55,-0.64,0.0,-0.76,-0.65
 SORVETE,0.76,0.15,1.0,-0.11,1.04,1.16,0.0,0.85,-0.09,0.62,0.9,1.03,-1.27,0.0,-0.35,1.84,0.74
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.61,-1.15,-0.32,-0.78,0.54,1.1,2.81,-0.04,2.15,-0.76,0.77,0.6,3.2,0.44,-2.16,-0.1,0.33
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,1.88,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
 HORTALIÇAS E VERDURAS,7.21,9.53,5.89,3.66,5.48,2.98,1.44,1.04,5.21,-1.89,3.54,9.78,0.17,3.93,-1.34,1.6,4.84
 ALFACE,4.38,4.66,5.95,7.97,7.66,2.03,-0.48,-1.63,3.35,-4.09,1.69,3.07,-2.91,1.75,-2.78,4.16,4.63
 COENTRO,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,2.17
 COUVE,7.12,0.0,0.64,0.0,1.61,2.87,0.0,0.0,0.0,-4.43,2.11,10.32,0.0,0.0,0.0,0.0,2.39
 COUVE-FLOR,8.59,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45,0.0,0.0,0.0,0.0,8.02
 REPOLHO,28.34,22.31,13.94,5.8,0.92,16.39,1.14,0.0,3.96,5.85,8.65,38.24,11.61,9.24,0.0,4.11,10.77
 CHEIRO-VERDE,1.28,0.0,0.0,0.0,4.7,2.35,2.38,1.46,9.59,0.0,0.0,0.85,0.22,4.27,-0.54,0.0,2.98
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,1.03
 BRÓCOLIS,6.02,13.46,7.06,0.0,2.09,-6.4,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,4.54
 FRUTAS,3.62,1.06,5.11,4.32,3.85,3.94,0.85,7.99,3.68,0.01,3.04,2.99,6.85,3.47,1.82,2.07,3.18
 BANANA-DA-TERRA,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,2.0,0.0,15.1,0.0,0.0,2.14
 ABACAXI,1.7,1.89,-2.19,5.56,6.43,0.0,0.0,0.0,0.0,-2.13,0.48,0.0,7.28,0.0,0.0,-3.38,2.69
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31
 BANANA-D'ÁGUA,4.05,-1.09,0.0,0.0,2.35,2.08,0.0,0.0,0.0,-2.95,0.0,0.0,12.68,0.0,0.0,0.0,1.51
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,2.62,0.0,0.0,0.0,3.82
 BANANA-PRATA,10.53,-3.55,17.13,3.34,1.85,12.12,2.25,15.09,5.13,-2.71,6.54,1.41,0.0,6.38,2.35,7.28,6.66
 LARANJA-BAÍA,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.19,0.0,-5.9
 MAÇÃ,4.32,5.81,7.86,1.1,6.36,2.02,3.44,6.2,8.83,5.44,2.11,2.74,-0.52,4.25,7.82,0.84,5.6
 MAMÃO,-3.71,-0.54,-3.71,2.0,5.39,0.76,-0.59,1.88,6.7,-8.51,0.0,4.07,15.6,0.0,0.53,-0.88,0.91
 MANGA,-5.41,0.0,0.0,1.8,0.0,-6.3,0.0,0.0,0.0,0.0,0.0,-6.67,0.0,0.0,0.0,-2.68,-3.08
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.79,4.32,0.0,0.0,0.0,0.0,0.0,0.0,15.92,11.21
 MELANCIA,0.0,0.0,-5.67,-1.46,5.46,13.51,-2.67,4.88,3.93,-4.9,7.63,0.0,4.59,-2.94,-0.51,1.03,1.71
 PÊRA,-1.69,0.0,0.0,0.0,4.29,-4.79,0.0,0.0,0.0,0.0,0.94,7.71,0.0,0.0,0.0,0.0,1.64
 TANGERINA,0.0,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.36
 UVA,5.57,0.0,5.66,5.73,4.29,3.35,5.95,-2.58,0.69,0.45,5.37,4.59,7.16,-2.0,5.11,1.53,3.8
 LARANJA-PERA,1.06,0.0,-1.0,12.09,2.99,0.78,-4.56,-0.18,1.39,5.71,-1.96,8.09,4.5,2.52,2.43,-3.76,2.15
 MORANGO,0.0,1.63,6.67,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,4.76
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
 CARNES,22.49,19.3,18.52,17.65,17.32,16.58,15.23,16.58,17.28,19.55,16.34,18.05,18.52,7.67,21.54,13.97,18.06
 FÍGADO,0.0,0.0,0.0,-0.02,0.0,0.0,1.62,3.64,3.94,0.0,0.0,0.0,0.0,0.0,9.95,2.14,3.21
 CARNE DE PORCO,17.72,10.39,9.27,4.8,15.2,7.01,3.86,4.06,2.8,13.74,12.29,9.61,13.39,5.49,7.52,11.88,11.9
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03
 CONTRAFILÉ,20.62,20.9,21.63,10.58,18.07,15.51,24.88,21.76,21.84,18.99,16.28,22.62,16.04,6.48,28.35,16.84,19.88
 FILÉ-MIGNON,26.63,0.0,0.0,23.43,0.0,0.0,7.53,0.0,12.05,13.96,10.56,0.0,18.44,0.0,0.0,0.0,16.56
 CHÃ DE DENTRO,15.71,28.27,15.11,22.81,13.68,13.82,17.34,20.73,18.24,13.54,15.67,24.34,17.79,7.94,29.82,15.84,16.62
 ALCATRA,23.36,25.85,19.89,20.56,20.27,18.99,23.31,20.63,21.02,18.13,13.89,17.48,19.13,7.73,36.28,15.47,21.15
 PATINHO,21.16,29.14,22.06,16.44,18.88,20.15,16.36,18.34,20.49,19.54,16.21,22.91,14.27,7.51,23.09,15.59,19.57
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,12.98,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.93
 LAGARTO COMUM,0.0,0.0,0.0,0.0,16.16,15.1,0.0,17.27,16.82,0.0,14.67,0.0,19.56,6.59,0.0,14.88,15.89
 MÚSCULO,14.18,12.65,22.05,15.44,13.83,0.0,13.59,0.0,13.66,22.05,19.46,18.49,23.14,8.99,13.39,6.89,16.31
 PÁ,0.0,15.33,0.0,14.08,19.1,18.4,10.83,0.0,17.01,32.86,0.0,0.0,21.03,8.95,16.9,10.89,17.56
 ACÉM,33.43,16.81,24.33,19.5,19.9,13.02,11.75,13.62,20.0,21.9,17.35,18.06,23.51,7.67,18.33,11.26,19.93
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,12.8,13.79,15.43,0.0,17.81,0.0,21.92,8.93,6.01,14.61,14.2
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,7.67,0.0,0.0,20.66
 COSTELA,23.12,18.04,17.69,23.09,16.44,19.35,11.31,16.58,17.62,23.79,20.5,13.47,16.69,8.31,15.1,15.33,18.29
 PESCADOS,0.78,1.27,-1.85,0.4,-0.58,7.13,4.26,2.9,4.55,5.94,-4.62,1.4,-1.74,0.73,5.0,4.04,2.37
 PEIXE-ANCHOVA,-2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.05
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,-2.04
 PEIXE-CORVINA,3.37,0.0,0.0,-2.03,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,3.01,3.06
 PEIXE-CAVALINHA,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74
 PEIXE,0.0,1.27,-1.85,0.0,0.0,7.13,0.0,0.0,0.0,5.94,-4.62,0.0,0.0,0.0,0.0,0.0,1.54
 PEIXE-PESCADINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0,7.35
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.58,-2.58
 PEIXE-SARDINHA,0.0,0.0,0.0,2.42,-1.04,0.0,0.0,0.0,11.04,0.0,0.0,0.0,-0.27,0.0,0.0,-2.48,1.45
 CAMARÃO,2.59,0.0,0.0,4.62,0.0,0.0,10.1,0.0,7.06,0.0,0.0,-1.75,-1.74,0.0,7.03,6.06,5.61
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.27
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.76,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,-1.06
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.55,0.0,0.0,0.0,0.0,-3.55
 PEIXE-CAÇÃO,-6.16,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,-2.14
 PEIXE-MERLUZA,-3.22,0.0,0.0,1.28,-0.58,0.0,0.0,0.0,-3.66,0.0,0.0,0.0,-1.57,0.0,0.0,0.0,-1.64
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,5.56,6.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,0.0,4.54
 PEIXE-PESCADA,4.85,0.0,0.0,-3.34,-0.28,0.0,0.18,0.0,-3.36,0.0,0.0,11.59,0.0,0.0,3.43,3.62,0.9
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
 PEIXE-CASTANHA,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
 PEIXE-PIAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.73
 PEIXE-SURUBIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,0.0,0.0,-1.92
 SURURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,14.78,0.0,12.24
