"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2020",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,-0.01,-0.01,0.05,0.51,0.29,0.46,-0.18,0.34,0.68,0.8,0.1,0.56,0.23,0.21,-0.35,0.03,0.26
 ALIMENTAÇÃO E BEBIDAS,0.06,0.01,-0.39,0.53,0.59,1.03,0.76,0.31,0.7,1.18,-0.4,0.32,0.12,0.15,-0.33,0.24,0.38
 ALIMENTAÇÃO NO DOMICÍLIO,0.3,-0.31,-0.03,0.64,0.51,1.51,1.29,0.44,0.84,1.39,-0.37,0.18,0.01,0.02,-0.46,-0.09,0.45
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.2,-0.59,2.07,6.02,4.11,4.4,4.43,3.33,5.09,6.87,-0.1,5.07,2.33,0.63,2.58,3.3,3.54
 ARROZ,3.45,-1.28,1.77,6.06,2.97,2.44,2.74,3.33,3.67,6.03,-0.05,2.95,2.87,1.3,2.59,3.25,2.74
 FEIJÃO-MULATINHO,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,8.61,0.0,0.0,0.0,0.0,0.0,5.75,0.0,7.1
 FEIJÃO-PRETO,5.52,0.89,0.0,0.0,0.0,12.66,11.42,0.0,0.0,15.21,0.0,11.01,0.0,0.0,0.0,0.0,6.75
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,1.36,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,2.74,7.43,6.34,8.12,5.57,0.0,6.32,0.0,-0.22,0.0,0.35,-1.63,-0.8,3.35,4.96
 MILHO (EM GRÃO),0.0,0.09,0.0,0.0,0.0,-0.93,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
" FARINHAS, FÉCULAS E MASSAS",0.75,-0.64,-0.18,0.12,1.32,-0.9,2.94,-0.42,0.04,1.41,0.55,1.67,2.15,1.9,2.38,0.17,0.8
 FARINHA DE ARROZ,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
 MACARRÃO,0.48,-1.84,-0.25,-1.09,2.52,0.67,2.01,-1.27,-1.03,2.8,-1.67,1.56,1.94,3.54,1.77,0.07,0.67
 FUBÁ DE MILHO,0.0,0.0,0.0,-0.53,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.55,1.72,0.61
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.19,0.0,-1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-2.71,-0.59
 FARINHA DE TRIGO,0.0,1.55,2.67,0.0,2.92,0.0,0.0,0.0,3.13,1.05,2.3,6.74,2.33,0.0,0.0,0.0,2.3
 FARINHA DE MANDIOCA,2.95,0.0,-0.53,2.59,0.08,-2.0,3.52,0.53,-0.19,0.0,1.53,1.38,0.0,1.58,2.79,0.73,1.58
 MASSA SEMIPREPARADA,-0.15,-1.0,-1.47,0.0,-0.39,-1.33,-0.37,-0.6,1.06,0.62,0.83,-1.69,2.5,0.0,0.0,0.0,-0.37
 MACARRÃO INSTANTÂNEO,1.39,0.0,0.0,0.0,2.31,0.92,0.0,0.0,0.0,0.21,0.0,1.69,1.83,0.31,0.0,0.0,1.62
" TUBÉRCULOS, RAÍZES E LEGUMES",-5.91,6.34,-12.02,-6.61,-4.69,-1.83,-3.7,-3.89,-7.24,4.02,-6.85,-7.07,-10.56,2.39,-7.21,-3.04,-4.72
 BATATA-DOCE,-5.49,0.0,0.0,5.17,-0.89,0.0,0.0,0.0,2.61,0.0,1.31,0.0,0.0,-1.38,0.0,0.0,0.06
 BATATA-INGLESA,0.84,15.08,-7.22,-4.88,0.54,-4.32,0.65,-4.55,2.25,6.82,-2.81,1.3,-8.96,13.54,-4.27,-0.73,0.65
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.41,0.0,0.0,0.0,1.28,-1.65
 MANDIOCA (AIPIM),0.0,0.0,2.67,-9.79,0.0,-3.02,0.0,0.0,-1.69,0.0,0.0,0.0,-4.38,-1.87,0.0,0.0,-3.02
 ABOBRINHA,0.0,0.0,0.0,0.0,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,0.0,0.0,0.0,10.81
 PIMENTÃO,0.0,0.0,0.0,0.0,9.41,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01
 TOMATE,-20.75,-1.41,-29.27,-15.0,-15.77,-4.81,-7.72,-4.78,-18.16,-8.22,-14.49,-15.04,-19.09,-5.83,-13.89,-6.57,-15.04
 CEBOLA,3.48,7.43,0.57,-4.2,-0.34,5.05,0.5,-1.82,-6.63,13.32,-0.9,-1.61,-6.57,6.68,0.92,-0.46,0.5
 CENOURA,-13.8,-14.02,-13.42,-1.25,-6.68,-1.24,-8.88,-6.71,-9.36,-3.98,-7.92,-25.42,0.0,0.0,0.0,-6.45,-8.88
 AÇÚCARES E DERIVADOS,0.38,-1.08,-0.56,-1.57,0.54,0.7,3.85,-0.2,-0.76,0.94,0.13,0.09,1.03,-1.64,-0.32,-0.51,0.23
 AÇÚCAR REFINADO,1.86,1.76,0.0,-2.58,-0.85,-1.37,3.71,-0.91,1.77,-0.03,0.0,0.0,0.0,-0.51,-1.53,0.0,0.3
 AÇÚCAR CRISTAL,0.0,0.38,0.01,-2.51,0.0,1.08,3.31,-0.72,-1.22,0.54,-1.27,-0.23,0.46,-3.05,-0.21,-0.34,-0.21
 BALAS,0.0,0.25,0.0,0.0,0.0,-2.65,0.0,0.0,0.0,0.74,-0.57,0.0,2.4,0.0,0.0,0.0,0.14
 CHOCOLATE EM BARRA E BOMBOM,2.4,-2.4,-3.03,0.04,0.81,2.97,4.14,2.37,-3.04,1.31,0.56,-0.46,1.72,0.45,1.94,-1.09,0.31
 SORVETE,-0.77,-1.47,1.53,1.41,0.96,-0.42,4.96,-0.7,0.22,3.07,0.58,-0.36,1.44,0.0,0.0,0.38,0.84
 CHOCOLATE E ACHOCOLATADO EM PÓ,-2.77,-0.92,-1.15,-1.09,0.69,0.73,3.66,0.29,-0.2,-1.27,1.97,1.76,0.28,-0.33,0.78,-2.48,-0.21
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
 HORTALIÇAS E VERDURAS,0.56,-2.72,-4.58,-3.14,-1.67,2.67,-0.19,-1.23,4.62,-4.21,1.32,-1.36,-4.93,-1.32,-0.77,-2.93,-1.46
