Variacoes - OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.08,1.74,1.79,2.2199999999999998,1.6800000000000002,2.4,1.6600000000000001,1.5,1.26,1.18,2.0300000000000002,1.3399999999999999,1.12,1.88,2.07,1.3599999999999999,1.62
 ALIMENTAÇÃO E BEBIDAS,1.5,1.16,4.01,1.58,1.88,2.08,1.56,1.5899999999999999,1.5099999999999998,0.86,2.86,2.4299999999999997,2.4000000000000004,1.19,1.9800000000000004,1.3800000000000001,1.91
 ALIMENTAÇÃO NO DOMICÍLIO,1.57,1.31,4.64,1.49,2.11,3.09,1.66,1.9100000000000001,1.4100000000000001,0.6599999999999999,3.3600000000000003,2.21,2.55,1.28,2.21,1.22,2.09
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",6.98,5.369999999999999,5.42,0.05999999999999961,4.99,2.7,2.57,5.24,3.26,5.8500000000000005,3.4200000000000004,7.610000000000001,2.9899999999999998,0.050000000000000044,3.9099999999999997,2.73,4.63
 ARROZ,6.32,6.81,5.7700000000000005,4.0200000000000005,5.6,4.05,2.4,5.67,3.46,6.55,3.4699999999999998,9.33,3.1399999999999997,1.9199999999999997,5.000000000000001,3.63,5.2700000000000005
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-3.32,0.0,0.0,0.0,0.0,6.470000000000001,0.0,0.0,0.0,0.0,0.0,-4.54,0.0,1.2799999999999998
 FEIJÃO-PRETO,8.409999999999998,-1.73,0.0,0.0,0.0,6.080000000000001,1.41,0.0,0.0,1.3299999999999998,0.0,1.8500000000000005,0.0,0.0,0.0,0.0,4.43
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-7.390000000000001,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,4.62,-2.4599999999999995,3.57,-3.1899999999999995,3.6099999999999994,0.0,1.5500000000000007,0.0,3.51,0.0,2.42,-7.779999999999999,-2.1799999999999997,1.57,2.6400000000000006
 MILHO (EM GRÃO),0.0,10.979999999999999,0.0,0.0,0.0,5.61,0.0,0.0,0.0,6.709999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.120000000000001
" FARINHAS, FÉCULAS E MASSAS",0.55,1.9,4.76,3.0,2.7,4.66,21.11,1.9199999999999997,1.31,-1.41,0.89,3.1100000000000003,4.32,4.0,12.709999999999999,1.6899999999999995,3.8599999999999994
 FARINHA DE ARROZ,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99
 MACARRÃO,-2.3099999999999996,5.82,3.92,0.9100000000000001,3.19,5.09,-5.52,-2.9400000000000004,0.3899999999999999,2.73,3.1800000000000006,0.97,4.61,1.4800000000000002,-0.8999999999999998,-2.4,1.69
 FUBÁ DE MILHO,0.0,0.0,0.0,-0.8299999999999998,0.0,0.0,0.0,-1.83,0.0,0.0,0.0,0.0,0.0,0.0,-1.0599999999999996,-0.62,-1.1800000000000002
 FLOCOS DE MILHO,0.0,0.0,0.0,1.91,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,-1.5000000000000002,3.79
 FARINHA DE TRIGO,0.0,-3.6400000000000006,0.79,0.0,0.0,0.0,0.0,0.0,-0.5799999999999996,-0.29,-0.47,0.8200000000000001,3.9299999999999997,0.0,0.0,0.0,-0.7800000000000002
 FARINHA DE MANDIOCA,14.9,0.0,13.419999999999998,8.99,6.26,7.630000000000002,28.760000000000005,8.75,4.15,0.0,-0.16999999999999993,16.990000000000002,0.0,6.31,19.02,5.8999999999999995,14.56
 MASSA SEMIPREPARADA,-0.71,3.0,3.5,0.0,3.21,2.82,8.33,2.06,-5.16,-6.32,0.5399999999999998,1.09,4.19,0.0,0.0,0.0,1.26
 MACARRÃO INSTANTÂNEO,-5.51,0.0,0.0,0.0,0.7899999999999998,-2.7199999999999998,0.0,0.0,0.0,-2.1,0.0,1.85,4.5600000000000005,0.85,0.0,0.0,-1.08
" TUBÉRCULOS, RAÍZES E LEGUMES",27.21,23.03,54.120000000000005,16.919999999999998,27.13,39.27,31.549999999999997,33.71,18.83,25.32,45.129999999999995,43.06,35.839999999999996,30.599999999999998,24.13,20.37,30.11
 BATATA-DOCE,-17.14,0.0,0.0,-2.380000000000001,-3.369999999999999,0.0,0.0,0.0,2.72,0.0,-5.48,0.0,0.0,-0.3700000000000001,0.0,0.0,-4.4799999999999995
 BATATA-INGLESA,30.63,12.340000000000002,47.28,14.740000000000002,27.939999999999998,30.4,26.810000000000002,25.41,11.870000000000001,14.759999999999998,40.879999999999995,34.269999999999996,16.17,9.42,10.66,14.2,25.95
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65,0.0,0.0,0.0,21.83,36.09
 MANDIOCA (AIPIM),0.0,0.0,11.99,25.9,0.0,11.110000000000003,0.0,0.0,6.09,0.0,0.0,0.0,11.969999999999999,-2.4,0.0,0.0,13.54
 ABOBRINHA,0.0,0.0,0.0,0.0,-23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.73
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.010000000000002,0.0,0.0,0.0,0.0,0.0,0.0,7.010000000000002
 PIMENTÃO,0.0,0.0,0.0,0.0,18.1,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57
 TOMATE,39.43,30.87,89.69999999999999,2.710000000000001,49.260000000000005,64.39,31.54,56.46,24.189999999999998,45.190000000000005,67.25999999999999,56.31,54.45,37.709999999999994,18.830000000000002,19.45,47.510000000000005
 CEBOLA,44.33,29.240000000000002,55.41,40.480000000000004,27.44,51.92999999999999,58.89,37.0,32.65,38.989999999999995,48.26,39.24,40.230000000000004,50.410000000000004,32.86000000000001,33.2,36.89
 CENOURA,-13.44,-10.879999999999999,-7.0,-8.84,0.4000000000000004,-11.120000000000001,-10.67,3.26,-9.39,-4.9799999999999995,-9.759999999999998,0.1299999999999999,0.0,0.0,0.0,-0.9699999999999998,-6.35
 AÇÚCARES E DERIVADOS,2.2,5.05,2.12,2.25,3.4800000000000004,2.7,-1.02,-1.22,-2.0,2.4800000000000004,1.96,3.66,0.87,-1.09,-2.59,-3.3600000000000003,2.3200000000000003
 AÇÚCAR REFINADO,0.7799999999999999,1.4600000000000004,0.0,0.79,0.22999999999999998,4.7299999999999995,-5.19,-3.64,-5.43,1.2699999999999998,0.0,0.0,0.0,-1.67,-2.98,0.0,-0.36
 AÇÚCAR CRISTAL,0.0,-0.7800000000000002,-0.65,3.5599999999999996,0.0,-0.33000000000000007,-3.31,-1.83,-4.14,4.4399999999999995,-0.12000000000000033,3.96,-4.45,-2.6799999999999997,-5.27,-8.68,-0.9299999999999999
 BALAS,0.0,5.93,0.0,0.0,0.0,1.32,0.0,0.0,0.0,-1.9300000000000002,5.98,0.0,-2.31,0.0,0.0,0.0,2.0300000000000002
 CHOCOLATE EM BARRA E BOMBOM,-0.74,9.21,4.4,1.5399999999999998,3.43,2.66,1.5,-3.75,0.6300000000000001,3.8899999999999997,4.59,4.37,4.390000000000001,3.0199999999999996,3.74,-1.4499999999999997,3.65
 SORVETE,4.59,5.65,1.8199999999999998,1.24,5.35,5.4399999999999995,3.69,4.79,1.26,2.17,2.54,2.12,8.32,0.0,0.0,3.84,4.29
 CHOCOLATE E ACHOCOLATADO EM PÓ,5.0200000000000005,2.87,6.3,-1.4800000000000002,4.75,2.56,5.49,2.5,2.25,2.04,3.1500000000000004,3.0,1.4899999999999998,1.5499999999999998,1.05,1.54,3.99
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
 HORTALIÇAS E VERDURAS,-2.97,-14.84,7.449999999999999,20.009999999999998,0.3700000000000001,8.540000000000001,1.4299999999999997,0.5700000000000003,4.04,-10.56,11.440000000000001,4.09,0.2400000000000002,2.64,-0.7999999999999998,10.39,-0.4
 ALFACE,-3.66,-15.53,9.850000000000001,15.07,3.12,8.620000000000001,-6.27,-2.39,-1.08,-10.09,10.59,5.24,1.9100000000000001,5.470000000000001,-1.1000000000000005,3.0700000000000003,0.52
 COENTRO,0.0,0.0,0.0,26.92,0.0,0.0,0.0,0.0,12.84,0.0,0.0,0.0,0.0,0.0,0.0,20.03,17.79
 COUVE,-3.99,0.0,4.3100000000000005,0.0,-4.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,-0.46,0.0,0.8099999999999996,-2.0700000000000003
 COUVE-FLOR,-0.7399999999999993,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6300000000000003
 REPOLHO,0.0,-30.42,0.0,0.0,-1.46,0.0,0.0,0.0,5.85,-21.52,21.619999999999997,0.0,-6.629999999999999,0.0,9.51,0.0,-9.02
 CHEIRO-VERDE,-1.5200000000000002,3.08,6.0,13.44,-2.6100000000000003,8.23,3.4999999999999996,1.5300000000000002,-2.92,-4.15,5.17,4.62,1.54,1.74,-5.609999999999999,0.0,0.3799999999999999
 BRÓCOLIS,-3.74,-10.27,1.0300000000000002,0.0,-3.0299999999999994,7.569999999999999,1.25,0.0,0.0,-6.7700000000000005,0.0,-1.1199999999999999,0.0,0.0,0.0,0.0,-3.65
 FRUTAS,3.1799999999999997,4.73,7.71,-0.5200000000000001,6.950000000000001,0.99,2.5700000000000003,9.21,2.85,1.72,10.84,1.8900000000000001,2.1100000000000003,8.2,-0.6500000000000004,2.0799999999999996,4.890000000000001
 BANANA-DA-TERRA,0.0,0.0,0.0,-0.7899999999999999,0.0,0.0,0.0,0.0,-3.1499999999999995,0.0,0.0,8.76,0.0,19.830000000000002,0.0,0.0,-0.45999999999999996
 ABACAXI,-3.35,17.42,0.0,4.0,0.0,0.0,10.059999999999999,0.0,0.0,0.0,2.5300000000000002,-6.53,-1.88,0.0,0.0,0.9099999999999993,5.109999999999999
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,12.52,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,15.2
 BANANA-D'ÁGUA,7.290000000000001,0.120000000000001,-20.380000000000003,0.0,11.510000000000002,-3.400000000000001,0.0,0.0,0.0,2.3499999999999996,0.0,0.0,-10.530000000000001,0.0,3.58,0.0,3.5600000000000005
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.39,0.0,24.979999999999997,0.0,0.0,0.0,46.75
 BANANA-PRATA,12.549999999999999,1.5700000000000003,12.53,-2.1100000000000003,11.0,16.830000000000002,1.19,7.07,11.16,1.5000000000000009,23.12,6.41,0.0,22.799999999999997,2.43,0.45000000000000107,8.67
 LARANJA-BAÍA,0.0,40.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.300000000000004
 LARANJA-LIMA,0.0,0.0,20.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58
 LIMÃO,-7.73,0.0,0.0,0.0,1.7499999999999964,-18.04,0.0,0.0,0.0,0.0,-23.33,-19.930000000000003,0.0,-12.25,0.0,0.0,-3.7399999999999984
 MAÇÃ,2.71,12.99,16.96,7.66,5.35,6.300000000000001,8.3,7.039999999999999,5.57,10.83,5.459999999999999,3.74,7.37,7.82,17.849999999999998,3.99,8.99
 MAMÃO,9.22,7.660000000000001,16.42,-5.53,10.34,9.75,0.0,4.34,8.26,15.41,8.01,2.54,13.25,-19.16,0.0,6.27,9.59
 MANGA,-19.6,-24.39,-29.590000000000003,0.0,-13.83,-28.04,0.0,-24.9,-31.930000000000003,-24.47,0.0,-18.43,0.0,0.0,0.0,-16.81,-20.26
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.279999999999998,11.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,13.42
 MELANCIA,0.0,0.0,11.24,-7.34,0.0,-5.049999999999999,0.45000000000000034,0.0,-2.5,-1.7199999999999989,5.919999999999999,0.0,14.449999999999998,2.9299999999999997,4.899999999999999,0.0,1.3200000000000003
 MELÃO,-23.82,0.0,0.0,-38.07,0.0,-12.91,-23.089999999999996,0.0,0.0,-17.87,0.0,0.0,0.0,0.0,-33.28,0.0,-24.39
 PERA,0.0,0.0,0.0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,4.21,4.88,0.0,0.0,0.0,0.0,16.82
 TANGERINA,0.0,0.0,0.0,0.0,13.379999999999999,0.0,0.0,0.0,0.0,20.67,0.0,0.0,0.0,0.0,0.0,0.0,15.189999999999998
 UVA,2.6199999999999997,-2.19,0.9299999999999997,11.59,-2.6099999999999994,-3.2399999999999998,7.09,7.859999999999999,0.13000000000000012,2.04,8.08,-7.25,4.31,0.8300000000000001,0.8599999999999999,3.5100000000000002,0.8200000000000003
 LARANJA-PERA,8.16,0.0,4.8500000000000005,21.1,7.46,3.74,5.9,23.48,9.64,-7.98,-4.450000000000001,14.379999999999999,3.18,7.720000000000001,16.33,10.540000000000001,6.1
 MORANGO,0.0,-5.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.549999999999999
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,5.449999999999999,30.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.649999999999999,18.93
 CARNES,1.0599999999999998,0.31,1.9700000000000002,0.2,1.08,3.23,-3.99,-0.18000000000000016,2.03,0.6500000000000002,-0.6199999999999999,1.98,0.71,-2.22,0.6599999999999999,-0.22000000000000008,0.5599999999999999
 FÍGADO,0.0,0.0,0.0,-1.2200000000000002,0.0,0.0,1.5199999999999996,-4.3500000000000005,-2.3,0.0,0.0,0.0,0.0,0.0,-1.5699999999999998,0.0,-1.5700000000000003
 CARNE DE PORCO,2.61,-0.6799999999999998,3.17,5.4,5.8100000000000005,4.220000000000001,2.69,3.51,0.9899999999999999,4.4399999999999995,1.31,2.38,1.6300000000000001,-1.49,6.82,5.58,3.56
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69
 CUPIM,0.0,0.0,0.0,1.3699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,0.0,0.0,0.0,0.0,-0.7999999999999999
 CONTRAFILÉ,1.56,-2.45,2.1399999999999997,4.63,3.11,4.1,-3.4,-0.1900000000000004,4.73,-0.6000000000000001,-0.19999999999999996,3.9000000000000004,1.2500000000000002,-1.6099999999999999,4.3500000000000005,-0.5999999999999996,1.27
 FILÉ-MIGNON,1.23,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,-1.4000000000000004,0.0,0.0,0.0,-1.7599999999999998,0.0,0.0,0.79
 CHÃ DE DENTRO,3.73,-1.96,1.6400000000000001,-1.1700000000000002,1.37,-1.81,-5.34,-3.0499999999999994,2.9899999999999998,1.2,0.17000000000000004,4.37,2.2300000000000004,-4.91,-2.9599999999999995,-1.7900000000000003,0.28
 ALCATRA,2.83,2.13,5.29,2.91,4.1899999999999995,6.390000000000001,-3.07,1.41,1.21,0.2999999999999998,0.31000000000000005,1.71,2.88,-1.79,1.21,0.25,2.2
 PATINHO,-0.3500000000000001,0.0,1.97,-0.91,-2.19,0.0,-0.98,-0.26000000000000023,0.0,-2.77,-1.27,3.69,3.3600000000000003,-4.67,0.3599999999999999,-1.8,-1.19
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-1.7199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7199999999999998
 LAGARTO COMUM,0.0,-1.9699999999999998,0.0,0.0,1.84,0.0,0.0,0.0,-0.4500000000000002,0.0,0.69,0.0,-0.84,-2.83,0.0,0.0,0.5499999999999999
 MÚSCULO,0.94,-0.010000000000000231,0.27999999999999997,-1.2599999999999998,-2.8,0.0,-5.88,0.0,0.8,-5.859999999999999,-1.74,0.0,2.91,-1.4500000000000002,-3.82,-0.4899999999999999,-1.7
