"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.6,-0.53,0.8,0.41,0.63,0.49,0.65,0.73,0.86,0.47,0.74,0.57,0.62,0.87,0.54,0.9,0.54
 ALIMENTAÇÃO E BEBIDAS,1.24,0.35,1.63,0.49,0.98,1.33,2.03,1,1.14,1.14,1.48,1.47,0.9,0.32,0.86,1.95,1.11
 ALIMENTAÇÃO NO DOMICÍLIO,1.58,0.49,2.07,0.48,1.49,1.68,2.37,1.29,1.23,1.3,1.98,1.74,0.96,0.4,0.88,2.31,1.44
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-2.39,-3.8,-2.66,-2.31,-1.43,0.39,-0.46,-3.02,-1.58,-1.89,-2.38,-2.84,0.45,-1.5,-4.52,-1.9,-2.08
 ARROZ,-3.78,-3.31,-3.38,-3.79,-1.72,-1.05,-1.51,-3.42,-1.59,-2.76,-3.16,-2.75,-0.32,-1.41,-4.93,-3.5,-2.66
 FEIJÃO-MULATINHO,       -,       -,       -,-2.31,       -,       -,       -,       -,-3.65,       -,       -,       -,       -,       -,-2.49,       -,-2.97
 FEIJÃO-PRETO,0.35,-6.3,       -,       -,       -,2.03,-3.36,       -,       -,-1.69,       -,-3.12,       -,       -,       -,       -,-1.73
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-1.06,       -,       -,       -,-2.03,       -,       -,       -,       -,       -,       -,       -,       -,-1.84
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-0.24,0.23,-0.55,4.24,5.07,       -,-0.34,       -,0.59,       -,5.25,-1.96,-0.77,0.74,0.24
 MILHO (EM GRÃO),       -,-0.07,       -,       -,       -,2.05,       -,       -,       -,3.78,       -,       -,       -,       -,       -,       -,2.18
" FARINHAS, FÉCULAS E MASSAS",1.62,0.94,0.82,1.48,1.06,1.1,5.43,1.4,1.27,-1.2,0.09,1.86,-0.22,0.45,0.64,1.29,1.22
 FARINHA DE ARROZ,       -,       -,       -,0.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.81
 MACARRÃO,1.38,1.93,0.16,2.06,0.6,-0.65,1.01,0.43,-1.04,-2.18,1.04,2.22,-0.45,1.5,-2.25,2.12,0.44
 FUBÁ DE MILHO,       -,       -,       -,2.2,       -,       -,       -,2.06,       -,       -,       -,       -,       -,       -,2.12,0.8,2.02
 FLOCOS DE MILHO,       -,       -,       -,-1.01,       -,1.78,       -,       -,       -,       -,       -,       -,       -,       -,1.93,-0.54,0.08
 FARINHA DE TRIGO,       -,3.01,1.1,       -,-0.42,       -,       -,       -,-0.04,-0.78,0.23,1.05,0.55,       -,       -,       -,0.61
 FARINHA DE MANDIOCA,3.89,       -,1.86,2.43,4.38,1.06,6.82,2.4,3.76,       -,-4.89,7.35,       -,0.02,0.84,1.7,3.65
