"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.67,1.61,1.44,1.53,1.46,1.41,1.47,1.69,1.53,2.4,2.1,1.5,1.73,1.35,2.06,1.43,1.62
 ALIMENTAÇÃO E BEBIDAS,2.13,3.18,2.28,2.04,2.59,2.22,2.95,2.02,1.89,2.48,1.96,2.76,2.58,1.2,2.24,1.49,2.42
 ALIMENTAÇÃO NO DOMICÍLIO,2.86,4.07,2.87,2.68,3.31,3.49,3.65,2.68,2.2,3.09,2.47,3.42,3.05,1.58,2.55,1.83,3.09
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.27,2.48,3.39,5.28,4.4,2.31,2.66,1.29,2.84,-0.06,3.69,4.66,2.07,4.68,1.06,1.81,3.12
 ARROZ,3.31,3.11,3.19,6.91,3.11,1.75,1.21,1.69,2.95,-0.62,3.46,4.87,0.55,4.31,1.56,2.23,2.69
 FEIJÃO-MULATINHO,       -,       -,       -,-5.59,       -,       -,       -,       -,-0.91,       -,       -,       -,       -,       -,-6.34,       -,-3.61
 FEIJÃO-PRETO,3.19,0.58,       -,       -,       -,3.98,5.25,       -,       -,1.35,       -,4.08,       -,       -,       -,       -,2.6
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,5.09,       -,       -,       -,0.36,       -,       -,       -,       -,       -,       -,       -,       -,1.24
 FEIJÃO-CARIOCA (RAJADO),       -,       -,4,8.82,8.11,3.79,6.07,       -,4.73,       -,4.45,       -,10.51,6.54,3.52,1.19,6.43
 MILHO (EM GRÃO),       -,3,       -,       -,       -,1.8,       -,       -,       -,1.44,       -,       -,       -,       -,       -,       -,2.04
" FARINHAS, FÉCULAS E MASSAS",1.21,1.54,2.1,1.8,1.33,2.32,1.91,1.21,3.42,3.09,2.88,2.93,3.52,1.76,-0.17,2.83,1.89
 FARINHA DE ARROZ,       -,       -,       -,0.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.24
 MACARRÃO,4.45,1.29,1.58,2.51,3.65,4.16,1.19,4.08,1.33,1.82,2.32,3.68,3.38,4.51,0.76,0.95,2.69
 FUBÁ DE MILHO,       -,       -,       -,-2.46,       -,       -,       -,-0.78,       -,       -,       -,       -,       -,       -,-1.91,0.43,-1.59
 FLOCOS DE MILHO,       -,       -,       -,-2.23,       -,4.62,       -,       -,       -,       -,       -,       -,       -,       -,6.06,0.93,0.79
 FARINHA DE TRIGO,       -,3.5,3.53,       -,4.06,       -,       -,       -,4.64,4.41,5.2,2.66,6.02,       -,       -,       -,4.03
 FARINHA DE MANDIOCA,3.71,       -,0.43,6.98,0.87,1.05,2.05,-0.87,4.41,       -,2.15,2.57,       -,-0.69,-0.98,5.28,2.2
