"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2022",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.41,0.76,0.54,0.95,0.66,0.87,0.51,0.61,0.61,0.2,0.53,0.6,0.47,0.44,0.71,0.58,0.59
 ALIMENTAÇÃO E BEBIDAS,0.35,1.05,1.06,0.36,0.96,0.84,0.25,0.48,0.19,0.4,1.02,0.96,1.18,0.33,-0.46,0.81,0.72
 ALIMENTAÇÃO NO DOMICÍLIO,0.44,1.3,1.26,0.23,1.15,0.95,0.2,0.61,0.21,0.19,1.11,1.02,1.47,0.27,-0.58,0.7,0.8
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.22,0.01,-1.64,-2.74,-0.47,-0.37,-0.1,-0.89,-1.62,-0.26,-1.4,-2.92,0.69,-0.78,-0.85,-0.13,-0.79
 ARROZ,0.17,0.88,-0.68,0.24,0.82,0.92,-0.08,-0.96,-1.7,-0.28,-0.26,-1.86,1.19,-0.07,-0.39,-0.29,0.04
 FEIJÃO-MULATINHO,       -,       -,       -,-7.26,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,-5.14,       -,-3.4
 FEIJÃO-PRETO,-1.06,-2.93,       -,       -,       -,-0.38,-1.76,       -,       -,-1.01,       -,-6.53,       -,       -,       -,       -,-1.76
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-2.48,       -,       -,       -,-0.7,       -,       -,       -,       -,       -,       -,       -,       -,-1.06
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-4.22,-5.68,-3.68,-5.55,0.42,       -,-2.25,       -,-4.68,       -,-1.88,-3.69,-2.71,0.08,-3.55
 MILHO (EM GRÃO),       -,0.69,       -,       -,       -,3.33,       -,       -,       -,0.6,       -,       -,       -,       -,       -,       -,1.0
" FARINHAS, FÉCULAS E MASSAS",0.53,1.95,1.68,0.33,1.14,-0.09,6.03,-0.16,0.93,0.09,-0.16,0.26,2.5,0.44,3.67,-1.12,1.34
 FARINHA DE ARROZ,       -,       -,       -,0.33,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.33
 MACARRÃO,1.41,2.59,2.05,-2.04,0.79,-0.21,-2.67,-1.51,1.14,2.69,1.11,0.08,1.99,0.31,-0.11,-1.74,0.89
 FUBÁ DE MILHO,       -,       -,       -,0.97,       -,       -,       -,-2.48,       -,       -,       -,       -,       -,       -,-2.26,-0.71,-0.8
 FLOCOS DE MILHO,       -,       -,       -,0.43,       -,2.14,       -,       -,       -,       -,       -,       -,       -,       -,2.13,0.03,1.04
 FARINHA DE TRIGO,       -,2.96,0.54,       -,1.51,       -,       -,       -,2.14,0.42,0.4,0.66,1.9,       -,       -,       -,1.54
 FARINHA DE MANDIOCA,0.17,       -,0.77,3.31,2.42,-0.97,8.81,2.38,0.91,       -,-0.74,1.75,       -,0.68,6,-1.29,3.64
 MASSA SEMIPREPARADA,-0.15,0.67,2.36,       -,1.59,-0.42,1.48,-0.3,-1.32,-2.41,-1.12,-0.78,3.68,       -,       -,       -,0.51
 MACARRÃO INSTANTÂNEO,0.11,       -,       -,       -,-0.55,-0.51,       -,       -,       -,-1.12,       -,0.23,2.39,-0.13,       -,       -,-0.34
" TUBÉRCULOS, RAÍZES E LEGUMES",18.73,11.97,23.92,6.55,15.52,15.63,8.87,12.22,7.31,12.8,18.84,19.23,17.24,3.9,-2.1,6.21,14.27
 BATATA-DOCE,8.41,       -,       -,8.69,8.19,       -,       -,       -,2.98,       -,4.76,       -,       -,3.17,       -,       -,7.13
 BATATA-INGLESA,30.97,18.07,30.09,19.69,23.47,26.28,14.72,26.55,21.16,18.02,26.73,29.34,15.14,1.18,4.72,19.13,23.36
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,30.89,       -,       -,       -,9.16,16.8
 MANDIOCA (AIPIM),       -,       -,7.57,9.62,       -,-7.38,       -,       -,3.55,       -,       -,       -,3.13,-0.29,       -,       -,5.14
 ABOBRINHA,       -,       -,       -,       -,4.81,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.81
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,27.54,       -,       -,       -,       -,       -,       -,27.54
 PIMENTÃO,       -,       -,       -,       -,5.17,3.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.03
 TOMATE,24.02,13.34,37.43,-15.25,21.73,29.26,10.95,8.64,4.76,9.96,24.88,21.08,25.6,6.34,-4.12,-2.32,17.63
 CEBOLA,7.8,7.21,13.4,11.03,11.88,12.52,9.48,7.82,5.64,10.37,14.97,5.22,16.18,4.35,-2.07,6.52,9.31
 CENOURA,-0.41,0.88,0.5,1.89,0.46,-5.68,-6.48,2.5,-1.66,-7.46,-1.52,-4.86,       -,       -,       -,3.41,-1.0
 AÇÚCARES E DERIVADOS,0.2,3.33,0.35,-0.03,0.76,0.93,0.13,-0.46,-0.67,1.22,0.43,0.46,-0.11,-0.27,-1.02,-0.45,0.72
 AÇÚCAR REFINADO,-0.84,2.72,       -,1.02,-1.04,1.61,-3.97,-0.3,-1.68,0.43,       -,       -,       -,0,-0.01,       -,-0.74
