Variacoes - -OUTUBRO - DEZEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.6,0.81,1.52,-0.16999999999999998,1.19,1.8000000000000003,0.81,1.0799999999999998,0.96,0.39,1.55,1.16,1.18,1.24,-0.19000000000000003,2.7755575615628914e-17,1.08
 ALIMENTAÇÃO E BEBIDAS,2.77,0.9500000000000001,3.4799999999999995,0.1399999999999999,2.28,2.12,0.9200000000000002,1.5999999999999999,1.1,2.0,4.01,1.76,2.72,1.9300000000000002,0.9999999999999999,0.41000000000000003,2.0500000000000003
 ALIMENTAÇÃO NO DOMICÍLIO,3.33,0.8099999999999999,4.33,-0.44000000000000006,2.67,2.7600000000000002,0.63,1.56,1.3800000000000001,2.42,4.88,1.65,3.16,2.18,1.1900000000000002,0.16999999999999993,2.36
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",11.84,9.73,9.61,4.050000000000001,11.19,17.57,9.81,12.030000000000001,8.05,10.620000000000001,19.32,8.48,14.4,12.41,11.01,12.51,11.120000000000001
 ARROZ,11.799999999999999,11.4,10.44,8.49,12.51,19.7,7.59,14.459999999999999,9.84,11.93,21.6,7.44,13.63,14.719999999999999,12.049999999999999,14.83,12.43
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,0.0,-2.05,0.0,0.0,0.0,0.0,0.0,-1.9699999999999998,0.0,-2.38
 FEIJÃO-PRETO,11.97,7.629999999999999,0.0,0.0,0.0,22.880000000000003,16.41,0.0,0.0,11.73,0.0,13.239999999999998,0.0,0.0,0.0,0.0,11.54
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,10.66,0.0,0.0,0.0,5.050000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.109999999999999
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,7.850000000000003,-4.45,6.77,16.550000000000004,17.78,0.0,9.14,0.0,10.399999999999999,0.0,20.990000000000002,-2.0,8.280000000000001,8.090000000000002,7.68
 MILHO (EM GRÃO),0.0,2.87,0.0,0.0,0.0,-0.20999999999999996,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,1.96
" FARINHAS, FÉCULAS E MASSAS",1.21,-2.0,-1.73,-2.78,0.09000000000000019,-0.94,-1.1099999999999999,0.15999999999999992,-1.9300000000000002,-2.0300000000000002,-1.33,-2.26,-0.30999999999999994,-0.34,-4.81,-0.5900000000000001,-1.0499999999999998
