Variacoes - JANEIRO - MARÇO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.72,2.23,2.02,1.64,2.18,1.9200000000000002,2.11,1.94,2.34,2.0700000000000003,2.1100000000000003,2.68,1.8200000000000003,1.65,1.3699999999999999,2.21,2.08
 ALIMENTAÇÃO E BEBIDAS,0.45999999999999996,1.01,-0.4,0.66,1.24,0.73,2.21,0.8500000000000001,0.8200000000000001,0.7,0.3,0.44999999999999996,-0.79,0.050000000000000044,0.8400000000000001,1.48,0.8
 ALIMENTAÇÃO NO DOMICÍLIO,0.15000000000000002,0.8500000000000001,-1.12,0.020000000000000018,1.01,0.06000000000000005,2.38,0.35,0.43,0.74,-0.13,-0.20999999999999996,-1.45,-0.66,0.69,1.4,0.5
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",6.0600000000000005,8.04,3.7300000000000004,9.46,4.74,6.41,10.57,5.68,4.82,4.72,9.969999999999999,5.4399999999999995,5.75,8.58,10.879999999999999,5.799999999999999,6.16
 ARROZ,7.0,9.59,2.62,7.48,4.75,6.09,9.19,4.54,4.54,5.42,9.030000000000001,3.3099999999999996,4.49,8.66,10.979999999999999,5.3999999999999995,5.9399999999999995
 FEIJÃO-MULATINHO,0.0,0.0,0.0,7.58,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,9.83,0.0,5.7
 FEIJÃO-PRETO,4.05,5.66,0.0,0.0,0.0,5.74,21.41,0.0,0.0,5.890000000000001,0.0,13.01,0.0,0.0,0.0,0.0,6.17
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,10.5,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,6.859999999999999,13.579999999999998,4.6899999999999995,8.899999999999999,11.079999999999998,0.0,6.41,0.0,12.81,0.0,12.19,8.21,10.66,6.4399999999999995,7.2
 MILHO (EM GRÃO),0.0,2.68,0.0,0.0,0.0,3.4799999999999995,0.0,0.0,0.0,-0.24999999999999978,0.0,0.0,0.0,0.0,0.0,0.0,1.33
" FARINHAS, FÉCULAS E MASSAS",1.73,-0.21000000000000008,0.52,3.37,0.51,3.6399999999999997,4.28,3.08,6.28,-0.14000000000000007,4.0600000000000005,2.41,0.88,3.0,7.12,1.41,1.95
 FARINHA DE ARROZ,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04
 MACARRÃO,1.88,1.2799999999999998,-0.39,2.01,1.13,5.39,-1.2,0.3999999999999999,0.75,0.95,2.9299999999999997,0.49,1.2000000000000002,0.33,1.3399999999999999,-1.15,0.9800000000000001
 FUBÁ DE MILHO,0.0,0.0,0.0,-1.38,0.0,0.0,0.0,-1.2799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.2100000000000002,-1.57,-1.1800000000000002
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.7999999999999999,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,0.4600000000000002,1.87
 FARINHA DE TRIGO,0.0,0.91,-0.2400000000000001,0.0,3.37,0.0,0.0,0.0,0.8300000000000001,-5.5,2.9699999999999998,-3.6299999999999994,-4.6899999999999995,0.0,0.0,0.0,0.04000000000000009
 FARINHA DE MANDIOCA,8.14,0.0,3.22,10.469999999999999,4.55,6.220000000000001,5.9799999999999995,8.040000000000001,12.86,0.0,6.640000000000001,9.34,0.0,5.16,9.239999999999998,3.9400000000000004,7.46
