Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.16999999999999998,0.95,0.009999999999999981,0.81,0.58,1.31,1.33,1.04,0.47000000000000003,0.79,0.16999999999999998,0.77,0.61,1.21,0.98,0.68,0.61
 ALIMENTAÇÃO E BEBIDAS,-2.1,-2.38,-1.75,-1.3299999999999998,-1.93,-1.27,-2.76,-1.76,-2.5300000000000002,-1.78,-2.31,-2.42,-2.35,-0.6,-2.4,-2.88,-2.02
 ALIMENTAÇÃO NO DOMICÍLIO,-2.89,-3.34,-2.85,-2.37,-2.96,-2.35,-3.58,-2.24,-3.4400000000000004,-2.92,-3.2700000000000005,-3.68,-3.5199999999999996,-0.83,-2.83,-4.06,-3.0
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.07,0.4299999999999997,-0.18999999999999995,-4.390000000000001,-3.84,-0.7199999999999998,-7.01,-0.2000000000000001,-7.13,3.66,-3.4099999999999993,5.459999999999999,-1.26,2.7,1.5600000000000003,-13.120000000000001,-1.6600000000000001
 ARROZ,4.87,-0.4900000000000002,6.33,0.1299999999999999,3.91,3.45,0.5199999999999998,2.5500000000000003,-0.020000000000000018,4.87,4.58,7.09,3.83,8.15,4.46,0.6900000000000002,3.5999999999999996
 FEIJÃO-MULATINHO,0.0,0.0,0.0,0.9500000000000002,0.0,0.0,0.0,0.0,-7.72,0.0,0.0,0.0,0.0,0.0,-8.02,0.0,-4.91
 FEIJÃO-PRETO,-1.07,3.26,0.0,0.0,0.0,-1.75,-7.6,0.0,0.0,-2.9099999999999997,0.0,-0.45999999999999996,0.0,0.0,0.0,0.0,-0.8399999999999999
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,1.79,0.0,0.0,0.0,-7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.67
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-19.93,-16.43,-25.89,-13.98,-33.11,0.0,-26.880000000000003,0.0,-28.629999999999995,0.0,-32.14,-23.07,-28.740000000000002,-33.28,-25.060000000000002
 MILHO (EM GRÃO),0.0,1.83,0.0,0.0,0.0,0.5200000000000001,0.0,0.0,0.0,2.9799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,2.17
" FARINHAS, FÉCULAS E MASSAS",0.019999999999999796,-3.3499999999999996,-0.7100000000000001,-0.8599999999999999,0.25,1.54,-3.0700000000000003,-2.3,-3.31,-0.4500000000000002,-0.15,-1.83,-1.6399999999999997,5.289999999999999,-9.15,-6.17,-1.3900000000000001
 FARINHA DE ARROZ,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21
 MACARRÃO,-3.4400000000000004,-3.6599999999999997,1.9400000000000002,-2.87,-0.99,-0.6300000000000001,-5.48,-1.9400000000000002,-7.67,0.6099999999999999,-3.5300000000000002,-1.32,0.48,-0.6799999999999999,-6.7700000000000005,-6.41,-2.08
 FUBÁ DE MILHO,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.8099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.6800000000000002,-1.36,1.92
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.33000000000000007,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.08,-6.37,-2.41
 FARINHA DE TRIGO,0.0,-8.29,-6.24,0.0,-4.35,0.0,0.0,0.0,-9.21,-3.3400000000000003,-2.13,-4.88,-8.59,0.0,0.0,0.0,-5.75
 FARINHA DE MANDIOCA,2.54,0.0,-6.390000000000001,-2.4499999999999997,2.49,2.0300000000000002,-2.5999999999999996,-4.55,-0.009999999999999981,0.0,2.06,-4.5,0.0,7.49,-10.17,-7.5600000000000005,-2.01
 MASSA SEMIPREPARADA,2.0300000000000002,0.3900000000000001,2.06,0.0,2.29,2.23,-3.75,0.41999999999999993,1.1300000000000001,0.4200000000000008,1.8699999999999997,-0.14999999999999997,2.37,0.0,0.0,0.0,1.3499999999999999
 MACARRÃO INSTANTÂNEO,1.0,0.0,0.0,0.0,1.85,3.7600000000000002,0.0,0.0,0.0,0.18000000000000002,0.0,1.6,-3.8199999999999994,7.54,0.0,0.0,1.3199999999999998
" TUBÉRCULOS, RAÍZES E LEGUMES",-19.2,-7.059999999999999,-16.369999999999997,-7.859999999999999,-10.469999999999999,-6.63,-12.35,-8.5,-8.27,-14.35,-9.34,-9.76,-14.700000000000001,-5.0200000000000005,-9.700000000000001,-9.870000000000001,-11.549999999999999
 BATATA-DOCE,-2.9099999999999997,0.0,0.0,-0.81,0.79,0.0,0.0,0.0,-6.19,0.0,4.63,0.0,0.0,1.3199999999999998,0.0,0.0,-0.98
 BATATA-INGLESA,-41.22,-20.76,-41.53,-11.05,-19.889999999999997,-41.1,-17.660000000000004,-8.86,-9.399999999999999,-30.749999999999996,-25.98,-29.05,-34.24,-4.16,-13.300000000000002,-17.66,-26.36
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,-13.56,-10.0
 MANDIOCA (AIPIM),0.0,0.0,-8.03,-0.5999999999999999,0.0,3.35,0.0,0.0,-1.4,0.0,0.0,0.0,-1.05,0.25,0.0,0.0,-3.09
 ABOBRINHA,0.0,0.0,0.0,0.0,-15.919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.919999999999998
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-27.799999999999997
 PIMENTÃO,0.0,0.0,0.0,0.0,-1.1000000000000005,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3400000000000003
 TOMATE,-1.8799999999999994,1.5599999999999996,-2.1299999999999986,-14.15,-9.18,0.84,-7.88,-7.989999999999999,-3.8500000000000014,4.960000000000001,-4.93,-1.02,-9.09,-3.9099999999999997,-14.96,-6.149999999999999,-5.329999999999999
 CEBOLA,-17.330000000000002,-1.7299999999999995,-7.48,-7.97,-5.59,-8.9,-16.840000000000003,-7.619999999999999,-16.52,-14.96,-4.239999999999999,-10.22,-18.44,-10.88,0.06999999999999984,-5.73,-8.47
 CENOURA,-15.740000000000002,0.14000000000000057,-9.129999999999999,-2.4400000000000013,-9.490000000000002,-7.9300000000000015,-13.059999999999999,-9.79,-5.18,-8.93,-12.23,-12.879999999999999,0.0,0.0,0.0,-13.92,-9.61
 AÇÚCARES E DERIVADOS,3.13,0.3,-0.77,0.5900000000000001,1.5,0.21000000000000005,-0.7,-0.019999999999999962,-0.8299999999999998,1.05,-2.1,-2.05,-0.27000000000000013,0.6000000000000001,0.010000000000000009,0.07000000000000006,0.68
 AÇÚCAR REFINADO,5.67,0.6400000000000001,0.0,7.28,0.98,5.33,-2.11,3.89,6.609999999999999,8.36,0.0,0.0,0.0,12.110000000000001,-2.67,0.0,2.8200000000000003
 AÇÚCAR CRISTAL,0.0,3.1799999999999997,-2.7,-0.16000000000000014,0.0,-2.7300000000000004,-2.75,-2.97,-3.13,1.8199999999999998,-6.77,-3.99,-1.35,-2.4699999999999998,2.89,-1.9999999999999998,-2.0
 BALAS,0.0,-2.96,0.0,0.0,0.0,1.5799999999999998,0.0,0.0,0.0,-3.26,-2.4099999999999997,0.0,2.16,0.0,0.0,0.0,-2.21
