"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.65,0.75,0.81,0.99,0.92,0.48,0.86,0.73,0.81,1.09,0.85,0.92,0.54,0.44,0.65,0.88,0.84
 ALIMENTAÇÃO E BEBIDAS,-0.06,0.43,-0.34,0.15,0.38,0.45,0.51,0.13,-0.21,0.49,-0.08,-0.14,-0.82,-0.24,-0.43,-0.09,0.16
 ALIMENTAÇÃO NO DOMICÍLIO,-0.29,0.57,-0.6,-0.1,0.28,0.3,0.52,-0.02,-0.41,0.57,-0.25,-0.29,-1.29,-0.44,-0.55,-0.2,0.04
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",2.58,4.08,-0.39,2.47,1.13,2.44,2.48,0.4,2.84,3.9,3.78,-0.61,2.16,1.61,2.93,0.94,1.91
 ARROZ,2.55,4.25,-0.35,1.86,1.11,2.99,2.06,-0.82,3.33,4.76,4.57,-1.61,1.8,1.65,3.0,2.28,1.91
 FEIJÃO-MULATINHO,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,1.03,0.0,2.1
 FEIJÃO-PRETO,2.63,3.99,0.0,0.0,0.0,3.24,8.17,0.0,0.0,0.89,0.0,2.95,0.0,0.0,0.0,0.0,3.04
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,3.58,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-0.49,2.89,1.19,1.19,1.72,0.0,2.25,0.0,1.63,0.0,4.02,1.43,3.72,-0.88,1.23
 MILHO (EM GRÃO),0.0,3.14,0.0,0.0,0.0,0.94,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,2.42
" FARINHAS, FÉCULAS E MASSAS",1.25,1.13,0.36,1.95,1.14,0.47,3.52,-0.02,2.63,0.0,1.48,0.83,0.43,-0.2,1.49,0.0,1.26
 FARINHA DE ARROZ,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13
 MACARRÃO,1.93,3.61,0.18,0.58,0.85,2.36,-2.38,-0.15,0.41,-0.79,0.42,1.42,1.09,-0.24,1.03,-0.19,0.78
 FUBÁ DE MILHO,0.0,0.0,0.0,0.11,0.0,0.0,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.26,-0.37
 FLOCOS DE MILHO,0.0,0.0,0.0,1.67,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,1.82,2.25
 FARINHA DE TRIGO,0.0,0.0,0.83,0.0,0.87,0.0,0.0,0.0,2.12,1.46,0.79,-1.17,0.72,0.0,0.0,0.0,0.8
 FARINHA DE MANDIOCA,3.52,0.0,0.34,4.8,1.05,0.99,4.97,0.92,4.86,0.0,1.92,1.64,0.0,-0.31,1.34,-0.35,3.12
 MASSA SEMIPREPARADA,-0.58,-0.03,0.37,0.0,1.33,-1.91,-0.22,-1.21,-0.05,-0.75,2.5,1.72,0.05,0.0,0.0,0.0,0.31
 MACARRÃO INSTANTÂNEO,0.36,0.0,0.0,0.0,1.77,-0.26,0.0,0.0,0.0,1.54,0.0,0.26,-0.61,0.31,0.0,0.0,1.16
" TUBÉRCULOS, RAÍZES E LEGUMES",-7.6,-15.31,-13.89,-2.14,-7.14,-3.49,-5.45,-4.26,-0.91,-7.23,-7.97,-10.07,-13.95,-10.98,-8.88,-2.07,-8.08
 BATATA-DOCE,2.89,0.0,0.0,-5.75,-4.8,0.0,0.0,0.0,5.47,0.0,-5.54,0.0,0.0,-3.82,0.0,0.0,-2.11
 BATATA-INGLESA,-10.46,-10.65,-17.92,-12.48,-7.72,-10.39,-13.46,-12.49,-4.01,-11.33,-18.4,-13.52,-19.82,-10.08,-7.46,-14.4,-11.57
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.24,0.0,0.0,0.0,10.94,-0.64
 MANDIOCA (AIPIM),0.0,0.0,-2.3,3.75,0.0,-4.68,0.0,0.0,5.27,0.0,0.0,0.0,-4.48,3.06,0.0,0.0,-0.07
 ABOBRINHA,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13
 PIMENTÃO,0.0,0.0,0.0,0.0,-7.79,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.65
 TOMATE,-9.33,-22.85,-19.96,13.36,-14.91,-2.82,-0.99,3.95,13.55,-11.03,-0.94,-12.04,-14.55,-12.61,-2.57,9.28,-9.81
 CEBOLA,-18.11,-16.2,-12.43,-11.97,-3.25,-10.32,-17.68,-12.16,-16.23,-3.26,-16.25,-3.55,-12.2,-14.33,-16.68,-14.45,-11.82
 CENOURA,25.6,13.35,30.82,15.06,15.85,24.36,18.15,18.76,15.26,19.82,12.49,26.62,0.0,0.0,0.0,9.99,19.52
 AÇÚCARES E DERIVADOS,-0.01,0.82,0.75,-1.56,0.06,1.02,0.25,-0.72,2.07,0.05,1.1,-0.3,-0.89,-0.97,-0.06,-0.96,0.26
 AÇÚCAR REFINADO,-1.24,1.45,0.0,-2.15,-0.06,1.6,1.8,1.81,2.97,-1.39,0.0,0.0,0.0,-1.37,-1.95,0.0,-0.09
 AÇÚCAR CRISTAL,0.0,0.48,0.32,-2.04,0.0,-0.28,-0.31,-3.0,2.76,1.52,1.94,-1.66,-1.33,-0.89,0.64,-0.91,0.18
 BALAS,0.0,0.83,0.0,0.0,0.0,2.49,0.0,0.0,0.0,-2.01,0.54,0.0,-0.95,0.0,0.0,0.0,-0.07
 CHOCOLATE EM BARRA E BOMBOM,-1.5,0.12,1.98,-0.02,-0.22,0.87,-1.9,0.34,0.41,-0.91,1.24,0.11,0.52,-1.01,2.26,-1.97,-0.11
 SORVETE,1.91,0.81,1.06,-0.38,0.08,1.26,0.49,0.01,1.01,0.93,-0.17,2.93,-1.29,0.0,0.0,-0.88,0.53
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.76,2.4,-0.02,-0.12,0.71,1.43,0.62,-0.3,1.67,1.94,1.16,0.74,-0.31,-0.73,1.14,-0.26,1.02
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,-0.76
 HORTALIÇAS E VERDURAS,9.1,12.92,10.32,-2.84,9.71,4.2,1.28,-1.52,0.28,2.58,3.36,5.1,8.64,-0.35,1.04,0.56,7.3
 ALFACE,10.81,17.0,10.4,-4.11,9.64,-1.83,-2.69,-0.25,1.45,3.35,2.1,6.13,7.05,-3.03,-1.1,2.72,8.36
 COENTRO,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,-3.14,0.0,0.0,0.0,0.0,0.0,0.0,-2.78,-1.85
 COUVE,5.45,0.0,10.77,0.0,11.82,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,-1.32,0.0,6.53,9.99
 COUVE-FLOR,10.46,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38
 REPOLHO,0.0,4.56,0.0,0.0,11.85,0.0,0.0,0.0,6.83,3.9,10.25,0.0,30.25,0.0,-0.86,0.0,8.45
 CHEIRO-VERDE,5.33,0.3,7.63,-10.13,6.37,10.2,1.5,-1.89,1.96,-0.14,1.61,7.37,-0.25,1.73,2.87,0.0,3.02
 BRÓCOLIS,11.27,15.5,12.47,0.0,10.17,11.92,4.51,0.0,0.0,2.28,0.0,2.81,0.0,0.0,0.0,0.0,9.89
 FRUTAS,4.97,5.11,0.62,0.09,1.73,1.51,1.57,3.19,1.56,4.27,2.33,2.0,-1.45,0.2,-0.12,-2.4,2.14
 BANANA-DA-TERRA,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,2.78,0.0,0.0,-7.91,0.0,-1.66,0.0,0.0,0.47
 ABACAXI,8.62,4.16,0.0,20.17,0.0,0.0,4.3,0.0,0.0,0.0,13.97,9.4,1.7,0.0,0.0,0.52,8.93
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-12.51,0.0,0.0,0.0,0.0,0.0,0.0,-18.1,0.0,0.0,-13.68
 BANANA-D'ÁGUA,-1.88,-2.33,-4.45,0.0,-3.02,-5.01,0.0,0.0,0.0,-11.94,0.0,0.0,-7.24,0.0,5.99,0.0,-4.37
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.48,0.0,-9.76,0.0,0.0,0.0,-7.17
 BANANA-PRATA,2.25,3.86,-10.32,1.24,3.54,-1.18,2.07,5.61,-1.01,4.0,-0.09,6.91,0.0,-1.73,2.31,-3.92,-0.49
 LARANJA-BAÍA,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11
 LARANJA-LIMA,0.0,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09
 LIMÃO,-14.38,0.0,0.0,0.0,-15.62,-14.56,0.0,0.0,0.0,0.0,-9.57,-16.02,0.0,-17.13,0.0,0.0,-14.93
 MAÇÃ,9.35,6.08,-4.16,4.38,4.58,6.09,2.36,4.62,7.95,11.37,3.56,1.42,-2.27,3.18,2.05,-0.41,3.72
 MAMÃO,12.02,11.44,27.26,-8.32,15.08,8.18,0.0,-5.24,-2.12,13.67,7.16,3.36,8.89,9.28,0.0,-7.55,12.25
 MANGA,12.54,23.44,30.85,0.0,7.45,-0.02,0.0,17.6,-3.05,11.38,0.0,10.0,0.0,0.0,0.0,-4.39,10.46
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.66,1.65,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,5.12
 MELANCIA,0.0,0.0,-3.37,-2.0,0.0,13.66,2.51,0.0,4.88,15.93,6.69,0.0,6.41,16.31,-1.63,0.0,4.81
 MELÃO,0.33,0.0,0.0,-9.35,0.0,-2.98,-5.55,0.0,0.0,-8.86,0.0,0.0,0.0,0.0,-1.67,0.0,-4.89
 PERA,0.0,0.0,0.0,0.0,-6.53,0.0,0.0,0.0,0.0,0.0,1.72,4.02,0.0,0.0,0.0,0.0,-5.52
 TANGERINA,0.0,0.0,0.0,0.0,-6.73,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.0,-3.53
 UVA,2.72,-1.42,1.28,4.22,-3.36,7.06,3.25,1.99,2.01,-0.99,-2.7,2.81,-2.9,0.15,-5.57,2.55,-0.17
 LARANJA-PERA,5.33,0.0,11.32,-11.87,3.54,0.59,4.32,-7.58,-2.26,8.9,6.95,3.33,-2.05,-1.37,-11.83,-7.81,3.46
 MORANGO,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,-3.23,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17,-4.21
 CARNES,-2.94,-1.15,-1.12,-0.71,-1.03,-0.64,-0.62,-0.7,-2.22,0.06,-1.93,-0.76,-2.29,-0.48,-2.15,0.68,-1.22
 FÍGADO,0.0,0.0,0.0,-4.07,0.0,0.0,-0.32,-2.74,-1.82,0.0,0.0,0.0,0.0,0.0,-5.08,0.0,-2.5
 CARNE DE PORCO,-0.77,-0.61,0.92,-0.1,1.42,0.88,-0.54,0.25,-2.16,0.53,-0.25,-1.19,0.56,-1.17,0.94,1.43,0.45
