"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.85,0.49,0.6,0.16,0.67,0.56,0.56,0.56,0.5,0.57,0.77,0.31,0.89,0.64,0.53,0.39,0.61
 ALIMENTAÇÃO E BEBIDAS,0.43,1.17,0.5,0.27,1.05,0.95,0.5,0.2,0.18,0.48,0.81,0.44,1.2,0.13,0.93,0.08,0.71
 ALIMENTAÇÃO NO DOMICÍLIO,0.5,1.27,0.49,0.18,1.11,0.96,0.46,0.21,0.09,0.49,0.87,0.45,1.44,0.04,0.96,-0.03,0.73
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.74,0.85,1.12,0.43,0.26,1.72,2.49,1.5,3.22,-0.74,2.12,0.02,2.91,2.53,1.85,2.92,1.15
 ARROZ,1.46,0.98,0.18,0.81,-0.69,1.11,0.84,1.51,2.12,-1.05,-0.04,-0.13,1.08,0.09,1.35,1.19,0.36
 FEIJÃO-MULATINHO,       -,       -,       -,-1.61,       -,       -,       -,       -,1.67,       -,       -,       -,       -,       -,2.51,       -,0.68
 FEIJÃO-PRETO,2.35,1.12,       -,       -,       -,1.37,-2.2,       -,       -,-0.21,       -,0.5,       -,       -,       -,       -,1.32
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-3.2,       -,       -,       -,1.48,       -,       -,       -,       -,       -,       -,       -,       -,0.62
 FEIJÃO-CARIOCA (RAJADO),       -,       -,3.61,1.82,2.67,4.67,9.28,       -,6.67,       -,8.1,       -,11.79,13.63,7.69,5.22,4.41
 MILHO (EM GRÃO),       -,-0.56,       -,       -,       -,-0.84,       -,       -,       -,0.48,       -,       -,       -,       -,       -,       -,-0.09
" FARINHAS, FÉCULAS E MASSAS",0.27,-0.71,0.26,0.48,1.09,0.63,2.31,1.09,3.16,-0.04,1.72,1.08,-0.1,2.38,0.93,0.26,0.88
 FARINHA DE ARROZ,       -,       -,       -,2.55,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.55
 MACARRÃO,-0.81,-1.53,-0.3,-2.01,1.59,0.91,1.25,0.44,-0.59,-1.82,1.08,0.5,0.31,-0.04,1.88,-0.28,-0.1
 FUBÁ DE MILHO,       -,       -,       -,-1.64,       -,       -,       -,-4.73,       -,       -,       -,       -,       -,       -,1.65,1.94,-1.67
 FLOCOS DE MILHO,       -,       -,       -,3.49,       -,-0.57,       -,       -,       -,       -,       -,       -,       -,       -,-1.04,3.06,1.75
 FARINHA DE TRIGO,       -,-2.23,0.1,       -,0.76,       -,       -,       -,-0.51,-2.02,0.26,-2.75,-0.97,       -,       -,       -,-0.79
 FARINHA DE MANDIOCA,3.07,       -,0.24,2.03,2.45,2.01,2.45,3.2,6.71,       -,5.5,2.47,       -,3.97,0.9,-0.8,2.87
 MASSA SEMIPREPARADA,-0.65,1.11,1.19,       -,0.38,0.05,2.73,2.3,2.7,3.81,-0.17,4.85,0.76,       -,       -,       -,1.11
 MACARRÃO INSTANTÂNEO,1.2,       -,       -,       -,0.82,-0.2,       -,       -,       -,-1.24,       -,0.75,-1.2,0.87,       -,       -,0.41
" TUBÉRCULOS, RAÍZES E LEGUMES",3.11,3.64,4.72,-1.7,7.1,2.67,-3.43,2.27,-3.81,7.57,11.8,2.91,11.65,0.3,1.17,-2.06,4.14
 BATATA-DOCE,8.36,       -,       -,-3.99,16.59,       -,       -,       -,-1.6,       -,3.9,       -,       -,21.59,       -,       -,8.48
 BATATA-INGLESA,3.44,-0.42,6.18,7.68,2.67,19.31,-4.91,4.73,1.88,5.95,5.1,4.41,19.16,-0.9,9.28,6.27,3.96
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.04,       -,       -,       -,-5.64,-6.23
 MANDIOCA (AIPIM),       -,       -,1.08,-13.27,       -,-4.44,       -,       -,2.07,       -,       -,       -,2.54,-2.88,       -,       -,-2.88
 ABOBRINHA,       -,       -,       -,       -,-3.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.09
 PEPINO,       -,       -,       -,       -,       -,       -,       -,       -,       -,29.93,       -,       -,       -,       -,       -,       -,29.93
 PIMENTÃO,       -,       -,       -,       -,18.68,11.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,17.9
 TOMATE,8.38,25.53,5.95,-2.1,15.64,2.12,-3.01,7.92,-3.39,13.7,25.62,5.67,19.55,0.72,1.4,-7.03,10.64
