"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.03,0.53,-0.16,0.4,-0.02,0.34,0.26,0.17,0.25,0.28,0.16,0.04,-0.12,0.31,0.05,0.26,0.12
 ALIMENTAÇÃO E BEBIDAS,-0.48,-0.44,-0.48,0.05,-0.48,-0.24,-1.2,-0.49,-0.7,0.2,-0.71,-0.62,-0.04,-0.35,-1.17,-0.88,-0.46
 ALIMENTAÇÃO NO DOMICÍLIO,-0.68,-0.47,-0.91,-0.11,-0.73,-0.61,-1.39,-0.74,-0.97,-0.07,-1.05,-1.02,-0.17,-0.6,-1.31,-1.18,-0.72
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",-0.86,-2.77,-2.52,-0.61,-3.89,1.08,-3.65,0.17,-3.16,1.84,-4.31,-0.7,-1.23,-1.14,-0.78,-3.32,-2.2
 ARROZ,-0.1,-4.52,-0.88,-3.51,-0.92,0.84,-1.12,0.46,-0.48,1.63,-1.54,-0.73,0.74,-0.47,0.28,0.0,-0.74
 FEIJÃO-MULATINHO,0.0,0.0,0.0,-1.21,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,-5.41,0.0,-1.31
 FEIJÃO-PRETO,-2.58,0.59,0.0,0.0,0.0,-1.87,-3.08,0.0,0.0,0.14,0.0,-0.56,0.0,0.0,0.0,0.0,-1.48
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,4.13,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,-7.07,3.43,-11.5,3.29,-11.75,0.0,-11.88,0.0,-12.12,0.0,-11.82,-4.01,-9.56,-7.65,-9.24
 MILHO (EM GRÃO),0.0,2.63,0.0,0.0,0.0,-0.85,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,3.22
" FARINHAS, FÉCULAS E MASSAS",1.16,-1.74,-0.76,0.28,0.24,1.85,-1.31,-1.8,-1.62,3.24,-0.15,-0.9,1.29,1.69,-5.33,-4.49,-0.25
 FARINHA DE ARROZ,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97
 MACARRÃO,1.93,-3.21,-0.26,0.67,-0.75,1.64,-2.13,0.2,-4.5,3.29,-1.07,-0.11,2.71,-0.27,-1.87,-3.17,-0.41
 FUBÁ DE MILHO,0.0,0.0,0.0,5.12,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,2.39,-0.16,2.98
 FLOCOS DE MILHO,0.0,0.0,0.0,-0.4,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.95,-7.96,-1.21
 FARINHA DE TRIGO,0.0,-0.77,-0.68,0.0,-1.64,0.0,0.0,0.0,-3.07,2.73,-1.37,-3.52,-1.4,0.0,0.0,0.0,-0.71
 FARINHA DE MANDIOCA,0.04,0.0,-3.28,-2.44,1.14,2.46,-1.15,-5.59,0.21,0.0,0.83,-4.18,0.0,1.98,-6.92,-5.54,-1.54
