"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA -OUTUBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.38,0.04,0.45,-0.09,0.23,0.62,-0.06,-0.06,0.29,0.17,0.8,0.18,0.28,0.3,-0.23,0.1,0.24
 ALIMENTAÇÃO E BEBIDAS,0.29,-0.38,0.55,-0.54,0.71,0.52,-0.2,0.22,0.11,0.2,0.92,0.1,0.27,0.4,-0.17,-0.66,0.31
 ALIMENTAÇÃO NO DOMICÍLIO,0.28,-0.82,0.62,-0.93,0.83,0.6,-0.38,0.12,0.07,0.21,1,0.08,0.12,0.52,-0.15,-1.08,0.27
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",1.82,0.67,-0.39,-1.83,2.27,3.12,-0.98,1.79,-0.26,3.07,4.24,1.36,2.1,4.06,1.65,0.63,1.48
 ARROZ,2.77,1.39,2.36,0.67,3.49,5.8,0.76,2.6,1.4,4.36,6.1,3.08,2.76,5.46,2.49,1.73,2.99
 FEIJÃO-MULATINHO,       -,       -,       -,-2.09,       -,       -,       -,       -,-0.55,       -,       -,       -,       -,       -,-3.41,       -,-1.56
 FEIJÃO-PRETO,-0.49,-2.67,       -,       -,       -,0.37,-1.49,       -,       -,-2.82,       -,-5.28,       -,       -,       -,       -,-1.54
 FEIJÃO-MACÁÇAR (FRADINHO),       -,       -,       -,-3.7,       -,       -,       -,-0.48,       -,       -,       -,       -,       -,       -,       -,       -,-1.1
 FEIJÃO-CARIOCA (RAJADO),       -,       -,-10.37,-6.38,-2.03,-4.01,-8.43,       -,-5.77,       -,-3.15,       -,-3.08,-4.3,-7.27,-1.44,-4.67
 MILHO (EM GRÃO),       -,2.64,       -,       -,       -,-1.14,       -,       -,       -,0.92,       -,       -,       -,       -,       -,       -,1.32
" FARINHAS, FÉCULAS E MASSAS",0.28,-3.02,-1.29,-2.57,-0.58,-1.49,0.48,-1.22,0.98,-0.72,0.06,-0.7,0.25,0.18,-0.64,-0.03,-0.72
 FARINHA DE ARROZ,       -,       -,       -,-3.77,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.77
 MACARRÃO,1.96,-2.89,-1.66,-0.51,-1.89,1.86,-0.32,0.38,0.5,-3.1,0.35,-0.06,-2.03,0.23,-2.98,-2.68,-1.12
 FUBÁ DE MILHO,       -,       -,       -,-3.54,       -,       -,       -,-2.85,       -,       -,       -,       -,       -,       -,-5.73,0.84,-3.3
 FLOCOS DE MILHO,       -,       -,       -,-0.88,       -,-2.53,       -,       -,       -,       -,       -,       -,       -,       -,-0.35,-0.87,-1.23
 FARINHA DE TRIGO,       -,-3.35,-2.45,       -,0.15,       -,       -,       -,-1.22,3.39,-0.71,-3.02,0.95,       -,       -,       -,-0.56
 FARINHA DE MANDIOCA,-4.81,       -,-2.9,-5.13,-0.25,-3.46,0.76,-2.47,1.34,       -,0.33,-1.95,       -,0.39,0.61,1.25,-0.65
 MASSA SEMIPREPARADA,0.49,-2.92,0.79,       -,0.04,-0.42,-1.19,-0.44,3.23,-1.01,-0.04,1.08,-0.4,       -,       -,       -,-0.39
 MACARRÃO INSTANTÂNEO,2.76,       -,       -,       -,0.17,-1.67,       -,       -,       -,-0.94,       -,-0.75,5.07,-0.72,       -,       -,0.6
" TUBÉRCULOS, RAÍZES E LEGUMES",5.72,8.01,4.13,-2.75,3.94,6.63,2.08,1.69,2.78,11.47,7.29,1.56,11.11,0.19,1.2,-5.17,4.49
 BATATA-DOCE,6.21,       -,       -,3.44,6.02,       -,       -,       -,-0.53,       -,8.6,       -,       -,1.47,       -,       -,4.84
 BATATA-INGLESA,25.11,10.18,19.68,2.4,3.78,17.37,2.94,5.08,9.44,18.74,7.65,23.29,23.19,-8.09,0.09,0.35,11.23
 INHAME,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,9.37,       -,       -,       -,5.48,6.48
