"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.57,0.34,0.27,-0.29,0.42,0.4,0.14,0.31,-0.17,-0.04,0.31,0.4,0.47,0.04,-0.39,0.19,0.28
 ALIMENTAÇÃO E BEBIDAS,1.1,0.75,1.04,-0.01,0.59,0.24,0.49,0.18,-0.12,0.88,1.26,0.5,1.01,0.6,-0.1,0.27,0.63
 ALIMENTAÇÃO NO DOMICÍLIO,1.37,0.98,1.25,-0.24,0.71,0.16,0.42,0.2,-0.13,1.16,1.51,0.35,1.33,0.61,-0.15,0.21,0.75
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",4.84,2.65,2.67,0.98,1.79,2.6,2.15,3.77,2.27,1.44,5.62,0.79,5.4,2.82,4.01,4.49,2.8
 ARROZ,4.64,3.85,3.19,2.72,3.05,2.84,2.02,5.28,3.77,1.01,6.93,0.39,5.25,3.55,4.93,5.76,3.63
 FEIJÃO-MULATINHO,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,-2.52,0.0,0.0,0.0,0.0,0.0,-4.35,0.0,-1.2
 FEIJÃO-PRETO,5.33,0.51,0.0,0.0,0.0,5.41,2.99,0.0,0.0,6.6,0.0,2.46,0.0,0.0,0.0,0.0,4.18
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,6.44,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,0.53,-5.87,-2.89,1.46,2.33,0.0,0.11,0.0,-0.06,0.0,6.7,-2.0,-4.12,2.05,-1.44
 MILHO (EM GRÃO),0.0,-1.29,0.0,0.0,0.0,1.22,0.0,0.0,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.63
" FARINHAS, FÉCULAS E MASSAS",0.3,0.64,0.75,-0.95,-0.7,0.53,-1.44,-0.39,-2.77,-1.0,0.15,-1.61,-0.96,-0.32,-5.19,-0.28,-0.71
 FARINHA DE ARROZ,0.0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54
 MACARRÃO,-0.67,-0.11,1.22,-1.72,-0.35,-3.63,-2.85,-1.66,-0.27,1.95,0.25,-0.08,-0.23,-1.93,-0.9,1.33,-0.24
 FUBÁ DE MILHO,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,-1.95,0.0,0.0,0.0,0.0,0.0,0.0,-4.24,-0.45,-1.9
 FLOCOS DE MILHO,0.0,0.0,0.0,0.89,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.98,-0.61,0.14
 FARINHA DE TRIGO,0.0,-0.55,-2.39,0.0,-3.23,0.0,0.0,0.0,-1.31,-3.39,-1.89,-6.17,-3.85,0.0,0.0,0.0,-2.48
 FARINHA DE MANDIOCA,-1.98,0.0,1.6,-1.25,-1.97,0.94,-1.06,1.09,-4.54,0.0,2.18,-0.54,0.0,0.2,-6.48,-0.9,-1.73
 MASSA SEMIPREPARADA,1.4,2.0,1.28,0.0,0.01,2.04,-3.12,0.44,-2.68,-2.45,-0.8,-0.76,0.79,0.0,0.0,0.0,0.18
 MACARRÃO INSTANTÂNEO,3.18,0.0,0.0,0.0,0.5,2.62,0.0,0.0,0.0,-0.27,0.0,-1.8,-1.92,0.39,0.0,0.0,0.86
" TUBÉRCULOS, RAÍZES E LEGUMES",8.15,13.39,5.65,-0.48,3.03,6.92,-0.31,4.31,-2.25,1.89,2.24,-2.18,7.52,11.66,-3.18,-2.71,3.87
 BATATA-DOCE,-4.4,0.0,0.0,-15.1,-5.42,0.0,0.0,0.0,1.12,0.0,-0.4,0.0,0.0,-1.68,0.0,0.0,-5.1
 BATATA-INGLESA,8.95,5.36,17.74,7.58,9.52,16.67,5.57,9.38,-0.93,3.4,15.81,12.01,3.35,5.44,5.39,2.86,8.83
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.83,0.0,0.0,0.0,4.41,6.89
 MANDIOCA (AIPIM),0.0,0.0,4.06,1.29,0.0,7.99,0.0,0.0,4.54,0.0,0.0,0.0,-2.97,-0.17,0.0,0.0,3.05
 ABOBRINHA,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.22,0.0,0.0,0.0,0.0,0.0,0.0,-5.22
 PIMENTÃO,0.0,0.0,0.0,0.0,-0.56,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44
 TOMATE,-8.23,1.63,-10.05,-16.66,-3.56,-2.38,-2.87,-8.67,-16.58,-4.17,-14.13,-12.29,0.8,6.09,-10.76,-10.55,-6.69
 CEBOLA,52.71,39.52,38.3,21.65,17.75,38.16,12.34,22.79,21.31,17.79,36.89,8.76,37.77,33.27,5.8,4.41,26.59
 CENOURA,0.68,-4.36,-10.37,-3.74,-2.97,-7.06,-10.72,-3.63,-14.74,-3.18,-1.76,-8.47,0.0,0.0,0.0,-6.41,-5.66
 AÇÚCARES E DERIVADOS,0.62,0.75,1.68,-0.04,1.34,-0.38,3.06,-0.52,0.94,0.36,1.51,2.06,1.01,0.72,-0.67,0.52,1.02
 AÇÚCAR REFINADO,-0.1,0.62,0.0,1.09,2.43,1.77,10.27,1.13,-0.47,1.47,0.0,0.0,0.0,-0.12,-1.68,0.0,1.74
 AÇÚCAR CRISTAL,0.0,-0.45,2.97,0.77,0.0,2.78,1.3,-2.31,1.72,-0.56,4.31,3.96,0.05,-0.32,0.17,1.26,1.46
 BALAS,0.0,4.13,0.0,0.0,0.0,-0.78,0.0,0.0,0.0,1.56,-0.9,0.0,3.07,0.0,0.0,0.0,2.08
 CHOCOLATE EM BARRA E BOMBOM,-2.11,0.1,1.5,1.67,-1.07,-1.84,0.37,0.93,0.74,-0.13,-0.47,0.83,3.89,3.88,-4.21,1.57,-0.51
 SORVETE,1.28,1.83,0.01,0.81,3.96,-1.05,1.79,0.34,-0.19,0.99,-0.45,-1.4,1.58,0.0,0.0,-1.09,2.07
 CHOCOLATE E ACHOCOLATADO EM PÓ,3.36,-0.64,0.91,-0.15,0.99,-1.02,-1.23,-0.51,0.98,-0.15,-0.02,1.12,-0.67,2.27,4.02,0.35,0.86
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-14.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.18
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,-0.98
 HORTALIÇAS E VERDURAS,9.9,7.59,9.15,9.02,8.55,4.7,3.04,-1.1,-1.96,10.71,4.69,-0.45,5.39,2.91,0.81,2.88,7.27
 ALFACE,7.23,7.29,11.77,3.21,11.39,2.7,6.81,-0.91,-4.84,17.11,3.22,-1.97,6.88,6.32,1.05,0.52,9.64
 COENTRO,0.0,0.0,0.0,12.68,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.54,3.82
 COUVE,3.46,0.0,4.35,0.0,5.79,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,8.13,4.92
 COUVE-FLOR,22.41,0.0,0.0,0.0,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58
 REPOLHO,0.0,7.76,0.0,0.0,0.38,0.0,0.0,0.0,-0.24,-2.54,13.5,0.0,9.77,0.0,-3.14,0.0,1.96
 CHEIRO-VERDE,5.15,6.2,2.73,13.39,6.0,5.85,0.37,-1.16,-2.83,11.25,1.72,1.96,-2.58,1.68,3.12,0.0,3.66
 BRÓCOLIS,14.72,9.42,9.4,0.0,5.51,7.28,10.52,0.0,0.0,4.96,0.0,-0.44,0.0,0.0,0.0,0.0,7.68
 FRUTAS,2.21,2.92,3.16,-0.17,-1.14,0.29,1.96,1.9,-0.81,0.1,1.7,-0.65,-0.43,4.51,1.76,2.99,0.6
 BANANA-DA-TERRA,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.99,0.0,0.0,5.58,0.0,20.32,0.0,0.0,4.65
 ABACAXI,-1.32,9.86,0.0,10.55,0.0,0.0,8.72,0.0,0.0,0.0,3.38,-5.31,-5.88,0.0,0.0,1.19,4.53
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-2.18,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,-0.9
 BANANA-D'ÁGUA,4.16,9.47,15.0,0.0,1.29,6.6,0.0,0.0,0.0,13.44,0.0,0.0,-1.51,0.0,1.64,0.0,5.11
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,-1.3,0.0,0.0,0.0,5.08
 BANANA-PRATA,7.84,-0.6,15.63,-6.09,0.72,3.23,-2.59,2.39,-1.99,0.96,6.06,1.93,0.0,6.3,-0.74,5.91,3.49
 LARANJA-BAÍA,0.0,19.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81
 LARANJA-LIMA,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23
 LIMÃO,-8.74,0.0,0.0,0.0,-11.13,-6.46,0.0,0.0,0.0,0.0,-11.18,-6.73,0.0,-2.65,0.0,0.0,-10.23
 MAÇÃ,0.81,0.98,-0.46,-2.13,-0.81,9.74,2.79,-3.1,0.36,-0.89,-0.41,0.87,0.61,5.18,-1.5,2.15,0.03
 MAMÃO,0.06,-4.5,-13.1,-5.72,-5.27,-10.37,0.0,-3.16,-6.51,-7.83,-9.54,-2.07,-7.33,-2.22,0.0,0.41,-6.09
 MANGA,-4.59,-7.02,-19.16,0.0,-12.99,-5.6,0.0,-8.34,-15.66,-22.38,0.0,-15.34,0.0,0.0,0.0,-3.74,-13.38
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13,0.48,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.92
 MELANCIA,0.0,0.0,-0.59,-2.21,0.0,14.82,2.65,0.0,-7.92,-13.86,6.56,0.0,4.47,0.0,-0.64,0.0,-1.8
 MELÃO,-0.69,0.0,0.0,7.16,0.0,-6.04,4.39,0.0,0.0,-7.43,0.0,0.0,0.0,0.0,12.24,0.0,0.26
 PERA,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.59,0.73,0.0,0.0,0.0,0.0,-0.79
 TANGERINA,0.0,0.0,0.0,0.0,10.95,0.0,0.0,0.0,0.0,11.08,0.0,0.0,0.0,0.0,0.0,0.0,10.99
 UVA,0.74,2.74,-1.21,0.79,1.92,2.4,4.33,-2.33,5.11,3.7,-2.22,-0.53,-2.68,-3.81,0.57,2.7,1.6
 LARANJA-PERA,5.53,0.0,8.56,11.67,2.89,-5.69,6.6,13.67,12.45,8.19,5.39,-0.62,5.91,-9.29,3.58,11.81,5.31
 MORANGO,0.0,9.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,3.89
 CARNES,1.7,0.84,2.28,-0.04,0.96,-1.59,-0.09,0.46,1.12,5.06,2.67,2.25,1.47,-1.36,-0.25,0.38,1.37
 FÍGADO,0.0,0.0,0.0,-2.66,0.0,0.0,-1.55,-1.5,-2.96,0.0,0.0,0.0,0.0,0.0,1.24,0.0,-1.83
 CARNE DE PORCO,-1.9,0.74,1.79,3.23,-0.43,-0.44,-7.47,1.22,1.86,3.83,0.71,1.42,1.16,-0.2,-0.25,-0.52,0.72
