Variacoes - JANEIRO - FEVEREIRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,1.32,0.65,1.92,1.37,1.1800000000000002,0.39,1.44,1.52,1.0899999999999999,1.23,1.38,1.0699999999999998,1.29,0.89,2.12,1.82,1.25
 ALIMENTAÇÃO E BEBIDAS,2.74,1.76,3.7199999999999998,1.92,1.91,1.6600000000000001,3.62,2.61,2.49,1.8900000000000001,1.7500000000000002,2.75,1.88,2.26,2.69,2.67,2.33
 ALIMENTAÇÃO NO DOMICÍLIO,3.67,2.0,4.699999999999999,2.34,2.59,2.02,4.17,3.2800000000000002,2.91,2.17,2.2199999999999998,3.29,2.1,2.56,2.9299999999999997,3.4699999999999998,2.93
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",9.52,12.489999999999998,11.1,13.07,10.54,8.34,7.48,12.76,12.129999999999999,10.31,11.190000000000001,10.17,10.14,10.370000000000001,10.36,7.7700000000000005,10.719999999999999
 ARROZ,8.75,14.95,10.71,12.16,8.99,8.11,6.95,10.129999999999999,12.2,11.73,10.52,9.1,9.559999999999999,10.27,10.11,9.76,10.08
 FEIJÃO-MULATINHO,0.0,0.0,0.0,16.560000000000002,0.0,0.0,0.0,0.0,2.3200000000000003,0.0,0.0,0.0,0.0,0.0,16.12,0.0,9.65
 FEIJÃO-PRETO,11.41,12.46,0.0,0.0,0.0,4.6899999999999995,7.68,0.0,0.0,13.95,0.0,14.02,0.0,0.0,0.0,0.0,11.620000000000001
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,2.99,0.0,0.0,0.0,20.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.16
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,12.600000000000001,17.82,16.25,13.43,9.59,0.0,17.86,0.0,14.17,0.0,14.54,11.120000000000001,9.31,3.76,14.77
 MILHO (EM GRÃO),0.0,-5.91,0.0,0.0,0.0,0.07,0.0,0.0,0.0,-3.2399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-3.87
" FARINHAS, FÉCULAS E MASSAS",0.06000000000000005,-0.82,-0.16,0.7200000000000001,-0.25,1.08,5.82,1.8099999999999998,-0.8400000000000001,-2.05,0.71,-1.6,-0.27,-0.41000000000000003,2.49,-0.019999999999999796,0.35
 FARINHA DE ARROZ,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01
 MACARRÃO,-3.34,-3.38,0.33,0.94,-0.76,-0.6100000000000001,1.1500000000000001,-0.1299999999999999,0.89,-1.8800000000000001,-0.53,-3.76,-1.3900000000000001,0.04999999999999999,2.48,-0.24000000000000002,-0.9800000000000001
 FUBÁ DE MILHO,0.0,0.0,0.0,-2.53,0.0,0.0,0.0,-3.0699999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.25999999999999995,5.38,-1.5
 FLOCOS DE MILHO,0.0,0.0,0.0,-1.23,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.18,-0.09999999999999987,-1.4300000000000002
 FARINHA DE TRIGO,0.0,0.6000000000000001,-2.38,0.0,-3.87,0.0,0.0,0.0,-2.97,-5.78,-1.4300000000000002,-1.77,-2.15,0.0,0.0,0.0,-2.8
 FARINHA DE MANDIOCA,5.9,0.0,-1.02,2.2,1.67,2.67,7.1499999999999995,5.75,-1.16,0.0,2.11,-2.39,0.0,-0.07999999999999999,3.94,-1.73,3.45
 MASSA SEMIPREPARADA,-1.12,0.25,0.73,0.0,0.96,0.6600000000000001,-0.9,0.07,-1.77,-0.4900000000000002,1.63,1.8599999999999999,2.04,0.0,0.0,0.0,0.28
 MACARRÃO INSTANTÂNEO,3.71,0.0,0.0,0.0,0.3,1.76,0.0,0.0,0.0,0.74,0.0,-1.17,0.20999999999999996,-2.5,0.0,0.0,1.06
" TUBÉRCULOS, RAÍZES E LEGUMES",32.58,11.5,26.66,17.72,9.629999999999999,7.8,24.22,19.98,10.09,14.47,8.959999999999999,23.43,9.04,13.549999999999999,2.81,20.86,15.530000000000001
 BATATA-DOCE,19.67,0.0,0.0,-4.93,17.85,0.0,0.0,0.0,2.81,0.0,5.48,0.0,0.0,3.9,0.0,0.0,11.32
 BATATA-INGLESA,48.260000000000005,34.3,44.47,31.78,31.119999999999997,36.49,47.82,32.480000000000004,10.51,46.78,30.43,25.75,38.03,40.72,20.94,29.84,36.24
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.43,0.0,0.0,0.0,9.020000000000001,12.67
 MANDIOCA (AIPIM),0.0,0.0,5.23,6.08,0.0,3.8899999999999997,0.0,0.0,-1.29,0.0,0.0,0.0,3.3899999999999997,-0.78,0.0,0.0,3.84
 ABOBRINHA,0.0,0.0,0.0,0.0,-15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.44
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-25.560000000000002
 PIMENTÃO,0.0,0.0,0.0,0.0,-11.06,-3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.34
 TOMATE,26.63,-3.620000000000001,14.44,7.4,1.08,-3.3200000000000003,9.51,-14.7,-3.2199999999999998,-8.85,-7.14,29.130000000000003,1.4200000000000004,13.989999999999998,-3.7,14.24,3.05
 CEBOLA,-1.0200000000000014,1.129999999999999,2.9400000000000013,12.15,-5.8,-3.0,8.14,17.39,10.41,-1.5299999999999994,-0.08999999999999986,-3.24,3.9099999999999984,6.49,4.43,12.23,1.7999999999999998
 CENOURA,64.28999999999999,47.870000000000005,67.48,50.089999999999996,45.05,56.84,54.56,60.26,48.019999999999996,30.34,72.59,52.16,0.0,0.0,0.0,53.11,52.980000000000004
