" VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2024",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 ÍNDICE GERAL,0.88,0.52,0.82,0.74,0.93,0.75,0.69,0.84,0.96,0.84,0.51,0.7,0.81,0.26,1.06,1.09,0.83
 ALIMENTAÇÃO E BEBIDAS,1.56,0.7,0.99,1.05,1.17,0.81,0.92,0.89,1.11,0.39,-0.47,0.77,0.82,0.85,0.7,0.97,0.95
 ALIMENTAÇÃO NO DOMICÍLIO,2.04,0.69,1.13,1.18,1.56,0.63,0.86,1.2,1.18,0.38,-0.68,0.91,0.8,0.91,0.63,1.24,1.12
" CEREAIS, LEGUMINOSAS E OLEAGINOSAS",3.6,5.39,3.88,5.15,4.78,2.21,-0.66,5.01,4.49,4.07,2.37,3.5,4.28,2.68,1.84,2.91,3.91
 ARROZ,2.68,7.72,3.76,4.29,4.36,2.2,-1.47,4.14,5.93,3.98,1.91,2.9,4.46,2.68,1.61,3.18,3.69
 FEIJÃO-MULATINHO,0.0,0.0,0.0,10.14,0.0,0.0,0.0,0.0,-1.61,0.0,0.0,0.0,0.0,0.0,3.63,0.0,3.42
 FEIJÃO-PRETO,5.85,0.33,0.0,0.0,0.0,1.41,2.33,0.0,0.0,9.12,0.0,5.65,0.0,0.0,0.0,0.0,4.71
 FEIJÃO-MACÁÇAR (FRADINHO),0.0,0.0,0.0,-3.04,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46
 FEIJÃO-CARIOCA (RAJADO),0.0,0.0,4.36,8.1,6.29,3.41,1.23,0.0,3.18,0.0,4.41,0.0,3.03,2.74,4.19,2.34,5.07
 MILHO (EM GRÃO),0.0,-1.25,0.0,0.0,0.0,-0.32,0.0,0.0,0.0,-0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
" FARINHAS, FÉCULAS E MASSAS",-1.02,-0.35,-0.19,1.56,-0.49,0.81,2.36,-0.7,-0.05,-2.17,-0.79,-0.73,1.55,-0.22,-1.59,-1.14,-0.23
 FARINHA DE ARROZ,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
 MACARRÃO,-1.2,-3.0,0.33,2.84,-1.89,1.78,-1.03,-2.36,0.73,-3.02,0.19,-2.82,2.56,0.25,0.12,-0.2,-1.1
 FUBÁ DE MILHO,0.0,0.0,0.0,-1.9,0.0,0.0,0.0,-4.56,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,-0.15,-2.33
 FLOCOS DE MILHO,0.0,0.0,0.0,-1.04,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.95,1.04,-0.8
 FARINHA DE TRIGO,0.0,-0.07,-2.36,0.0,-0.33,0.0,0.0,0.0,-2.58,-1.91,-2.68,-0.35,1.0,0.0,0.0,0.0,-1.02
 FARINHA DE MANDIOCA,1.75,0.0,0.53,3.61,0.41,-0.38,3.05,1.55,0.08,0.0,-1.85,-0.17,0.0,-0.25,-1.94,-2.6,1.18
 MASSA SEMIPREPARADA,-2.68,1.51,-0.23,0.0,0.32,1.85,0.6,0.52,0.01,-2.45,0.36,0.89,0.85,0.0,0.0,0.0,-0.18
 MACARRÃO INSTANTÂNEO,-0.42,0.0,0.0,0.0,-0.01,1.42,0.0,0.0,0.0,0.82,0.0,0.65,1.44,-0.9,0.0,0.0,0.17
" TUBÉRCULOS, RAÍZES E LEGUMES",14.64,0.33,3.43,5.23,5.21,1.72,4.11,4.37,5.46,1.31,-3.47,10.28,1.13,4.35,0.31,5.71,4.39
 BATATA-DOCE,9.77,0.0,0.0,-8.18,12.22,0.0,0.0,0.0,2.19,0.0,-1.0,0.0,0.0,3.9,0.0,0.0,6.23
 BATATA-INGLESA,16.96,6.05,2.85,3.85,8.78,10.57,4.13,5.48,6.02,7.09,-6.4,4.94,-2.43,10.8,4.18,4.87,6.79
 INHAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.04,0.0,0.0,0.0,-1.44,-2.11
 MANDIOCA (AIPIM),0.0,0.0,2.21,1.89,0.0,0.51,0.0,0.0,-5.64,0.0,0.0,0.0,5.81,0.5,0.0,0.0,1.01
 ABOBRINHA,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
 PEPINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.32,0.0,0.0,0.0,0.0,0.0,0.0,-14.32
 PIMENTÃO,0.0,0.0,0.0,0.0,-11.24,-6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.73
 TOMATE,15.62,-15.98,1.27,-0.09,6.55,-4.49,-1.8,-6.84,-2.26,-7.63,-8.53,18.82,-3.81,2.21,-3.85,5.24,0.09
 CEBOLA,11.36,9.11,14.81,10.48,0.12,10.64,6.2,8.77,6.88,8.74,11.19,5.98,16.49,4.73,3.85,4.96,7.37
 CENOURA,11.99,15.31,0.08,16.47,9.73,2.31,15.63,7.69,23.03,1.85,-2.71,-2.81,0.0,0.0,0.0,15.29,9.13
 AÇÚCARES E DERIVADOS,0.88,-0.92,0.22,4.89,-0.18,0.55,-0.57,0.19,-0.26,-0.68,0.37,-0.9,-2.76,0.59,1.03,0.38,0.0
 AÇÚCAR REFINADO,1.2,4.19,0.0,7.07,0.73,4.0,0.47,-1.68,2.99,2.07,0.0,0.0,0.0,1.12,2.72,0.0,1.31
 AÇÚCAR CRISTAL,0.0,-0.53,1.24,7.77,0.0,-1.7,-2.05,-0.9,-2.42,-0.37,1.22,-1.87,-2.49,0.7,0.26,-0.44,0.33
 BALAS,0.0,1.53,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.35,-1.17,0.0,1.58,0.0,0.0,0.0,1.1
 CHOCOLATE EM BARRA E BOMBOM,1.86,-4.59,1.11,-0.38,0.37,0.47,-0.7,1.84,-0.35,-3.17,0.11,-0.29,-0.36,-2.58,-0.51,-0.23,-0.53
 SORVETE,-1.28,0.2,-3.25,0.03,-1.41,0.4,1.79,1.54,0.94,0.74,-0.5,-2.72,-7.39,0.0,0.0,1.54,-0.95
 CHOCOLATE E ACHOCOLATADO EM PÓ,1.49,-0.51,0.84,3.06,-0.49,2.68,-3.0,4.67,2.14,-1.09,0.24,1.95,0.03,2.32,-0.22,0.93,0.26
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11
 AÇÚCAR DEMERARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2.08
 HORTALIÇAS E VERDURAS,4.25,-2.54,1.33,8.12,2.86,3.73,2.13,3.97,14.23,-0.77,-3.24,2.52,-0.96,1.12,3.15,9.91,2.31
 ALFACE,4.67,-3.38,1.24,-1.14,4.74,5.49,4.76,0.99,12.28,-1.48,1.53,3.67,7.16,0.83,5.43,4.42,2.75
 COENTRO,0.0,0.0,0.0,17.45,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,16.68,18.03
 COUVE,2.93,0.0,3.2,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,0.0,0.63,0.0,1.4,2.72
 COUVE-FLOR,7.3,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61
 REPOLHO,0.0,-4.87,0.0,0.0,4.06,0.0,0.0,0.0,20.21,-5.1,-18.9,0.0,-23.03,0.0,7.5,0.0,-1.66
 CHEIRO-VERDE,1.28,0.7,0.28,3.91,-2.06,2.78,3.63,4.83,7.32,0.74,2.34,1.98,3.79,1.45,-0.23,0.0,1.45
 BRÓCOLIS,4.62,-0.07,0.24,0.0,-1.54,-2.46,-5.87,0.0,0.0,4.64,0.0,5.16,0.0,0.0,0.0,0.0,0.23
 FRUTAS,5.49,2.46,3.85,3.39,5.06,0.97,3.62,0.12,1.24,5.84,-0.37,2.42,4.1,0.77,2.12,1.91,3.74
 BANANA-DA-TERRA,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.25,0.0,-1.3,0.0,0.0,1.3
 ABACAXI,11.41,1.34,0.0,7.45,0.0,0.0,6.27,0.0,0.0,0.0,-2.01,0.14,-1.51,0.0,0.0,13.38,4.57
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.39,0.0,0.0,-2.96
 BANANA-D'ÁGUA,5.56,10.66,20.05,0.0,3.46,12.33,0.0,0.0,0.0,13.98,0.0,0.0,11.81,0.0,0.01,0.0,7.66
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.59,0.0,5.8,0.0,0.0,0.0,-0.02
 BANANA-PRATA,9.6,6.17,7.57,6.73,7.34,6.19,6.53,7.28,4.84,5.57,5.13,4.81,0.0,5.3,2.54,4.27,6.76
 LARANJA-BAÍA,0.0,-2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.38
 LARANJA-LIMA,0.0,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63
 LIMÃO,-11.13,0.0,0.0,0.0,-6.74,-13.52,0.0,0.0,0.0,0.0,-10.2,-18.23,0.0,-20.05,0.0,0.0,-8.63
 MAÇÃ,2.63,-0.89,-2.84,5.92,-1.8,2.88,0.76,1.15,0.63,5.04,1.58,2.15,5.81,-1.54,3.56,0.7,0.24
