,MÊS,PRODUTO,PREÇO MÉDIO REVENDA
775,01-01-2022,GASOLINA COMUM,6.643
776,01-01-2022,GASOLINA COMUM,6.378
777,01-01-2022,GASOLINA COMUM,6.942
778,01-01-2022,GASOLINA COMUM,6.847
779,01-01-2022,GASOLINA COMUM,7.231
780,01-01-2022,GASOLINA COMUM,7.18
781,01-01-2022,GASOLINA COMUM,7.101
782,01-01-2022,GASOLINA COMUM,7.179
783,01-01-2022,GASOLINA COMUM,6.696
784,01-01-2022,GASOLINA COMUM,6.318
785,01-01-2022,GASOLINA COMUM,6.342
786,01-01-2022,GASOLINA COMUM,6.546
787,01-01-2022,GASOLINA COMUM,6.76
788,01-01-2022,GASOLINA COMUM,7.757
789,01-01-2022,GASOLINA COMUM,7.094
790,01-01-2022,GASOLINA COMUM,6.75
791,01-01-2022,GASOLINA COMUM,6.589
792,01-01-2022,GASOLINA COMUM,6.336
793,01-01-2022,GASOLINA COMUM,6.853
794,01-01-2022,GASOLINA COMUM,6.993
795,01-01-2022,GASOLINA COMUM,6.93
796,01-01-2022,GASOLINA COMUM,6.631
797,01-01-2022,GASOLINA COMUM,6.788
798,01-01-2022,GASOLINA COMUM,6.293
799,01-01-2022,GASOLINA COMUM,6.263
800,01-01-2022,GASOLINA COMUM,6.288
801,01-01-2022,GASOLINA COMUM,6.992
802,01-01-2022,GASOLINA COMUM,7.45
803,01-01-2022,GASOLINA COMUM,7.067
804,01-01-2022,GASOLINA COMUM,6.482
805,01-01-2022,GASOLINA COMUM,6.393
806,01-01-2022,GASOLINA COMUM,6.33
807,01-01-2022,GASOLINA COMUM,7.402
808,01-01-2022,GASOLINA COMUM,6.695
809,01-01-2022,GASOLINA COMUM,6.827
810,01-01-2022,GASOLINA COMUM,7.424
811,01-01-2022,GASOLINA COMUM,6.836
812,01-01-2022,GASOLINA COMUM,6.56
813,01-01-2022,GASOLINA COMUM,6.445
814,01-01-2022,GASOLINA COMUM,6.224
815,01-01-2022,GASOLINA COMUM,6.558
816,01-01-2022,GASOLINA COMUM,6.412
817,01-01-2022,GASOLINA COMUM,6.691
818,01-01-2022,GASOLINA COMUM,7.096
819,01-01-2022,GASOLINA COMUM,6.874
820,01-01-2022,GASOLINA COMUM,6.478
821,01-01-2022,GASOLINA COMUM,6.574
822,01-01-2022,GASOLINA COMUM,6.845
823,01-01-2022,GASOLINA COMUM,6.709
824,01-01-2022,GASOLINA COMUM,6.484
825,01-01-2022,GASOLINA COMUM,6.501
826,01-01-2022,GASOLINA COMUM,6.449
827,01-01-2022,GASOLINA COMUM,6.84
828,01-01-2022,GASOLINA COMUM,6.516
829,01-01-2022,GASOLINA COMUM,6.796
830,01-01-2022,GASOLINA COMUM,6.327
831,01-01-2022,GASOLINA COMUM,6.81
832,01-01-2022,GASOLINA COMUM,7.19
833,01-01-2022,GASOLINA COMUM,6.611
834,01-01-2022,GASOLINA COMUM,6.574
835,01-01-2022,GASOLINA COMUM,6.493
836,01-01-2022,GASOLINA COMUM,6.662
837,01-01-2022,GASOLINA COMUM,6.189
838,01-01-2022,GASOLINA COMUM,6.385
839,01-01-2022,GASOLINA COMUM,6.276
840,01-01-2022,GASOLINA COMUM,6.415
841,01-01-2022,GASOLINA COMUM,7.123
842,01-01-2022,GASOLINA COMUM,7.067
843,01-01-2022,GASOLINA COMUM,7.406
844,01-01-2022,GASOLINA COMUM,7.03
845,01-01-2022,GASOLINA COMUM,7.16
846,01-01-2022,GASOLINA COMUM,6.702
847,01-01-2022,GASOLINA COMUM,6.506
848,01-01-2022,GASOLINA COMUM,7.002
849,01-01-2022,GASOLINA COMUM,6.452
850,01-01-2022,GASOLINA COMUM,6.243
851,01-01-2022,GASOLINA COMUM,7.003
852,01-01-2022,GASOLINA COMUM,6.435
853,01-01-2022,GASOLINA COMUM,6.399
854,01-01-2022,GASOLINA COMUM,7.223
855,01-01-2022,GASOLINA COMUM,6.38
856,01-01-2022,GASOLINA COMUM,6.558
857,01-01-2022,GASOLINA COMUM,6.191
858,01-01-2022,GASOLINA COMUM,6.737
859,01-01-2022,GASOLINA COMUM,6.401
860,01-01-2022,GASOLINA COMUM,6.829
861,01-01-2022,GASOLINA COMUM,6.685
862,01-01-2022,GASOLINA COMUM,6.515
863,01-01-2022,GASOLINA COMUM,6.418
864,01-01-2022,GASOLINA COMUM,6.572
865,01-01-2022,GASOLINA COMUM,6.519
866,01-01-2022,GASOLINA COMUM,6.426
867,01-01-2022,GASOLINA COMUM,6.584
868,01-01-2022,GASOLINA COMUM,7.003
869,01-01-2022,GASOLINA COMUM,6.21
870,01-01-2022,GASOLINA COMUM,7.33
871,01-01-2022,GASOLINA COMUM,6.818
872,01-01-2022,GASOLINA COMUM,6.974
873,01-01-2022,GASOLINA COMUM,6.854
874,01-01-2022,GASOLINA COMUM,6.769
875,01-01-2022,GASOLINA COMUM,7.002
876,01-01-2022,GASOLINA COMUM,7.143
877,01-01-2022,GASOLINA COMUM,6.237
878,01-01-2022,GASOLINA COMUM,6.313
879,01-01-2022,GASOLINA COMUM,6.933
880,01-01-2022,GASOLINA COMUM,7.092
881,01-01-2022,GASOLINA COMUM,6.668
882,01-01-2022,GASOLINA COMUM,6.37
883,01-01-2022,GASOLINA COMUM,6.809
884,01-01-2022,GASOLINA COMUM,6.434
885,01-01-2022,GASOLINA COMUM,7.577
886,01-01-2022,GASOLINA COMUM,6.816
887,01-01-2022,GASOLINA COMUM,6.475
888,01-01-2022,GASOLINA COMUM,6.17
889,01-01-2022,GASOLINA COMUM,7.283
890,01-01-2022,GASOLINA COMUM,6.284
891,01-01-2022,GASOLINA COMUM,6.872
892,01-01-2022,GASOLINA COMUM,6.374
893,01-01-2022,GASOLINA COMUM,6.451
894,01-01-2022,GASOLINA COMUM,7.109
895,01-01-2022,GASOLINA COMUM,6.466
896,01-01-2022,GASOLINA COMUM,6.596
897,01-01-2022,GASOLINA COMUM,6.421
898,01-01-2022,GASOLINA COMUM,7.335
899,01-01-2022,GASOLINA COMUM,6.652
900,01-01-2022,GASOLINA COMUM,6.588
901,01-01-2022,GASOLINA COMUM,6.995
902,01-01-2022,GASOLINA COMUM,7.138
903,01-01-2022,GASOLINA COMUM,6.595
904,01-01-2022,GASOLINA COMUM,6.604
