MÊS,apagar,Último
2017-01-04,3.770.485.216.375.540,5.64
2017-01-05,3.751.663.952.856.090,5.46
2017-01-06,3.696.870.119.417.900,5.71
2017-01-07,3.689.708.073.894.320,5.78
2017-01-08,39.116.719.329.201.300,6.54
2017-01-09,39.861.601.989.564.500,7.21
2017-01-10,4.009.496.918.690.650,6.6
2017-01-11,410.650.498.606.386,7.0
2017-01-12,4.185.216.188.716.030,8.82
2018-01-01,4.279.056.310.139.520,9.58
2018-01-02,4.297.302.909.419.640,9.67
2018-01-03,4.291.756.807.489.400,10.19
2018-01-04,4.316.975.916.315.610,9.2
2018-01-05,44.081.842.254.981.000,08.05
2018-01-06,4.636.253.646.496.120,9.1
2018-01-07,4.592.403.014.763.460,9.17
2018-01-08,4.561.696.203.569.110,10.07
2018-01-09,4.716.642.132.902.810,12.6
2018-01-10,4.815.592.781.124.050,11.73
2018-01-11,4.698.012.441.096.300,10.62
2018-01-12,4.483.111.565.689.270,12.35
2019-01-01,43.860.868.337.563.200,12.48
2019-01-02,4.305.501.321.663.480,13.02
2019-01-03,4.390.880.488.257.950,12.52
2019-01-04,4.517.493.283.660.710,11.84
2019-01-05,4.657.693.271.302.580,12.59
2019-01-06,4.589.411.210.028.490,12.07
2019-01-07,4.476.087.388.093.020,11.94
2019-01-08,4.428.109.206.364.820,12.74
2019-01-09,443.305.876.859.817,13.81
2019-01-10,4.482.947.625.708.170,13.26
2019-01-11,4.508.948.833.496.010,13.6
2019-01-12,461.433.767.295.688,12.9
2020-01-01,4.663.155.797.388.090,11.54
2020-01-02,464.521.295.448.512,06.01
2020-01-03,4.571.332.851.855.170,7.93
2020-01-04,4.186.405.744.122.460,8.86
2020-01-05,39.117.034.926.480.400,9.49
2020-01-06,4.036.296.056.395.780,9.74
2020-01-07,4.225.278.134.424.320,9.58
2020-01-08,4.331.519.467.331.380,8.49
2020-01-10,4.400.403.835.978.830,8.15
2020-01-11,4.453.302.258.592.920,10.97
2020-01-12,4.519.670.637.822.320,12.38
2021-01-01,4.694.544.093.410.880,11.73
2021-01-02,5.031.486.375.371.740,9.51
2021-01-03,5.554.607.078.919.570,10.27
2021-01-04,5.528.229.077.294.100,10.25
2021-01-05,5.665.214.563.327.010,11.82
2021-01-06,5.772.385.366.483.510,13.44
2021-01-07,59.096.253.142.015.500,12.2
2021-01-08,6.035.373.988.467.860,13.11
2021-01-09,617.390.309.445.755,13.21
2021-01-10,6.422.571.168.913.640,12.99
2021-01-11,6.831.907.124.243.790,14.15
2021-01-12,6.760.841.658.499.240,16.14
2022-01-01,6.736.561.311.622.460,18.54
2022-01-02,6.709.886.782.877.430,19.12
2022-01-03,710.888.376.075.057,18.53
2022-01-04,7.335.032.274.646.040,19.03
2022-01-05,7.379.760.538.838.350,20.92
2022-01-06,7.365.138.215.741.690,19.21
2022-01-07,6.156.560.207.295.710,23.25
2022-01-08,55.101.569.120.101.800,28.26
2022-01-09,5.153.196.677.759.780,25.15
2022-01-10,4.918.639.997.082.420,25.29
2022-01-11,5.086.860.603.992.950,25.98
2022-01-12,5.036.999.549.625.940,23.97
2023-01-01,51.096.171.907.947.900,25.18
2023-01-02,5.157.839.750.764.790,24.58
2023-01-03,5.581.298.772.846.920,22.65
2023-01-04,5.594.187.371.651.480,25.19
2023-01-05,5.477.908.611.011.530,27.59
2023-01-06,5.475.998.891.382.560,33.1
2023-01-07,5.694.988.356.135.820,34.81
2023-01-08,582.773.147.640.125,34.54
2023-01-09,5.954.454.658.999.400,37.89
2023-01-10,5.875.073.866.800.860,37.84
2023-01-11,5.784.059.567.083.280,37.7
2023-01-12,573.022.406.926.854,38.98
2024-01-01,57.066.987.039.672,42.16
2024-01-02,5.864.321.927.419.850,41.22
2024-01-03,5.943,37.36
