MÊS,PRODUTO,REGIÃO,PREÇO MÉDIO REVENDA
01-01-2016,ETANOL HIDRATADO,CENTRO OESTE,2.8513333333333333
01-01-2016,ETANOL HIDRATADO,NORDESTE,3.0074504504504502
01-01-2016,ETANOL HIDRATADO,NORTE,3.3406764705882352
01-01-2016,ETANOL HIDRATADO,SUDESTE,2.807455357142857
01-01-2016,ETANOL HIDRATADO,SUL,3.141868131868132
01-01-2016,GASOLINA COMUM,CENTRO OESTE,3.7755454545454548
01-01-2016,GASOLINA COMUM,NORDESTE,3.7806696428571427
01-01-2016,GASOLINA COMUM,NORTE,3.9725
01-01-2016,GASOLINA COMUM,SUDESTE,3.6885267857142856
01-01-2016,GASOLINA COMUM,SUL,3.7542717391304343
01-01-2016,GLP,CENTRO OESTE,61.40172727272727
01-01-2016,GLP,NORDESTE,52.3615
01-01-2016,GLP,NORTE,61.616743589743585
01-01-2016,GLP,SUDESTE,53.161008928571434
01-01-2016,GLP,SUL,55.37064130434783
01-01-2016,GNV,CENTRO OESTE,2.486
01-01-2016,GNV,NORDESTE,2.3775999999999997
01-01-2016,GNV,NORTE,2.783
01-01-2016,GNV,SUDESTE,2.2045405405405405
01-01-2016,GNV,SUL,2.42596875
01-01-2016,OLEO DIESEL,CENTRO OESTE,3.144151515151515
01-01-2016,OLEO DIESEL,NORDESTE,3.031871287128713
01-01-2016,OLEO DIESEL,NORTE,3.264297297297297
01-01-2016,OLEO DIESEL,SUDESTE,2.970700892857143
01-01-2016,OLEO DIESEL,SUL,2.9205869565217393
01-01-2016,OLEO DIESEL S10,CENTRO OESTE,3.298787878787879
01-01-2016,OLEO DIESEL S10,NORDESTE,3.150455357142857
01-01-2016,OLEO DIESEL S10,NORTE,3.39005
01-01-2016,OLEO DIESEL S10,SUDESTE,3.0978839285714286
01-01-2016,OLEO DIESEL S10,SUL,3.063793478260869
01-01-2017,ETANOL HIDRATADO,CENTRO OESTE,3.0260000000000002
01-01-2017,ETANOL HIDRATADO,NORDESTE,3.177576576576577
01-01-2017,ETANOL HIDRATADO,NORTE,3.6863939393939393
01-01-2017,ETANOL HIDRATADO,SUDESTE,3.0127098214285715
01-01-2017,ETANOL HIDRATADO,SUL,3.4666413043478257
01-01-2017,GASOLINA COMUM,CENTRO OESTE,3.891060606060606
01-01-2017,GASOLINA COMUM,NORDESTE,3.787339285714286
01-01-2017,GASOLINA COMUM,NORTE,4.12465
01-01-2017,GASOLINA COMUM,SUDESTE,3.820607142857143
01-01-2017,GASOLINA COMUM,SUL,3.864445652173913
01-01-2017,GLP,CENTRO OESTE,62.908757575757576
01-01-2017,GLP,NORDESTE,53.98413636363637
01-01-2017,GLP,NORTE,64.47269230769231
01-01-2017,GLP,SUDESTE,54.46862331838565
01-01-2017,GLP,SUL,57.66059782608695
01-01-2017,GNV,CENTRO OESTE,2.444
01-01-2017,GNV,NORDESTE,2.3583783783783785
01-01-2017,GNV,NORTE,3.0585
01-01-2017,GNV,SUDESTE,2.2299305555555557
01-01-2017,GNV,SUL,2.4778333333333333
01-01-2017,OLEO DIESEL,CENTRO OESTE,3.2654545454545456
01-01-2017,OLEO DIESEL,NORDESTE,3.10235
01-01-2017,OLEO DIESEL,NORTE,3.423305555555556
01-01-2017,OLEO DIESEL,SUDESTE,3.080403587443946
01-01-2017,OLEO DIESEL,SUL,3.0046703296703297
01-01-2017,OLEO DIESEL S10,CENTRO OESTE,3.422484848484849
01-01-2017,OLEO DIESEL S10,NORDESTE,3.202607142857143
01-01-2017,OLEO DIESEL S10,NORTE,3.5341
01-01-2017,OLEO DIESEL S10,SUDESTE,3.2065267857142854
01-01-2017,OLEO DIESEL S10,SUL,3.1447608695652174
01-01-2018,ETANOL HIDRATADO,CENTRO OESTE,3.0518125
01-01-2018,ETANOL HIDRATADO,NORDESTE,3.2515368421052635
01-01-2018,ETANOL HIDRATADO,NORTE,3.6433793103448275
01-01-2018,ETANOL HIDRATADO,SUDESTE,3.1017884615384617
01-01-2018,ETANOL HIDRATADO,SUL,3.5239651162790695
01-01-2018,GASOLINA COMUM,CENTRO OESTE,4.335
01-01-2018,GASOLINA COMUM,NORDESTE,4.152489583333334
01-01-2018,GASOLINA COMUM,NORTE,4.424378378378378
01-01-2018,GASOLINA COMUM,SUDESTE,4.265591346153847
01-01-2018,GASOLINA COMUM,SUL,4.241767441860465
01-01-2018,GLP,CENTRO OESTE,77.00053125
01-01-2018,GLP,NORDESTE,66.33089583333333
01-01-2018,GLP,NORTE,79.26694594594595
01-01-2018,GLP,SUDESTE,65.57108695652174
01-01-2018,GLP,SUL,68.16019767441861
01-01-2018,GNV,CENTRO OESTE,2.553
01-01-2018,GNV,NORDESTE,2.6524799999999997
01-01-2018,GNV,NORTE,2.87
